GEO_ID,C19001B_001E,C19001B_001M,C19001B_002E,C19001B_002M,C19001B_003E,C19001B_003M,C19001B_004E,C19001B_004M,C19001B_005E,C19001B_005M,C19001B_006E,C19001B_006M,C19001B_007E,C19001B_007M,C19001B_008E,C19001B_008M,C19001B_009E,C19001B_009M,C19001B_010E,C19001B_010M,C19001B_011E,C19001B_011M,NAME,C19001B_001EA,C19001B_001MA,C19001B_002EA,C19001B_002MA,C19001B_003EA,C19001B_003MA,C19001B_004MA,C19001B_004EA,C19001B_005MA,C19001B_005EA,C19001B_006MA,C19001B_006EA,C19001B_007EA,C19001B_007MA,C19001B_008EA,C19001B_008MA,C19001B_009MA,C19001B_009EA,C19001B_010MA,C19001B_010EA,C19001B_011MA,C19001B_011EA,state
0400000US01,470145,7055,86684,5134,52465,3846,82123,5024,60521,3937,62636,4249,64693,3689,34413,3399,20688,1771,3921,1006,2001,689,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7696,1196,599,475,856,657,561,415,870,606,825,645,1194,614,1068,689,1106,570,348,382,269,333,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,90152,4372,11656,2480,8860,2244,10427,2077,11525,2254,14202,2279,17340,2390,7418,1642,7055,1898,1038,500,631,409,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,167833,3648,34806,3301,18195,2267,32110,2793,22925,2326,19692,2296,21160,2272,10485,1867,5521,933,1776,655,1163,537,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,817065,10280,103047,5482,74743,4406,107296,5646,83162,4466,103704,5686,132248,6585,81092,4706,80307,5710,32446,3275,19020,2424,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,75841,3638,12200,2006,5560,1388,10675,1686,6982,1352,10585,1923,11773,2057,6753,1455,7310,1843,3028,1233,975,479,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,128111,3523,16332,2308,9721,1492,15444,2175,15476,1896,16892,1997,21372,2128,15240,2463,11939,1693,3759,985,1936,648,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,65341,1945,7711,1565,4796,1197,6868,1544,6735,1486,10258,1643,12430,2055,6318,1435,6565,1262,2120,724,1540,766,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,126754,2873,21331,2032,9322,1608,15123,1965,12516,1520,17376,2216,19507,2176,12456,1670,12156,1577,3959,958,3008,688,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,970913,11306,142596,6061,87726,5254,153512,6617,134399,6827,144468,6906,154181,7791,76638,5702,56228,3885,11673,1988,9492,2279,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1043939,10500,162092,6349,82390,4961,153123,6864,132960,6793,161359,6951,168638,8006,82368,5520,71573,5367,19175,2891,10261,2257,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,9127,1197,440,409,125,126,130,103,1093,681,2327,832,2045,744,1281,691,1282,658,292,264,112,121,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,655841,7631,115460,5237,54133,3318,100268,4921,74430,3578,87205,4073,105686,5080,51507,2906,44568,3510,14165,2035,8419,1508,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,215432,4450,42514,2969,20407,2298,36969,3524,25132,2309,29076,2743,27953,2565,18046,2262,10942,1845,2404,804,1989,659,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,28277,1949,5847,1364,2837,824,4834,968,3818,997,3712,979,3585,802,1545,532,1622,635,379,339,98,108,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,63023,2891,9758,1455,5114,1061,9786,1445,9000,1433,9001,1629,10498,1616,4503,1119,3677,1158,842,444,844,428,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
