GEO_ID,C19101F_001E,C19101F_001M,C19101F_002E,C19101F_002M,C19101F_003E,C19101F_003M,C19101F_004E,C19101F_004M,C19101F_005E,C19101F_005M,C19101F_006E,C19101F_006M,C19101F_007E,C19101F_007M,C19101F_008E,C19101F_008M,C19101F_009E,C19101F_009M,C19101F_010E,C19101F_010M,C19101F_011E,C19101F_011M,NAME,C19101F_001EA,C19101F_001MA,C19101F_002EA,C19101F_002MA,C19101F_003EA,C19101F_003MA,C19101F_004MA,C19101F_004EA,C19101F_005EA,C19101F_005MA,C19101F_006EA,C19101F_006MA,C19101F_007MA,C19101F_007EA,C19101F_008EA,C19101F_008MA,C19101F_009EA,C19101F_009MA,C19101F_010EA,C19101F_010MA,C19101F_011MA,C19101F_011EA,state
0400000US01,11584,1909,922,582,2082,1144,2624,919,1771,865,1302,663,1927,839,391,329,565,431,0,190,0,190,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,85463,5539,8158,1656,6573,1786,15157,2335,13846,2420,14794,2370,13952,2851,6770,1659,5378,1721,602,394,233,197,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,12911,2000,1101,644,456,403,2471,1215,2745,1069,2987,1125,1830,1090,706,474,439,441,52,90,124,155,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,940832,13883,66316,4552,57887,4005,141422,6668,125499,5928,161907,7445,174215,7152,100911,5241,81298,4205,20646,2907,10731,2149,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,49607,3988,3865,1263,2997,1146,7419,1643,6194,1320,10402,1881,10069,1684,4358,1187,3183,921,846,674,274,201,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,40667,2615,6226,1335,2749,895,5494,1349,7836,1613,5474,1259,5713,1066,2991,912,2914,949,632,485,638,426,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,4118,1082,388,315,312,337,828,449,638,477,432,424,337,221,775,623,288,284,79,116,41,80,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,4763,1133,424,472,0,200,606,493,553,419,744,492,1553,708,182,207,183,252,370,278,148,237,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,103063,7415,8611,1786,7139,1821,20344,3290,12904,2513,17801,2872,18823,3130,9162,1985,5807,1827,1531,1095,941,548,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
