GEO_ID,B10051F_001E,B10051F_001M,B10051F_002E,B10051F_002M,B10051F_003E,B10051F_003M,B10051F_004E,B10051F_004M,B10051F_005E,B10051F_005M,B10051F_006E,B10051F_006M,B10051F_007E,B10051F_007M,NAME,B10051F_001MA,B10051F_001EA,B10051F_002MA,B10051F_002EA,B10051F_003MA,B10051F_003EA,B10051F_004EA,B10051F_004MA,B10051F_005MA,B10051F_005EA,B10051F_006MA,B10051F_006EA,B10051F_007MA,B10051F_007EA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,14757,2996,6386,1782,5285,1601,1101,558,8371,2189,4462,1685,3909,1351,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,198851,9983,56213,5520,42578,4720,13635,2239,142638,7684,86853,6749,55785,4403,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,10327,2414,4346,1632,3308,1507,1038,613,5981,1899,3124,1389,2857,1290,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,6329,1378,2171,934,1904,899,267,343,4158,1217,3443,1226,715,485,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15733,3263,2673,916,1542,629,1131,666,13060,3097,6523,2773,6537,2065,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7112,2377,2419,1201,2149,1198,270,223,4693,2119,3351,2038,1342,775,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,28906,3678,6497,1779,5386,1418,1111,751,22409,3107,13283,2483,9126,1962,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,3546,1361,1281,685,1012,575,269,390,2265,996,1547,758,718,488,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1311,567,595,362,589,361,6,19,716,428,341,322,375,311,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1767,898,909,615,895,613,14,25,858,473,443,322,415,334,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,6651,2025,1202,761,1202,761,0,204,5449,1729,3886,1389,1563,961,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
