GEO_ID,C19001D_001E,C19001D_001M,C19001D_002E,C19001D_002M,C19001D_003E,C19001D_003M,C19001D_004E,C19001D_004M,C19001D_005E,C19001D_005M,C19001D_006E,C19001D_006M,C19001D_007E,C19001D_007M,C19001D_008E,C19001D_008M,C19001D_009E,C19001D_009M,C19001D_010E,C19001D_010M,C19001D_011E,C19001D_011M,NAME,C19001D_001MA,C19001D_001EA,C19001D_002EA,C19001D_002MA,C19001D_003EA,C19001D_003MA,C19001D_004EA,C19001D_004MA,C19001D_005MA,C19001D_005EA,C19001D_006MA,C19001D_006EA,C19001D_007EA,C19001D_007MA,C19001D_008EA,C19001D_008MA,C19001D_009EA,C19001D_009MA,C19001D_010MA,C19001D_010EA,C19001D_011MA,C19001D_011EA,state
0400000US01,17799,1443,1143,640,655,461,1511,573,1860,679,3251,820,3579,971,2115,679,2313,758,556,372,816,450,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9646,880,151,114,470,269,676,372,855,365,1861,655,1764,571,1639,523,1631,569,399,331,200,157,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,60568,2902,6582,1627,2262,910,4364,1416,5252,1239,6936,1661,12933,2412,8116,1750,8395,1938,2776,968,2952,1136,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,10686,1403,1082,600,192,162,1899,764,672,459,1750,779,1670,509,1043,527,1791,692,207,295,380,410,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1536143,12721,101439,5197,69745,3650,125359,5263,105393,4409,153000,6504,238855,7116,189708,6435,265174,6692,139155,6184,148315,5827,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,45035,2633,3903,967,1998,714,3376,829,4147,1231,3922,1002,9754,1697,5127,1093,7119,1313,2865,953,2824,836,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,41092,1844,1564,694,1308,687,2172,925,2195,736,3209,898,8386,1460,5425,1231,6965,1449,4877,1230,4991,937,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,9238,664,345,242,302,232,182,153,367,247,1454,490,1977,625,1049,447,2016,656,647,317,899,347,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8731,1214,768,393,240,216,1121,1042,293,201,918,428,1612,728,1468,482,1073,476,651,420,587,350,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,139848,4083,9262,1606,4778,1346,12235,1938,15034,2306,16206,2139,25696,2507,17678,2218,19756,2395,9305,1457,9898,1732,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
