GEO_ID,C19037F_001E,C19037F_001M,C19037F_002E,C19037F_002M,C19037F_003E,C19037F_003M,C19037F_004E,C19037F_004M,C19037F_005E,C19037F_005M,C19037F_006E,C19037F_006M,C19037F_007E,C19037F_007M,C19037F_008E,C19037F_008M,C19037F_009E,C19037F_009M,C19037F_010E,C19037F_010M,C19037F_011E,C19037F_011M,C19037F_012E,C19037F_012M,C19037F_013E,C19037F_013M,C19037F_014E,C19037F_014M,C19037F_015E,C19037F_015M,C19037F_016E,C19037F_016M,C19037F_017E,C19037F_017M,C19037F_018E,C19037F_018M,C19037F_019E,C19037F_019M,C19037F_020E,C19037F_020M,C19037F_021E,C19037F_021M,C19037F_022E,C19037F_022M,C19037F_023E,C19037F_023M,C19037F_024E,C19037F_024M,C19037F_025E,C19037F_025M,C19037F_026E,C19037F_026M,C19037F_027E,C19037F_027M,C19037F_028E,C19037F_028M,C19037F_029E,C19037F_029M,C19037F_030E,C19037F_030M,C19037F_031E,C19037F_031M,C19037F_032E,C19037F_032M,C19037F_033E,C19037F_033M,C19037F_034E,C19037F_034M,C19037F_035E,C19037F_035M,C19037F_036E,C19037F_036M,C19037F_037E,C19037F_037M,C19037F_038E,C19037F_038M,C19037F_039E,C19037F_039M,C19037F_040E,C19037F_040M,C19037F_041E,C19037F_041M,C19037F_042E,C19037F_042M,C19037F_043E,C19037F_043M,C19037F_044E,C19037F_044M,C19037F_045E,C19037F_045M,NAME,C19037F_001MA,C19037F_001EA,C19037F_002EA,C19037F_002MA,C19037F_003EA,C19037F_003MA,C19037F_004MA,C19037F_004EA,C19037F_005EA,C19037F_005MA,C19037F_006MA,C19037F_006EA,C19037F_007EA,C19037F_007MA,C19037F_008EA,C19037F_008MA,C19037F_009EA,C19037F_009MA,C19037F_010MA,C19037F_010EA,C19037F_011MA,C19037F_011EA,C19037F_012MA,C19037F_012EA,C19037F_013EA,C19037F_013MA,C19037F_014EA,C19037F_014MA,C19037F_015MA,C19037F_015EA,C19037F_016EA,C19037F_016MA,C19037F_017MA,C19037F_017EA,C19037F_018EA,C19037F_018MA,C19037F_019EA,C19037F_019MA,C19037F_020EA,C19037F_020MA,C19037F_021MA,C19037F_021EA,C19037F_022MA,C19037F_022EA,C19037F_023MA,C19037F_023EA,C19037F_024EA,C19037F_024MA,C19037F_025EA,C19037F_025MA,C19037F_026MA,C19037F_026EA,C19037F_027EA,C19037F_027MA,C19037F_028MA,C19037F_028EA,C19037F_029EA,C19037F_029MA,C19037F_030MA,C19037F_030EA,C19037F_031EA,C19037F_031MA,C19037F_032MA,C19037F_032EA,C19037F_033EA,C19037F_033MA,C19037F_034MA,C19037F_034EA,C19037F_035MA,C19037F_035EA,C19037F_036EA,C19037F_036MA,C19037F_037MA,C19037F_037EA,C19037F_038EA,C19037F_038MA,C19037F_039MA,C19037F_039EA,C19037F_040EA,C19037F_040MA,C19037F_041EA,C19037F_041MA,C19037F_042EA,C19037F_042MA,C19037F_043MA,C19037F_043EA,C19037F_044EA,C19037F_044MA,C19037F_045MA,C19037F_045EA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,109906,5857,7928,1721,1991,947,1009,650,2107,942,972,717,932,649,816,539,0,229,101,159,0,229,0,229,57004,4890,5439,1624,3838,1260,9385,1770,11182,2201,8841,1798,9405,2794,4364,1398,3868,1502,577,410,105,176,34778,2944,4032,1381,3107,926,7181,1804,3961,1008,5580,1398,6394,1552,2750,809,1408,609,337,313,28,46,10196,1540,1562,699,1570,628,2669,1028,1442,676,1807,754,517,222,277,266,222,212,30,48,100,120,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1135764,16593,61293,4609,9945,1534,4812,1148,12358,2057,9827,1632,9999,1838,8563,1443,3478,1051,1785,547,526,429,0,208,592462,12339,32264,3280,31472,3026,90305,5994,79674,4882,106875,6597,118190,6662,67370,4242,47543,3755,13042,2114,5727,1529,398884,10099,24813,2871,23860,2643,47619,3067,45136,3929,67339,4940,77855,4736,46672,3855,46451,3258,12385,2303,6754,1412,83125,4683,9778,1611,12238,1469,15937,2491,11679,1751,11696,1553,10101,1457,5580,1179,4486,1100,1066,506,564,434,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,64237,4695,5135,1248,777,428,146,147,681,454,695,364,1140,537,1472,835,141,173,83,146,0,201,0,201,33341,3330,3290,1401,2721,1106,5787,1403,4144,1229,7330,1793,4821,1312,2652,994,1758,766,698,606,140,149,19458,2181,1879,696,1136,434,2063,838,2453,953,2908,864,4484,1032,2033,648,2076,666,225,213,201,170,6303,1293,638,387,264,178,1153,494,1041,534,1203,544,1559,653,385,405,60,88,0,201,0,201,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,55915,3469,4220,1011,791,377,421,401,1351,614,349,279,490,362,367,234,274,377,177,293,0,198,0,198,29735,2637,4021,1043,1297,604,3567,1091,5845,1421,4629,1242,5578,1146,1970,925,1802,684,493,458,533,388,18884,2002,3348,1009,1767,821,2843,804,2565,841,2305,937,1965,738,1844,911,1771,695,327,310,149,134,3076,907,574,362,680,466,735,451,320,289,295,246,173,184,167,137,0,198,0,198,132,211,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,134231,8397,9399,2101,1792,948,1012,699,1869,998,1989,944,1410,735,965,577,174,180,188,232,0,238,0,238,67443,5567,4389,1443,4431,1250,13940,2388,9265,1786,11335,2237,11360,2207,7130,1896,3324,1621,1604,984,665,569,47812,5252,4832,1804,3052,1193,7819,2284,5646,2018,8300,1732,9640,2137,4786,1566,2450,826,621,358,666,487,9577,1802,1797,825,1244,649,1851,590,1114,570,1454,668,1235,734,498,403,384,287,0,238,0,238,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
