GEO_ID,C19101D_001E,C19101D_001M,C19101D_002E,C19101D_002M,C19101D_003E,C19101D_003M,C19101D_004E,C19101D_004M,C19101D_005E,C19101D_005M,C19101D_006E,C19101D_006M,C19101D_007E,C19101D_007M,C19101D_008E,C19101D_008M,C19101D_009E,C19101D_009M,C19101D_010E,C19101D_010M,C19101D_011E,C19101D_011M,NAME,C19101D_001MA,C19101D_001EA,C19101D_002EA,C19101D_002MA,C19101D_003EA,C19101D_003MA,C19101D_004MA,C19101D_004EA,C19101D_005MA,C19101D_005EA,C19101D_006MA,C19101D_006EA,C19101D_007MA,C19101D_007EA,C19101D_008EA,C19101D_008MA,C19101D_009EA,C19101D_009MA,C19101D_010MA,C19101D_010EA,C19101D_011MA,C19101D_011EA,state
0400000US01,12305,1285,451,269,407,348,729,405,1142,514,2120,701,2688,853,1826,664,1888,683,480,360,574,365,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6880,847,48,68,113,134,524,343,483,354,1100,481,1300,548,1346,463,1519,569,285,252,162,153,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,40270,2761,2581,1069,1169,745,1988,725,3624,898,3581,1154,8935,2130,6586,1615,6413,1378,2574,940,2819,1123,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,7511,1284,6,13,43,64,1004,656,720,448,1272,712,1435,493,905,499,1539,657,207,295,380,410,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1156717,10715,43968,3702,30140,2462,89481,4311,75833,3860,114215,5313,183457,6128,149601,5818,218707,6774,120280,5518,131035,5658,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,30993,2111,1617,615,593,347,2072,724,1879,590,3062,922,7058,1473,3465,908,5866,1214,2723,929,2658,840,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,31833,1983,669,372,858,637,1213,781,1630,679,2363,709,5774,1133,4553,1109,5556,1192,4457,1234,4760,929,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,7407,690,132,158,146,168,148,140,367,247,665,374,1780,616,958,409,1711,592,601,306,899,347,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,2601,647,0,200,0,200,73,97,221,174,208,168,152,138,354,274,563,401,563,398,467,340,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,104622,3876,3306,1185,2932,1029,8647,1524,10200,2193,12385,1788,18361,2468,15188,2145,18103,2068,7169,1459,8331,1474,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,72793,3290,3208,1096,2205,910,5438,1402,8249,1670,10738,1744,14871,2144,8208,1703,10085,2245,4678,1262,5113,1470,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,128162,3872,3030,956,2616,901,5651,1109,6688,1344,14279,1742,24937,2350,22135,2064,30858,2377,10501,1330,7467,964,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,5189,1248,229,226,51,72,1378,1051,275,271,857,604,1249,887,350,354,187,157,503,570,110,123,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,137352,3650,6147,1533,3857,784,7466,1243,8052,1614,14857,2196,23716,2633,20346,2340,26796,2444,12381,1521,13734,1613,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,18967,1717,1005,404,751,462,1254,492,1351,580,1692,604,4641,1324,2583,934,2533,865,1243,561,1914,631,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,11480,935,891,460,39,64,760,351,854,424,1086,489,3249,842,2404,596,890,349,694,425,613,348,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,14156,1143,541,295,226,177,1286,576,1284,497,1548,587,2619,808,1749,581,2723,748,1064,417,1116,505,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
