GEO_ID,B19101B_001E,B19101B_001M,B19101B_002E,B19101B_002M,B19101B_003E,B19101B_003M,B19101B_004E,B19101B_004M,B19101B_005E,B19101B_005M,B19101B_006E,B19101B_006M,B19101B_007E,B19101B_007M,B19101B_008E,B19101B_008M,B19101B_009E,B19101B_009M,B19101B_010E,B19101B_010M,B19101B_011E,B19101B_011M,B19101B_012E,B19101B_012M,B19101B_013E,B19101B_013M,B19101B_014E,B19101B_014M,B19101B_015E,B19101B_015M,B19101B_016E,B19101B_016M,B19101B_017E,B19101B_017M,NAME,B19101B_001MA,B19101B_001EA,B19101B_002MA,B19101B_002EA,B19101B_003MA,B19101B_003EA,B19101B_004MA,B19101B_004EA,B19101B_005EA,B19101B_005MA,B19101B_006MA,B19101B_006EA,B19101B_007MA,B19101B_007EA,B19101B_008MA,B19101B_008EA,B19101B_009MA,B19101B_009EA,B19101B_010EA,B19101B_010MA,B19101B_011EA,B19101B_011MA,B19101B_012MA,B19101B_012EA,B19101B_013MA,B19101B_013EA,B19101B_014MA,B19101B_014EA,B19101B_015EA,B19101B_015MA,B19101B_016EA,B19101B_016MA,B19101B_017MA,B19101B_017EA,state
0400000US01,305813,6643,41515,2885,28529,2933,27246,2760,24038,2516,22074,2213,18039,2046,14908,1876,14621,2033,13088,1581,23150,2619,25561,1936,29296,3109,12328,1723,5882,950,3753,967,1785,650,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,53146,3172,4417,1226,4083,2024,3113,1372,2852,1039,2302,743,3205,1424,2297,836,3299,888,2723,979,6181,1756,6512,1565,5768,1425,3575,1336,1319,765,1007,498,493,348,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,107888,3814,16580,2364,8679,1813,10949,1916,10643,1605,8460,1240,7503,1713,4976,863,4448,1084,4439,946,9175,1436,6957,1479,7738,1404,3101,825,1800,783,1337,540,1103,531,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,494733,8698,51705,4488,27380,2725,30149,2867,29197,3132,23303,2667,23739,2520,22284,2695,22689,2214,19789,2759,37638,3760,47578,4080,59860,3867,39385,3654,21433,3011,23509,2620,15095,2185,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,44060,2469,5197,1290,2423,1111,2824,812,2071,765,1981,786,1439,675,2095,850,2972,1095,1680,778,3325,1021,4064,957,4665,1248,2797,865,2674,1388,2947,1224,906,475,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,84279,3436,7834,1455,4516,1168,4632,1191,4733,1387,4895,1312,6101,1245,4304,1149,3486,989,3513,1067,6303,1525,7325,1353,11453,1949,5863,1288,4173,951,3333,939,1815,637,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,45066,2058,4608,1276,2789,928,1479,636,2072,830,2550,925,2946,1021,3280,1033,1976,740,1586,593,3938,1192,4363,1137,5021,1337,4129,1156,1101,407,1910,713,1318,748,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,65138,2547,9278,1527,4040,958,3437,977,4163,1091,2777,770,3161,805,2822,925,3005,783,2759,841,4361,882,5922,1211,6744,1058,5434,1036,2174,579,2912,852,2149,529,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,649422,10400,74542,5356,47610,3913,45021,3946,48854,4484,46527,3574,43362,4131,39587,4251,33942,3303,26736,2973,55697,4462,59653,4456,61364,4809,30434,2856,17077,2292,10455,1824,8561,2303,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
