GEO_ID,C12002E_001E,C12002E_001M,C12002E_002E,C12002E_002M,C12002E_003E,C12002E_003M,C12002E_004E,C12002E_004M,C12002E_005E,C12002E_005M,C12002E_006E,C12002E_006M,NAME,C12002E_001EA,C12002E_001MA,C12002E_002MA,C12002E_002EA,C12002E_003MA,C12002E_003EA,C12002E_004MA,C12002E_004EA,C12002E_005EA,C12002E_005MA,C12002E_006EA,C12002E_006MA,state
0400000US01,1825,1173,384,381,754,543,110,197,0,190,577,560,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,5561,826,2323,748,2816,701,191,186,41,35,190,155,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,8848,977,3910,871,3547,831,190,208,50,99,1151,658,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,4045,947,1357,1033,2119,1291,0,192,0,192,569,428,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,117252,4577,46007,4022,55399,3723,2395,839,3921,972,9530,1664,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4092,545,1653,640,2016,523,381,303,0,201,42,82,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9019,2544,3869,1353,3320,1177,248,269,63,76,1519,894,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4619,1885,2222,1232,1724,1026,58,121,0,225,615,359,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,97152,3900,37360,2501,46569,3752,1952,547,4765,901,6506,1059,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1282,564,464,340,609,327,0,189,0,189,209,205,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4664,1200,2443,935,1574,613,54,89,108,114,485,442,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
