GEO_ID,B17010G_001E,B17010G_001M,B17010G_002E,B17010G_002M,B17010G_003E,B17010G_003M,B17010G_004E,B17010G_004M,B17010G_005E,B17010G_005M,B17010G_006E,B17010G_006M,B17010G_007E,B17010G_007M,B17010G_008E,B17010G_008M,B17010G_009E,B17010G_009M,B17010G_010E,B17010G_010M,B17010G_011E,B17010G_011M,B17010G_012E,B17010G_012M,B17010G_013E,B17010G_013M,B17010G_014E,B17010G_014M,B17010G_015E,B17010G_015M,B17010G_016E,B17010G_016M,B17010G_017E,B17010G_017M,B17010G_018E,B17010G_018M,B17010G_019E,B17010G_019M,B17010G_020E,B17010G_020M,B17010G_021E,B17010G_021M,B17010G_022E,B17010G_022M,B17010G_023E,B17010G_023M,B17010G_024E,B17010G_024M,B17010G_025E,B17010G_025M,B17010G_026E,B17010G_026M,B17010G_027E,B17010G_027M,B17010G_028E,B17010G_028M,B17010G_029E,B17010G_029M,B17010G_030E,B17010G_030M,B17010G_031E,B17010G_031M,B17010G_032E,B17010G_032M,B17010G_033E,B17010G_033M,B17010G_034E,B17010G_034M,B17010G_035E,B17010G_035M,B17010G_036E,B17010G_036M,B17010G_037E,B17010G_037M,B17010G_038E,B17010G_038M,B17010G_039E,B17010G_039M,B17010G_040E,B17010G_040M,B17010G_041E,B17010G_041M,NAME,B17010G_001MA,B17010G_001EA,B17010G_002MA,B17010G_002EA,B17010G_003MA,B17010G_003EA,B17010G_004EA,B17010G_004MA,B17010G_005EA,B17010G_005MA,B17010G_006EA,B17010G_006MA,B17010G_007MA,B17010G_007EA,B17010G_008MA,B17010G_008EA,B17010G_009EA,B17010G_009MA,B17010G_010EA,B17010G_010MA,B17010G_011EA,B17010G_011MA,B17010G_012MA,B17010G_012EA,B17010G_013MA,B17010G_013EA,B17010G_014MA,B17010G_014EA,B17010G_015EA,B17010G_015MA,B17010G_016EA,B17010G_016MA,B17010G_017EA,B17010G_017MA,B17010G_018MA,B17010G_018EA,B17010G_019MA,B17010G_019EA,B17010G_020EA,B17010G_020MA,B17010G_021EA,B17010G_021MA,B17010G_022EA,B17010G_022MA,B17010G_023MA,B17010G_023EA,B17010G_024MA,B17010G_024EA,B17010G_025MA,B17010G_025EA,B17010G_026EA,B17010G_026MA,B17010G_027EA,B17010G_027MA,B17010G_028EA,B17010G_028MA,B17010G_029MA,B17010G_029EA,B17010G_030MA,B17010G_030EA,B17010G_031EA,B17010G_031MA,B17010G_032EA,B17010G_032MA,B17010G_033EA,B17010G_033MA,B17010G_034MA,B17010G_034EA,B17010G_035MA,B17010G_035EA,B17010G_036MA,B17010G_036EA,B17010G_037EA,B17010G_037MA,B17010G_038EA,B17010G_038MA,B17010G_039EA,B17010G_039MA,B17010G_040MA,B17010G_040EA,B17010G_041MA,B17010G_041EA,state
0400000US01,9963,1515,2250,730,987,458,850,435,139,179,126,129,585,343,137,100,1263,528,323,311,323,311,303,311,0,190,20,41,0,190,940,422,721,380,0,190,358,288,363,234,219,167,7713,1293,6144,1088,3040,918,579,513,865,479,1596,609,3104,698,1569,501,528,373,98,129,11,21,0,190,87,128,430,302,1041,366,530,294,60,59,121,145,349,252,511,262,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,25575,2686,5248,1200,1315,531,999,429,32,57,566,403,401,291,316,238,3933,1110,700,436,360,279,57,91,194,260,109,113,340,361,3233,1028,2892,1013,934,609,498,311,1460,732,341,286,20327,2544,15728,2226,9359,2029,1608,693,1570,570,6181,1671,6369,1131,4599,1357,1333,588,595,415,85,139,151,191,359,324,738,431,3266,1188,2380,1033,121,120,482,369,1777,945,886,524,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,241195,8223,32296,3087,12776,1898,9222,1625,1465,887,3365,840,4392,1062,3554,913,19520,2491,2848,817,2017,665,560,330,122,134,1335,647,831,385,16672,2233,13421,2016,2906,1063,4432,1115,6083,1160,3251,979,208899,7748,148055,6224,81681,4556,18904,2223,14538,1978,48239,3436,66374,4178,60844,4209,20701,2448,10093,1747,2675,1028,1610,670,5808,1249,10608,1640,40143,3431,25083,2500,3243,944,2948,878,18892,2154,15060,1953,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,27495,2594,3687,927,1092,421,747,363,96,118,225,179,426,289,345,204,2595,894,137,163,137,163,61,105,76,130,0,201,0,201,2458,898,2194,856,193,202,1358,763,643,362,264,239,23808,2551,16841,1883,8585,1599,1531,765,2083,868,4971,1112,8256,1420,6967,1821,1746,734,1057,536,94,114,220,226,743,448,689,425,5221,1673,3858,1628,502,379,476,452,2880,1454,1363,486,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,13250,1733,2181,769,168,139,90,120,0,198,0,198,90,120,78,74,2013,755,282,335,42,71,42,71,0,198,0,198,240,358,1731,651,1433,565,118,176,833,469,482,259,298,307,11069,1637,7185,1211,3816,917,637,306,168,145,3011,791,3369,842,3884,996,798,418,503,359,98,157,103,115,302,292,295,257,3086,917,2062,824,343,236,529,419,1190,576,1024,512,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,60912,4722,9050,1866,3851,1629,2490,992,190,260,709,402,1591,701,1361,882,5199,1189,707,403,617,390,91,116,32,53,494,369,90,126,4492,1097,4099,1105,429,277,677,457,2993,1001,393,292,51862,4472,37627,3904,18483,2584,4898,1254,3121,1111,10464,2130,19144,2667,14235,2155,3820,1046,2039,907,500,422,73,88,1466,799,1781,510,10415,1797,6407,1407,1818,772,340,235,4249,1122,4008,909,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
