GEO_ID,B17010I_001E,B17010I_001M,B17010I_002E,B17010I_002M,B17010I_003E,B17010I_003M,B17010I_004E,B17010I_004M,B17010I_005E,B17010I_005M,B17010I_006E,B17010I_006M,B17010I_007E,B17010I_007M,B17010I_008E,B17010I_008M,B17010I_009E,B17010I_009M,B17010I_010E,B17010I_010M,B17010I_011E,B17010I_011M,B17010I_012E,B17010I_012M,B17010I_013E,B17010I_013M,B17010I_014E,B17010I_014M,B17010I_015E,B17010I_015M,B17010I_016E,B17010I_016M,B17010I_017E,B17010I_017M,B17010I_018E,B17010I_018M,B17010I_019E,B17010I_019M,B17010I_020E,B17010I_020M,B17010I_021E,B17010I_021M,B17010I_022E,B17010I_022M,B17010I_023E,B17010I_023M,B17010I_024E,B17010I_024M,B17010I_025E,B17010I_025M,B17010I_026E,B17010I_026M,B17010I_027E,B17010I_027M,B17010I_028E,B17010I_028M,B17010I_029E,B17010I_029M,B17010I_030E,B17010I_030M,B17010I_031E,B17010I_031M,B17010I_032E,B17010I_032M,B17010I_033E,B17010I_033M,B17010I_034E,B17010I_034M,B17010I_035E,B17010I_035M,B17010I_036E,B17010I_036M,B17010I_037E,B17010I_037M,B17010I_038E,B17010I_038M,B17010I_039E,B17010I_039M,B17010I_040E,B17010I_040M,B17010I_041E,B17010I_041M,NAME,B17010I_001EA,B17010I_001MA,B17010I_002MA,B17010I_002EA,B17010I_003MA,B17010I_003EA,B17010I_004EA,B17010I_004MA,B17010I_005EA,B17010I_005MA,B17010I_006EA,B17010I_006MA,B17010I_007MA,B17010I_007EA,B17010I_008MA,B17010I_008EA,B17010I_009MA,B17010I_009EA,B17010I_010EA,B17010I_010MA,B17010I_011EA,B17010I_011MA,B17010I_012EA,B17010I_012MA,B17010I_013MA,B17010I_013EA,B17010I_014MA,B17010I_014EA,B17010I_015EA,B17010I_015MA,B17010I_016EA,B17010I_016MA,B17010I_017EA,B17010I_017MA,B17010I_018MA,B17010I_018EA,B17010I_019MA,B17010I_019EA,B17010I_020MA,B17010I_020EA,B17010I_021EA,B17010I_021MA,B17010I_022EA,B17010I_022MA,B17010I_023EA,B17010I_023MA,B17010I_024MA,B17010I_024EA,B17010I_025MA,B17010I_025EA,B17010I_026EA,B17010I_026MA,B17010I_027EA,B17010I_027MA,B17010I_028EA,B17010I_028MA,B17010I_029MA,B17010I_029EA,B17010I_030MA,B17010I_030EA,B17010I_031MA,B17010I_031EA,B17010I_032EA,B17010I_032MA,B17010I_033EA,B17010I_033MA,B17010I_034EA,B17010I_034MA,B17010I_035EA,B17010I_035MA,B17010I_036MA,B17010I_036EA,B17010I_037EA,B17010I_037MA,B17010I_038EA,B17010I_038MA,B17010I_039EA,B17010I_039MA,B17010I_040EA,B17010I_040MA,B17010I_041MA,B17010I_041EA,state
0400000US01,35710,2510,10573,1627,5998,1453,5754,1431,1720,889,1740,665,2294,1066,244,183,4575,1060,1022,629,649,433,273,312,239,299,137,147,373,420,3553,929,3235,949,912,521,1269,601,1054,646,318,325,25137,2705,18023,2470,11297,2019,2136,839,2218,928,6943,1849,6726,1644,7114,1678,3899,1319,2160,950,1035,822,169,273,956,502,1739,837,3215,1085,1948,790,867,637,345,248,736,398,1267,735,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,397755,7689,105694,5419,42042,3710,35916,3447,3947,961,15197,2702,16772,2138,6126,1216,63652,4913,13496,2252,11365,2021,2133,720,3999,1431,5233,1380,2131,1028,50156,4161,46037,4265,7663,2177,15839,2458,22535,2949,4119,1183,292061,8720,193476,7573,116895,6291,18485,2874,29786,4490,68624,4991,76581,4876,98585,6446,35572,4469,22940,3683,5455,1497,3272,978,14213,3141,12632,2408,63013,5149,41559,4574,5128,1350,9898,2438,26533,3521,21454,3026,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36246,2037,10704,2219,5298,1610,4691,1428,1233,584,2574,1232,884,511,607,508,5406,1550,1274,635,1184,609,359,319,618,442,207,247,90,109,4132,1262,3956,1213,649,457,2425,926,882,464,176,292,25542,2574,20593,2311,14818,2251,2577,1036,4582,1447,7659,1484,5775,1466,4949,1450,2253,1053,1213,568,362,343,377,274,474,325,1040,761,2696,971,2114,907,478,307,468,439,1168,653,582,383,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2814834,17521,589389,11803,260949,7989,224560,7357,22845,2551,93727,4660,107988,4725,36389,2865,328440,8776,72345,4737,62826,4484,14024,2237,21812,2705,26990,3034,9519,1307,256095,8057,233655,7234,34961,3114,84181,4638,114513,5565,22440,2446,2225445,18028,1518514,20703,992634,16433,153567,7772,255511,9045,583556,12692,525880,11149,706931,15059,263408,9502,155825,8002,35296,3232,37549,4148,82980,4945,107583,5515,443523,11716,282388,9598,42359,3931,57621,4933,182408,6791,161135,6209,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,223554,5117,45076,3150,18304,2433,16255,2393,2345,851,7829,1717,6081,1213,2049,760,26772,2524,5199,1479,4394,1342,1120,599,1618,874,1656,741,805,458,21573,2339,20381,2364,4541,1252,8142,1620,7698,1169,1192,440,178478,5661,126374,5310,75871,4399,10565,2155,21679,2763,43627,3250,50503,3039,52104,4083,19193,2620,12282,2307,3228,1261,2085,702,6969,1671,6911,1724,32911,3156,22366,2694,4216,1426,3036,1011,15114,2514,10545,1556,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,104550,3271,26812,2627,5268,1321,4250,1154,946,593,718,365,2586,932,1018,464,21544,2350,2961,911,2485,834,750,583,720,499,1015,632,476,444,18583,2197,16648,2050,2758,803,5691,1420,8199,1347,1935,824,77738,3155,46048,2729,28632,2480,4330,1073,6628,1426,17674,2002,17416,1888,31690,2808,7808,1468,4149,1381,1051,670,454,359,2644,1195,3659,958,23882,2430,17099,2159,2618,877,4803,1317,9678,1668,6783,1126,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16061,1391,2710,792,539,320,539,320,129,157,180,206,230,204,0,192,2171,772,784,483,784,483,521,408,145,219,118,161,0,192,1387,592,1293,588,233,322,700,447,360,331,94,121,13351,1494,9529,1278,6097,1160,1579,793,1012,545,3506,846,3432,995,3822,1101,1574,819,1044,597,343,389,211,177,490,412,530,520,2248,724,1267,698,181,232,176,180,910,664,981,478,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,941238,13850,180475,7793,84130,5629,56822,4663,9783,1818,19163,2811,27876,3637,27308,3305,96345,6176,20293,3211,15047,2661,3968,1072,4390,1581,6689,1733,5246,1396,76052,5456,63480,4783,10809,2100,17746,2775,34925,3955,12572,1980,760763,14631,529986,11129,263441,9088,46389,3827,48734,4661,168318,7522,266545,8627,230777,10133,71130,5374,32726,3996,9301,2262,4015,909,19410,3065,38404,3613,159647,8634,89883,7195,10880,2146,9988,2453,69015,6203,69764,5187,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
