GEO_ID,B12002B_001E,B12002B_001M,B12002B_002E,B12002B_002M,B12002B_003E,B12002B_003M,B12002B_004E,B12002B_004M,B12002B_005E,B12002B_005M,B12002B_006E,B12002B_006M,B12002B_007E,B12002B_007M,B12002B_008E,B12002B_008M,B12002B_009E,B12002B_009M,B12002B_010E,B12002B_010M,B12002B_011E,B12002B_011M,B12002B_012E,B12002B_012M,B12002B_013E,B12002B_013M,NAME,B12002B_001EA,B12002B_001MA,B12002B_002EA,B12002B_002MA,B12002B_003EA,B12002B_003MA,B12002B_004MA,B12002B_004EA,B12002B_005MA,B12002B_005EA,B12002B_006EA,B12002B_006MA,B12002B_007EA,B12002B_007MA,B12002B_008EA,B12002B_008MA,B12002B_009EA,B12002B_009MA,B12002B_010MA,B12002B_010EA,B12002B_011MA,B12002B_011EA,B12002B_012MA,B12002B_012EA,B12002B_013MA,B12002B_013EA,state
0400000US01,995843,3650,453062,3037,220916,4763,150848,5018,17574,2499,13339,1591,50385,3006,542781,2839,238137,6621,146317,5715,31215,3042,54754,3061,72358,3742,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,17638,1371,9838,875,4117,1090,4411,1016,180,230,187,214,943,526,7800,880,3250,808,2447,789,79,141,404,334,1620,769,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,201977,4754,106716,3405,54906,3716,34919,3556,3491,1317,1402,603,11998,2100,95261,2821,48131,3916,24446,2641,2450,857,6612,1776,13622,2250,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,349326,3253,163311,2336,80371,3499,52190,2741,7591,1603,3852,957,19307,2441,186015,2026,81085,2982,48791,3072,10432,1696,17977,1451,27730,2577,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1815324,11644,889090,7820,448258,8021,291224,7682,27998,3300,22039,2177,99571,5557,926234,7045,438967,7912,227115,6705,39470,3629,82193,3678,138489,6242,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,161677,3324,86122,2527,37424,3292,31364,2525,4067,1409,1812,683,11455,1542,75555,2274,32075,2836,21680,2461,2669,1049,5045,1098,14086,2103,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,280349,3925,131784,2285,65296,3293,46429,2930,3287,1174,4303,1248,12469,1655,148565,2464,70599,3086,38660,2761,6773,1595,12341,1503,20192,2176,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,150161,1815,70090,1181,35344,2433,24695,2324,1975,689,1509,613,6567,1422,80071,1480,33938,2215,25221,2064,2440,762,5956,1194,12516,1598,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,254722,1744,112760,1072,68843,2491,21591,1868,3767,873,4730,1121,13829,1831,141962,1154,79505,2388,22223,1916,5288,1227,16890,1451,18056,1758,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2351964,14409,1109710,8762,551062,10454,382885,10957,37893,3678,25385,2722,112485,6363,1242254,8304,567141,9178,344523,9039,64873,5411,97084,4872,168633,6990,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
