GEO_ID,B14007D_001E,B14007D_001M,B14007D_002E,B14007D_002M,B14007D_003E,B14007D_003M,B14007D_004E,B14007D_004M,B14007D_005E,B14007D_005M,B14007D_006E,B14007D_006M,B14007D_007E,B14007D_007M,B14007D_008E,B14007D_008M,B14007D_009E,B14007D_009M,B14007D_010E,B14007D_010M,B14007D_011E,B14007D_011M,B14007D_012E,B14007D_012M,B14007D_013E,B14007D_013M,B14007D_014E,B14007D_014M,B14007D_015E,B14007D_015M,B14007D_016E,B14007D_016M,B14007D_017E,B14007D_017M,B14007D_018E,B14007D_018M,B14007D_019E,B14007D_019M,NAME,B14007D_001EA,B14007D_001MA,B14007D_002MA,B14007D_002EA,B14007D_003EA,B14007D_003MA,B14007D_004MA,B14007D_004EA,B14007D_005EA,B14007D_005MA,B14007D_006EA,B14007D_006MA,B14007D_007EA,B14007D_007MA,B14007D_008EA,B14007D_008MA,B14007D_009EA,B14007D_009MA,B14007D_010MA,B14007D_010EA,B14007D_011MA,B14007D_011EA,B14007D_012EA,B14007D_012MA,B14007D_013EA,B14007D_013MA,B14007D_014EA,B14007D_014MA,B14007D_015MA,B14007D_015EA,B14007D_016MA,B14007D_016EA,B14007D_017EA,B14007D_017MA,B14007D_018EA,B14007D_018MA,B14007D_019EA,B14007D_019MA,state
0400000US01,52875,2273,16923,1722,778,383,833,456,579,376,1084,463,859,402,1089,465,945,378,932,349,703,343,683,439,1038,481,263,180,847,536,184,136,3697,951,2409,849,35952,2140,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,36640,1903,9258,1244,63,88,413,259,266,202,617,278,418,269,521,355,591,292,356,262,757,349,640,295,240,178,843,312,542,251,1243,536,1437,543,311,223,27382,1216,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,172684,5743,50528,4699,2427,943,1896,820,2711,927,1879,715,3325,1255,1625,754,2040,827,2788,953,1119,505,2519,998,1859,709,2368,778,2335,710,1427,565,13696,2099,6514,2030,122156,4286,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,32515,2467,10611,1866,533,326,183,187,314,316,1111,624,711,313,492,315,351,282,632,450,507,341,472,293,576,397,254,138,225,223,149,144,3243,1209,858,477,21904,2013,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4816535,17632,1364510,14634,69385,4718,56106,3411,54345,3706,52691,3441,57682,3887,55755,3269,53280,3435,57687,3673,53766,3578,51289,3905,54792,3656,62840,3120,61577,3521,59203,3777,448232,9627,115880,5825,3452025,14354,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,138768,3811,45160,3096,2867,862,2206,747,1369,485,2456,756,1921,700,2403,890,3002,1209,1631,777,1845,604,1963,681,3163,1167,1852,463,1344,568,2531,802,11047,1719,3560,974,93608,2813,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,134758,2429,47146,2269,2781,731,1626,451,1573,574,2080,551,2183,794,2228,684,1877,567,3309,793,2704,818,1971,690,1920,590,1542,492,2499,604,2239,863,10420,1543,6194,1604,87612,2346,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,28972,1194,8836,1105,1058,420,645,295,539,297,152,129,262,192,444,342,350,238,392,230,270,243,293,212,374,266,377,271,289,241,451,341,1522,630,1418,617,20136,1217,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,449510,8480,133763,6770,6463,1366,6203,1678,4843,1144,5610,1436,4753,1139,6596,1501,5620,1300,4968,1339,4220,1207,5124,1317,5330,1185,6467,1747,5143,1015,7909,1894,37841,3699,16673,2703,315747,6994,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
