GEO_ID,C20005F_001E,C20005F_001M,C20005F_002E,C20005F_002M,C20005F_003E,C20005F_003M,C20005F_004E,C20005F_004M,C20005F_005E,C20005F_005M,C20005F_006E,C20005F_006M,C20005F_007E,C20005F_007M,C20005F_008E,C20005F_008M,C20005F_009E,C20005F_009M,C20005F_010E,C20005F_010M,C20005F_011E,C20005F_011M,C20005F_012E,C20005F_012M,C20005F_013E,C20005F_013M,C20005F_014E,C20005F_014M,C20005F_015E,C20005F_015M,C20005F_016E,C20005F_016M,C20005F_017E,C20005F_017M,C20005F_018E,C20005F_018M,C20005F_019E,C20005F_019M,C20005F_020E,C20005F_020M,C20005F_021E,C20005F_021M,C20005F_022E,C20005F_022M,C20005F_023E,C20005F_023M,C20005F_024E,C20005F_024M,C20005F_025E,C20005F_025M,C20005F_026E,C20005F_026M,C20005F_027E,C20005F_027M,C20005F_028E,C20005F_028M,C20005F_029E,C20005F_029M,C20005F_030E,C20005F_030M,C20005F_031E,C20005F_031M,C20005F_032E,C20005F_032M,C20005F_033E,C20005F_033M,C20005F_034E,C20005F_034M,C20005F_035E,C20005F_035M,C20005F_036E,C20005F_036M,C20005F_037E,C20005F_037M,C20005F_038E,C20005F_038M,C20005F_039E,C20005F_039M,NAME,C20005F_001MA,C20005F_001EA,C20005F_002MA,C20005F_002EA,C20005F_003MA,C20005F_003EA,C20005F_004EA,C20005F_004MA,C20005F_005EA,C20005F_005MA,C20005F_006MA,C20005F_006EA,C20005F_007MA,C20005F_007EA,C20005F_008MA,C20005F_008EA,C20005F_009EA,C20005F_009MA,C20005F_010EA,C20005F_010MA,C20005F_011EA,C20005F_011MA,C20005F_012MA,C20005F_012EA,C20005F_013MA,C20005F_013EA,C20005F_014MA,C20005F_014EA,C20005F_015EA,C20005F_015MA,C20005F_016EA,C20005F_016MA,C20005F_017MA,C20005F_017EA,C20005F_018MA,C20005F_018EA,C20005F_019MA,C20005F_019EA,C20005F_020EA,C20005F_020MA,C20005F_021EA,C20005F_021MA,C20005F_022EA,C20005F_022MA,C20005F_023EA,C20005F_023MA,C20005F_024MA,C20005F_024EA,C20005F_025MA,C20005F_025EA,C20005F_026EA,C20005F_026MA,C20005F_027EA,C20005F_027MA,C20005F_028EA,C20005F_028MA,C20005F_029MA,C20005F_029EA,C20005F_030MA,C20005F_030EA,C20005F_031MA,C20005F_031EA,C20005F_032MA,C20005F_032EA,C20005F_033EA,C20005F_033MA,C20005F_034MA,C20005F_034EA,C20005F_035MA,C20005F_035EA,C20005F_036MA,C20005F_036EA,C20005F_037MA,C20005F_037EA,C20005F_038EA,C20005F_038MA,C20005F_039MA,C20005F_039EA,state
0400000US01,42726,5652,26434,3557,16112,2699,0,190,16112,2699,1072,647,5859,1705,6211,1817,2073,831,570,400,327,427,10322,2401,4124,1519,6198,1978,3698,1383,1253,756,642,508,605,880,0,190,0,190,16292,3015,4824,1268,0,190,4824,1268,119,181,1635,689,1318,756,1455,885,245,231,52,80,11468,2581,7453,1970,4015,1658,2943,1381,224,176,848,653,0,190,0,190,0,190,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,281665,14095,151136,8771,67875,6069,0,229,67875,6069,1868,768,18567,3379,15971,2662,20031,3296,6906,2019,4532,1739,83261,6753,43878,4379,39383,4107,19183,2745,13308,2197,4628,1406,1274,590,487,435,503,568,130529,7530,37224,3560,0,229,37224,3560,2307,870,10743,2077,10169,1989,10875,2079,2313,864,817,517,93305,6212,58201,4932,35104,4009,21210,3116,9619,1876,2183,883,1312,747,690,543,90,117,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,39936,5088,21382,3171,12613,2169,0,192,12613,2169,336,411,1969,1000,6249,1687,3324,1187,579,395,156,167,8769,1916,4705,1426,4064,1113,2284,840,904,528,360,396,341,415,74,120,101,166,18554,2685,7134,1701,0,192,7134,1701,542,449,1372,673,2642,1077,2422,1447,156,166,0,192,11420,2143,6359,1560,5061,1609,2368,1211,1878,706,648,479,167,139,0,192,0,192,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3420212,45756,1755685,27192,831374,15758,0,208,831374,15758,23350,3231,194021,9515,190775,7401,242176,8987,116548,5383,64504,4800,924311,20966,459713,13600,464598,14309,201241,8852,143809,6990,63679,5733,38794,4191,11027,1879,6048,1474,1664527,23196,487124,12924,0,208,487124,12924,16105,2253,125718,6228,123444,7094,134350,6525,60067,4608,27440,3704,1177403,21617,718656,16134,458747,13014,247398,8323,135710,8519,41912,3939,22871,2365,7862,1545,2994,870,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,156064,10050,80620,5811,38778,3851,0,201,38778,3851,2365,1364,5950,1393,9166,1577,12716,2291,5148,1443,3433,1014,41842,4348,17856,2502,23986,3563,9915,2050,7875,1770,3081,1057,2583,1144,425,393,107,108,75444,5554,22568,3006,0,201,22568,3006,1861,1186,4705,1350,6185,1572,6511,1558,2259,810,1047,525,52876,4210,28944,2869,23932,3137,12999,2610,7423,1687,2018,824,1012,462,122,124,358,435,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,141959,7355,73776,4449,31158,3188,0,198,31158,3188,321,264,5884,1810,7421,1645,10250,2016,4320,1088,2962,1095,42618,3785,18085,2274,24533,3172,10114,1907,9282,2195,1989,985,1591,672,1557,829,0,198,68183,4087,19246,2717,0,198,19246,2717,170,191,3608,1162,6021,1554,6101,1375,2534,853,812,494,48937,3682,27877,2693,21060,2522,10130,1784,7460,1671,2620,886,512,562,35,58,303,262,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,18224,2803,8822,1882,4572,1382,0,200,4572,1382,0,200,582,554,761,527,1365,744,732,508,1132,609,4250,1616,3056,1500,1194,578,268,266,155,187,156,205,359,338,225,271,31,51,9402,1469,3693,854,0,200,3693,854,0,200,256,249,989,546,1191,575,677,467,580,341,5709,1291,3404,1057,2305,884,934,537,865,605,166,268,115,172,225,347,0,200,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,382828,20650,199275,11719,89578,7377,0,238,89578,7377,3666,1426,24745,4135,22882,4202,22439,3216,9840,2315,6006,1768,109697,8119,55096,5552,54601,5545,26325,3131,18077,3416,4610,1270,4115,1512,1399,893,75,125,183553,12727,65089,6567,0,238,65089,6567,2917,1151,19966,3470,17889,3343,15540,4019,7274,1685,1503,728,118464,9246,73345,6756,45119,5190,23619,3845,16349,2877,3540,1339,1356,800,189,190,66,122,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
