GEO_ID,B10051G_001E,B10051G_001M,B10051G_002E,B10051G_002M,B10051G_003E,B10051G_003M,B10051G_004E,B10051G_004M,B10051G_005E,B10051G_005M,B10051G_006E,B10051G_006M,B10051G_007E,B10051G_007M,NAME,B10051G_001MA,B10051G_001EA,B10051G_002EA,B10051G_002MA,B10051G_003MA,B10051G_003EA,B10051G_004MA,B10051G_004EA,B10051G_005MA,B10051G_005EA,B10051G_006MA,B10051G_006EA,B10051G_007EA,B10051G_007MA,state
0400000US01,1393,611,721,532,429,462,292,242,672,322,254,224,418,261,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,527,324,304,264,120,119,184,171,223,194,71,68,152,189,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3277,1317,1238,730,889,666,349,293,2039,1104,1148,958,891,586,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1089,562,875,493,760,458,115,106,214,202,90,140,124,134,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,28101,3167,10291,1821,7209,1431,3082,1148,17810,2394,8205,1665,9605,1850,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1681,772,812,444,427,307,385,313,869,454,307,202,562,415,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1574,678,738,457,403,337,335,291,836,588,270,271,566,488,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7021,1811,3054,929,2221,791,833,478,3967,1376,1717,858,2250,1201,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1874,921,542,479,518,478,24,39,1332,734,537,385,795,606,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,11768,1861,3801,979,2132,787,1669,640,7967,1484,2915,851,5052,1157,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3088,810,1426,532,949,437,477,314,1662,595,1017,476,645,343,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1899,835,1155,506,791,439,364,270,744,555,525,535,219,175,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1183,534,528,301,257,179,271,238,655,400,391,340,264,219,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,788,388,327,247,126,175,201,177,461,265,326,243,135,118,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2172,823,485,299,309,247,176,173,1687,788,967,653,720,519,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,2550,840,705,432,643,425,62,76,1845,688,683,415,1162,526,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2972,762,1060,336,751,265,309,198,1912,621,823,338,1089,523,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,836,417,435,333,222,203,213,189,401,246,42,52,359,243,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1787,623,1102,481,895,454,207,151,685,395,304,196,381,321,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,963,505,395,303,340,292,55,95,568,393,363,352,205,181,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,3877,1303,853,498,359,299,494,298,3024,1162,1842,887,1182,599,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,10029,1661,3821,1175,2192,810,1629,601,6208,1299,2469,832,3739,955,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,3784,1364,1693,1032,907,713,786,728,2091,878,665,457,1426,829,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,3079,1116,2153,1022,1638,936,515,464,926,371,426,287,500,310,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,6328,1223,3007,771,2209,710,798,288,3321,916,1667,571,1654,843,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,1505,539,725,411,601,418,124,161,780,383,457,281,323,266,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,2652,679,877,324,625,300,252,168,1775,636,589,354,1186,535,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1205,531,719,431,364,304,355,288,486,308,264,283,222,131,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1542,624,827,417,678,389,149,171,715,358,382,253,333,292,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,11744,2108,4418,1161,2336,695,2082,804,7326,1981,3858,1406,3468,1120,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
