GEO_ID,B10051B_001E,B10051B_001M,B10051B_002E,B10051B_002M,B10051B_003E,B10051B_003M,B10051B_004E,B10051B_004M,B10051B_005E,B10051B_005M,B10051B_006E,B10051B_006M,B10051B_007E,B10051B_007M,NAME,B10051B_001EA,B10051B_001MA,B10051B_002EA,B10051B_002MA,B10051B_003EA,B10051B_003MA,B10051B_004MA,B10051B_004EA,B10051B_005EA,B10051B_005MA,B10051B_006MA,B10051B_006EA,B10051B_007EA,B10051B_007MA,state
0400000US01,43389,2977,26282,2387,18732,2298,7550,1281,17107,2185,9804,1775,7303,1330,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5954,1734,2817,979,2488,946,329,251,3137,1413,1616,1235,1521,640,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,12136,1770,6663,1387,4778,1286,1885,609,5473,1293,3024,1144,2449,695,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,59655,4868,26318,3256,14627,2041,11691,2083,33337,3215,17936,2117,15401,2143,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5743,1443,2180,897,1884,866,296,249,3563,1280,1181,581,2382,1141,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,9990,1834,4269,1015,2559,865,1710,596,5721,1444,3102,1244,2619,808,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,7560,1920,2585,923,1507,656,1078,494,4975,1510,2318,1130,2657,896,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8736,1310,3744,982,2533,850,1211,478,4992,1119,2009,805,2983,846,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,105682,7043,51221,4620,34411,3605,16810,3228,54461,5998,26670,3763,27791,3489,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,102682,7455,52030,5241,35002,4787,17028,2087,50652,4548,28506,3690,22146,2812,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,67382,4583,32752,3166,19351,2514,13401,1932,34630,3369,20019,2884,14611,2058,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,17433,2521,10552,2029,7531,1729,3021,936,6881,1435,4072,1195,2809,897,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,835,439,268,209,0,155,268,209,567,323,184,167,383,287,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,3044,922,1634,579,890,428,744,325,1410,626,897,587,513,279,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,8936,1561,5804,1387,3705,1042,2099,694,3132,812,1941,632,1191,467,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,52474,4679,31205,3126,20867,2798,10338,1597,21269,2887,12179,2558,9090,1354,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,54956,4421,21604,2954,14137,2390,7467,1373,33352,3393,16879,2725,16473,2200,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
