GEO_ID,B16005C_001E,B16005C_001M,B16005C_002E,B16005C_002M,B16005C_003E,B16005C_003M,B16005C_004E,B16005C_004M,B16005C_005E,B16005C_005M,B16005C_006E,B16005C_006M,B16005C_007E,B16005C_007M,B16005C_008E,B16005C_008M,B16005C_009E,B16005C_009M,B16005C_010E,B16005C_010M,B16005C_011E,B16005C_011M,NAME,B16005C_001EA,B16005C_001MA,B16005C_002MA,B16005C_002EA,B16005C_003MA,B16005C_003EA,B16005C_004MA,B16005C_004EA,B16005C_005MA,B16005C_005EA,B16005C_006EA,B16005C_006MA,B16005C_007EA,B16005C_007MA,B16005C_008EA,B16005C_008MA,B16005C_009MA,B16005C_009EA,B16005C_010MA,B16005C_010EA,B16005C_011MA,B16005C_011EA,state
0400000US01,23808,2209,22525,1816,21076,1863,1449,649,1142,602,307,263,1283,1058,0,190,1283,1058,72,126,1211,1086,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,93288,3393,93188,3393,63570,3408,29618,2335,22033,2000,7585,1103,100,88,24,27,76,85,9,15,67,84,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,263203,4797,259840,4409,135290,5969,124550,4908,97374,4939,27176,2782,3363,1331,541,459,2822,1082,703,508,2119,961,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,272365,13745,241521,11558,182350,8717,59171,6541,49910,6015,9261,1762,30844,4205,1462,541,29382,4133,7853,1511,21529,3214,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,48016,4617,45883,4521,36047,4027,9836,2015,8295,1801,1541,714,2133,1015,77,127,2056,1003,1161,899,895,433,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,7014,1629,5763,1470,4376,1203,1387,733,994,557,393,380,1251,669,142,207,1109,642,207,258,902,576,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,59368,5887,48059,4344,37525,3483,10534,2555,8233,2292,2301,1423,11309,3885,1449,889,9860,3463,1983,745,7877,3177,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,24174,4378,19945,4185,18089,4035,1856,748,1501,692,355,338,4229,1724,977,789,3252,1604,570,390,2682,1381,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,18759,2414,18580,2415,15617,2416,2963,794,2448,691,515,332,179,186,95,121,84,134,84,134,0,195,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,24816,3185,21234,2713,16672,2317,4562,1445,3150,1090,1412,646,3582,1147,497,329,3085,1134,1061,473,2024,973,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,11916,1759,10628,1571,9499,1444,1129,592,886,543,243,185,1288,736,483,547,805,444,302,232,503,367,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,22787,2708,21811,2608,17182,1997,4629,1431,3691,1168,938,686,976,621,92,146,884,595,50,85,834,606,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,26604,2078,25366,1832,22728,2112,2638,845,2133,785,505,400,1238,1020,0,198,1238,1020,311,283,927,964,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,7632,1526,7343,1501,6486,1344,857,500,780,481,77,62,289,205,168,194,121,96,115,100,6,14,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,14159,1410,12894,1371,11617,1424,1277,483,1088,443,189,180,1265,495,438,360,827,389,381,238,446,311,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,12821,2276,10526,2195,8514,1834,2012,908,1680,852,332,282,2295,827,663,446,1632,767,277,231,1355,721,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,51483,3387,50096,3291,46679,2803,3417,1142,2806,1011,611,453,1387,489,631,251,756,389,479,305,277,219,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,54785,2737,52939,2784,47156,2701,5783,1215,4981,1096,802,358,1846,898,688,369,1158,841,239,213,919,788,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,10973,1748,10359,1307,6044,1035,4315,1122,3371,1182,944,595,614,641,82,113,532,635,0,206,532,635,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,20707,2411,20287,2383,18702,2366,1585,445,1513,450,72,70,420,294,82,74,338,301,223,233,115,185,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,16497,1850,15205,1533,13083,1532,2122,721,1984,728,138,113,1292,795,81,110,1211,797,242,202,969,680,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,30445,2847,28767,2654,22874,2410,5893,1193,4721,1058,1172,654,1678,1101,162,178,1516,1091,62,89,1454,1069,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
