GEO_ID,C19037C_001E,C19037C_001M,C19037C_002E,C19037C_002M,C19037C_003E,C19037C_003M,C19037C_004E,C19037C_004M,C19037C_005E,C19037C_005M,C19037C_006E,C19037C_006M,C19037C_007E,C19037C_007M,C19037C_008E,C19037C_008M,C19037C_009E,C19037C_009M,C19037C_010E,C19037C_010M,C19037C_011E,C19037C_011M,C19037C_012E,C19037C_012M,C19037C_013E,C19037C_013M,C19037C_014E,C19037C_014M,C19037C_015E,C19037C_015M,C19037C_016E,C19037C_016M,C19037C_017E,C19037C_017M,C19037C_018E,C19037C_018M,C19037C_019E,C19037C_019M,C19037C_020E,C19037C_020M,C19037C_021E,C19037C_021M,C19037C_022E,C19037C_022M,C19037C_023E,C19037C_023M,C19037C_024E,C19037C_024M,C19037C_025E,C19037C_025M,C19037C_026E,C19037C_026M,C19037C_027E,C19037C_027M,C19037C_028E,C19037C_028M,C19037C_029E,C19037C_029M,C19037C_030E,C19037C_030M,C19037C_031E,C19037C_031M,C19037C_032E,C19037C_032M,C19037C_033E,C19037C_033M,C19037C_034E,C19037C_034M,C19037C_035E,C19037C_035M,C19037C_036E,C19037C_036M,C19037C_037E,C19037C_037M,C19037C_038E,C19037C_038M,C19037C_039E,C19037C_039M,C19037C_040E,C19037C_040M,C19037C_041E,C19037C_041M,C19037C_042E,C19037C_042M,C19037C_043E,C19037C_043M,C19037C_044E,C19037C_044M,C19037C_045E,C19037C_045M,NAME,C19037C_001MA,C19037C_001EA,C19037C_002MA,C19037C_002EA,C19037C_003MA,C19037C_003EA,C19037C_004MA,C19037C_004EA,C19037C_005MA,C19037C_005EA,C19037C_006EA,C19037C_006MA,C19037C_007MA,C19037C_007EA,C19037C_008EA,C19037C_008MA,C19037C_009MA,C19037C_009EA,C19037C_010MA,C19037C_010EA,C19037C_011MA,C19037C_011EA,C19037C_012MA,C19037C_012EA,C19037C_013MA,C19037C_013EA,C19037C_014MA,C19037C_014EA,C19037C_015MA,C19037C_015EA,C19037C_016MA,C19037C_016EA,C19037C_017EA,C19037C_017MA,C19037C_018MA,C19037C_018EA,C19037C_019EA,C19037C_019MA,C19037C_020EA,C19037C_020MA,C19037C_021MA,C19037C_021EA,C19037C_022MA,C19037C_022EA,C19037C_023EA,C19037C_023MA,C19037C_024MA,C19037C_024EA,C19037C_025EA,C19037C_025MA,C19037C_026MA,C19037C_026EA,C19037C_027EA,C19037C_027MA,C19037C_028EA,C19037C_028MA,C19037C_029MA,C19037C_029EA,C19037C_030EA,C19037C_030MA,C19037C_031MA,C19037C_031EA,C19037C_032EA,C19037C_032MA,C19037C_033EA,C19037C_033MA,C19037C_034EA,C19037C_034MA,C19037C_035MA,C19037C_035EA,C19037C_036MA,C19037C_036EA,C19037C_037MA,C19037C_037EA,C19037C_038EA,C19037C_038MA,C19037C_039EA,C19037C_039MA,C19037C_040MA,C19037C_040EA,C19037C_041EA,C19037C_041MA,C19037C_042MA,C19037C_042EA,C19037C_043EA,C19037C_043MA,C19037C_044EA,C19037C_044MA,C19037C_045EA,C19037C_045MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,29151,1489,1281,478,354,287,222,149,188,141,298,301,91,51,102,75,26,36,0,149,0,149,0,149,9648,1109,535,195,337,107,959,315,938,316,2447,656,1618,529,976,462,1310,385,441,342,87,106,13186,936,1128,294,720,268,1327,390,1746,498,1438,353,2322,522,1793,515,2070,445,479,160,163,118,5036,580,256,134,436,175,1312,427,731,213,832,356,816,272,211,80,335,203,68,43,39,66,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,72834,3619,4834,1053,1214,589,636,411,465,408,1119,517,508,569,798,548,8,16,0,229,0,229,86,144,25084,2199,5228,1126,1490,425,3754,939,3724,932,4079,1280,3506,857,1894,698,1229,487,71,54,109,134,29566,2024,4822,855,2994,927,3312,728,3408,803,3710,847,5752,1208,2491,741,1940,822,851,435,286,242,13350,1019,2921,550,1566,601,2635,560,1407,380,1581,499,1812,647,991,596,290,249,68,87,79,68,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,93230,4475,4442,1326,885,597,347,330,1055,599,638,500,562,485,212,194,62,82,635,623,0,208,46,82,30990,3112,4096,1190,1146,511,4113,1083,3068,958,4692,1213,6374,1473,3416,927,3156,830,524,333,405,267,43242,2760,4446,953,3347,889,4389,974,4775,1366,5652,1232,7218,1199,4315,1010,4277,935,3063,848,1760,640,14556,1501,708,357,2229,730,2678,664,1710,590,2276,693,1964,734,1296,497,922,551,445,246,328,240,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,16650,1713,915,594,0,201,75,124,558,559,58,75,75,93,149,147,0,201,0,201,0,201,0,201,7458,1266,1286,512,460,367,1155,548,821,533,988,455,1034,465,1227,663,407,309,36,63,44,69,6516,1070,1146,533,515,336,1076,641,613,385,843,428,1346,516,301,256,352,239,196,169,128,130,1761,528,253,181,218,200,313,190,231,223,152,153,236,235,346,248,12,20,0,201,0,201,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18554,2527,650,594,89,152,0,238,408,544,0,238,71,123,0,238,82,130,0,238,0,238,0,238,6440,1649,727,437,572,449,393,280,2032,1258,625,434,1074,690,506,365,153,250,172,275,186,237,8756,1563,1777,828,769,515,1173,733,899,496,1186,516,1487,605,812,393,6,12,365,266,282,332,2708,845,146,119,399,306,557,424,195,224,592,368,259,220,447,460,71,112,0,238,42,75,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
