GEO_ID,B17020B_001E,B17020B_001M,B17020B_002E,B17020B_002M,B17020B_003E,B17020B_003M,B17020B_004E,B17020B_004M,B17020B_005E,B17020B_005M,B17020B_006E,B17020B_006M,B17020B_007E,B17020B_007M,B17020B_008E,B17020B_008M,B17020B_009E,B17020B_009M,B17020B_010E,B17020B_010M,B17020B_011E,B17020B_011M,B17020B_012E,B17020B_012M,B17020B_013E,B17020B_013M,B17020B_014E,B17020B_014M,B17020B_015E,B17020B_015M,B17020B_016E,B17020B_016M,B17020B_017E,B17020B_017M,NAME,B17020B_001MA,B17020B_001EA,B17020B_002EA,B17020B_002MA,B17020B_003EA,B17020B_003MA,B17020B_004EA,B17020B_004MA,B17020B_005MA,B17020B_005EA,B17020B_006MA,B17020B_006EA,B17020B_007MA,B17020B_007EA,B17020B_008EA,B17020B_008MA,B17020B_009EA,B17020B_009MA,B17020B_010EA,B17020B_010MA,B17020B_011MA,B17020B_011EA,B17020B_012MA,B17020B_012EA,B17020B_013EA,B17020B_013MA,B17020B_014EA,B17020B_014MA,B17020B_015EA,B17020B_015MA,B17020B_016MA,B17020B_016EA,B17020B_017MA,B17020B_017EA,state
0400000US01,1238796,5344,400999,15082,49290,3048,10397,1745,52211,3970,45824,3678,217844,9030,13118,1547,12315,1203,837797,15154,42535,3157,10066,1988,58830,3984,75423,4443,558467,9018,54485,1991,37991,1831,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,21776,2068,3799,1581,138,173,37,63,537,710,487,361,2422,953,132,242,46,82,17977,2476,1619,594,37,66,1641,632,1473,694,12390,1552,212,233,605,361,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,251084,8083,57778,8855,5914,1738,1748,832,6303,2133,6959,2328,34021,5081,1645,674,1188,477,193306,10854,13879,3372,3018,1782,19777,4242,19486,3709,122112,5660,10035,1184,4999,715,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,442375,4791,146010,10817,19890,2623,2903,884,21461,3108,17290,2457,75727,5705,4854,919,3885,803,296365,10903,16712,2517,2933,1083,23792,2879,30696,3188,194139,5901,16441,1215,11652,1078,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2147462,16189,537757,18786,55373,4957,10947,1970,55166,5081,61356,5322,326512,12005,16225,1651,12178,1557,1609705,20887,80215,5241,19909,3065,113891,5782,136064,5463,1065037,14138,116042,2748,78547,1878,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,191005,4973,52182,7183,6715,1401,848,428,6549,2093,4355,1495,30591,4182,2029,899,1095,460,138823,7201,7640,1698,1188,565,10661,2214,12073,2108,95188,4081,7918,1017,4155,612,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,343943,5814,78883,8808,9472,1678,2058,883,11399,2292,9931,2304,42308,4619,1702,558,2013,551,265060,8051,14873,1768,2469,858,22003,2466,24323,2327,176094,4914,16144,871,9154,925,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,184484,3120,37173,5225,3436,893,620,419,5018,1294,4723,1798,20705,2783,1269,543,1402,574,147311,5914,9471,1235,1484,664,13061,2464,13440,2579,95673,3100,9976,639,4206,712,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,297909,3403,82745,7488,9809,1531,2370,742,7227,1605,9475,1750,47227,4430,3160,685,3477,745,215164,7747,9477,1512,2395,930,12394,1858,13720,1809,141995,4686,18845,787,16338,845,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2928947,20050,866761,26287,97959,6941,21708,2924,116578,6962,104596,6870,470229,14417,30327,3001,25364,2748,2062186,30335,126716,7669,25113,3429,156442,8588,178389,7519,1372159,19428,125869,4511,77498,3508,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2906723,15377,810179,25505,98614,6402,19906,2720,101114,7366,101119,7739,442106,13899,27013,2473,20307,2225,2096544,26803,122987,6486,27366,3421,178109,8544,183277,9045,1412122,15901,112946,3961,59737,3364,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,23675,1569,2629,920,383,421,0,187,22,37,205,256,1785,646,37,73,197,227,21046,1706,1465,373,136,153,1989,611,1580,537,14855,1356,810,394,211,167,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1788230,10012,555178,17090,66058,3995,12380,1576,73473,4724,72829,4982,299977,10542,18164,2470,12297,1660,1233052,18442,61800,3859,13771,2497,88419,5181,112446,5805,810185,11524,87106,2746,59325,2113,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,560427,7178,191874,9777,24646,2605,4994,1394,28079,3166,25241,2694,101982,5432,3662,935,3270,591,368553,10012,20484,2138,4423,1184,29622,3196,32984,2686,242505,5844,22271,1197,16264,1073,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,81856,3223,33521,4092,5283,1291,783,429,6417,1334,3754,1151,16616,2007,346,258,322,334,48335,3450,3408,1099,1028,601,3629,1039,4823,1231,31659,2148,2200,540,1588,395,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,157436,4965,45753,5191,8998,2273,940,428,6599,1501,5099,1139,22662,2799,862,353,593,264,111683,5568,6158,1649,1946,1011,6986,1277,10088,1588,76040,4002,6034,737,4431,487,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,326957,6905,106799,8237,12947,2027,3160,1081,14861,2184,10276,1963,58530,5192,3705,976,3320,758,220158,9971,11467,1987,2319,886,13722,2406,21477,2420,149371,6071,13104,1289,8698,987,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
