GEO_ID,B01001B_001E,B01001B_001M,B01001B_002E,B01001B_002M,B01001B_003E,B01001B_003M,B01001B_004E,B01001B_004M,B01001B_005E,B01001B_005M,B01001B_006E,B01001B_006M,B01001B_007E,B01001B_007M,B01001B_008E,B01001B_008M,B01001B_009E,B01001B_009M,B01001B_010E,B01001B_010M,B01001B_011E,B01001B_011M,B01001B_012E,B01001B_012M,B01001B_013E,B01001B_013M,B01001B_014E,B01001B_014M,B01001B_015E,B01001B_015M,B01001B_016E,B01001B_016M,B01001B_017E,B01001B_017M,B01001B_018E,B01001B_018M,B01001B_019E,B01001B_019M,B01001B_020E,B01001B_020M,B01001B_021E,B01001B_021M,B01001B_022E,B01001B_022M,B01001B_023E,B01001B_023M,B01001B_024E,B01001B_024M,B01001B_025E,B01001B_025M,B01001B_026E,B01001B_026M,B01001B_027E,B01001B_027M,B01001B_028E,B01001B_028M,B01001B_029E,B01001B_029M,B01001B_030E,B01001B_030M,B01001B_031E,B01001B_031M,NAME,B01001B_001EA,B01001B_001MA,B01001B_002EA,B01001B_002MA,B01001B_003EA,B01001B_003MA,B01001B_004MA,B01001B_004EA,B01001B_005MA,B01001B_005EA,B01001B_006EA,B01001B_006MA,B01001B_007EA,B01001B_007MA,B01001B_008MA,B01001B_008EA,B01001B_009EA,B01001B_009MA,B01001B_010MA,B01001B_010EA,B01001B_011MA,B01001B_011EA,B01001B_012EA,B01001B_012MA,B01001B_013EA,B01001B_013MA,B01001B_014EA,B01001B_014MA,B01001B_015MA,B01001B_015EA,B01001B_016MA,B01001B_016EA,B01001B_017MA,B01001B_017EA,B01001B_018EA,B01001B_018MA,B01001B_019EA,B01001B_019MA,B01001B_020EA,B01001B_020MA,B01001B_021MA,B01001B_021EA,B01001B_022MA,B01001B_022EA,B01001B_023EA,B01001B_023MA,B01001B_024EA,B01001B_024MA,B01001B_025EA,B01001B_025MA,B01001B_026MA,B01001B_026EA,B01001B_027MA,B01001B_027EA,B01001B_028EA,B01001B_028MA,B01001B_029EA,B01001B_029MA,B01001B_030EA,B01001B_030MA,B01001B_031EA,B01001B_031MA,state
0400000US01,1281095,4637,598314,3797,47370,1684,46238,2888,51644,2967,32188,1506,24408,1548,52914,1849,40316,1702,38740,1767,72880,2219,80862,2095,64067,1171,29022,1231,12977,1099,4688,936,682781,3632,45264,1549,45019,2475,49717,2805,30543,1693,24242,1642,55866,1884,48915,1987,46838,2038,89860,1929,93743,1961,77886,994,40017,956,23188,1246,11683,1211,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,23143,2072,12133,1218,478,390,307,305,1510,640,286,257,421,255,1760,615,1473,477,1686,670,1182,584,1479,829,1172,314,0,149,243,243,136,204,11010,1399,1279,565,1196,481,735,411,231,197,259,190,538,484,1448,813,920,577,1913,829,760,448,1037,333,351,334,273,197,70,128,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,265940,7841,141912,5028,10310,1363,10960,2487,13926,2445,7142,1293,5227,921,14442,1596,11499,843,11097,893,19847,1810,17698,744,11753,661,5541,642,1947,456,523,342,124028,5290,9527,2572,10515,1795,8725,1592,6941,977,4860,1218,10373,1311,9271,903,9768,1650,15929,1004,15758,915,12183,1041,6210,490,2666,469,1302,399,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,463364,4287,222587,3128,19363,1851,18892,1913,21021,2030,11996,1165,9460,1163,18184,1980,14107,1304,17526,1731,26623,1765,27237,1620,23205,1104,9668,761,3810,640,1495,477,240777,3331,17715,1876,16232,1949,20815,1767,10844,923,9174,1498,17776,1614,16128,1553,18677,1528,31025,1415,33251,1329,25586,906,12329,802,7069,870,4156,603,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2253905,15479,1115401,10246,72082,3842,74112,4761,80117,4401,54449,2504,42117,3167,97568,3617,79001,2990,75610,2655,151697,2913,170498,3859,120789,1775,60047,1652,28886,1527,8428,1346,1138504,10148,66463,3468,69064,4536,76743,4072,51267,2534,35940,2394,94794,2412,77050,2507,74527,2490,151636,2521,174636,3106,132134,2080,75326,1233,37274,2282,21650,2137,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,203243,4916,107692,2892,7987,1162,6324,1563,7259,1546,4086,639,3458,520,8736,963,9291,1170,10115,1305,17048,1109,16404,1105,10028,736,4844,496,1632,409,480,266,95551,3398,6720,963,7984,1377,5292,1237,5199,1102,2886,1106,8202,1236,6880,1154,7182,960,13054,1042,13502,780,9864,610,5168,432,2313,477,1305,465,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,359683,5702,171824,3216,12893,1411,14081,1630,13066,1672,9589,815,7166,429,14708,940,12326,1003,11930,680,24148,1047,24782,1094,15152,658,7434,467,3267,554,1282,493,187859,3255,11662,868,12833,1653,14799,1642,8767,627,6352,580,13133,861,13454,1047,14142,946,26930,1128,27378,856,19238,692,11019,544,5731,602,2421,639,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,193899,2993,92419,1790,7020,708,7166,1201,8143,1430,4883,709,3507,560,7941,522,6325,41,5677,428,12661,560,12807,282,9130,199,5244,283,1424,413,491,315,101480,1863,6216,784,7436,1725,7757,1727,4173,722,3843,659,7520,783,6531,386,6628,328,14479,687,14829,543,11576,292,6050,420,3328,498,1114,546,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,309845,2181,140943,1430,10086,343,8543,1088,9554,1046,6113,352,5383,198,11773,336,9303,421,8472,435,16686,301,21412,234,17535,234,9148,208,5643,450,1292,470,168902,1339,9200,438,9288,1396,8452,1375,5925,569,5815,240,13676,280,11813,303,10948,338,19749,461,24471,249,22198,258,13078,228,9513,786,4776,787,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3046628,20255,1462986,10942,114142,3892,116637,5863,122497,6194,76142,2945,60225,3551,133566,4126,110186,3851,101882,4515,186660,3862,195903,3969,134633,2474,69956,2297,33145,1874,7412,1361,1583642,13074,113289,4474,109216,6052,118883,4732,71550,2859,57381,3100,130893,3754,119960,3044,111296,3392,216428,4110,215390,4233,160887,2631,89498,2659,48364,2394,20607,1964,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
