GEO_ID,B19001B_001E,B19001B_001M,B19001B_002E,B19001B_002M,B19001B_003E,B19001B_003M,B19001B_004E,B19001B_004M,B19001B_005E,B19001B_005M,B19001B_006E,B19001B_006M,B19001B_007E,B19001B_007M,B19001B_008E,B19001B_008M,B19001B_009E,B19001B_009M,B19001B_010E,B19001B_010M,B19001B_011E,B19001B_011M,B19001B_012E,B19001B_012M,B19001B_013E,B19001B_013M,B19001B_014E,B19001B_014M,B19001B_015E,B19001B_015M,B19001B_016E,B19001B_016M,B19001B_017E,B19001B_017M,NAME,B19001B_001MA,B19001B_001EA,B19001B_002MA,B19001B_002EA,B19001B_003EA,B19001B_003MA,B19001B_004EA,B19001B_004MA,B19001B_005EA,B19001B_005MA,B19001B_006MA,B19001B_006EA,B19001B_007MA,B19001B_007EA,B19001B_008EA,B19001B_008MA,B19001B_009MA,B19001B_009EA,B19001B_010EA,B19001B_010MA,B19001B_011MA,B19001B_011EA,B19001B_012MA,B19001B_012EA,B19001B_013MA,B19001B_013EA,B19001B_014EA,B19001B_014MA,B19001B_015EA,B19001B_015MA,B19001B_016MA,B19001B_016EA,B19001B_017MA,B19001B_017EA,state
0400000US01,470145,7055,86684,5134,52465,3846,43862,3481,38261,3122,32977,2854,27544,2795,22386,2106,21761,2476,18489,2058,32339,2942,32354,2387,34413,3399,14211,1730,6477,1017,3921,1006,2001,689,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7696,1196,599,475,856,657,425,410,136,152,428,539,442,343,270,274,420,588,135,164,576,483,618,405,1068,689,701,411,405,383,348,382,269,333,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,90152,4372,11656,2480,8860,2244,6295,1710,4132,1170,5778,1371,5747,1668,4547,1302,5242,1272,4413,1371,9015,1945,8325,1577,7418,1642,5143,1791,1912,877,1038,500,631,409,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,167833,3648,34806,3301,18195,2267,15432,2070,16678,2260,12913,1664,10012,1814,6966,1210,6854,1401,5872,1265,11848,1738,9312,1649,10485,1867,3407,835,2114,866,1776,655,1163,537,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,817065,10280,103047,5482,74743,4406,56528,4064,50768,3898,40299,3570,42863,3365,34891,3647,35225,3210,33588,3348,57956,4364,74292,4941,81092,4706,54237,4213,26070,3291,32446,3275,19020,2424,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,75841,3638,12200,2006,5560,1388,6058,1248,4617,1217,3921,1040,3061,1020,4005,1347,3681,1195,2899,1242,4895,1324,6878,1654,6753,1455,3523,1056,3787,1605,3028,1233,975,479,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,128111,3523,16332,2308,9721,1492,8124,1559,7320,1435,7043,1337,8433,1536,6116,1356,6065,1301,4711,1075,9107,1858,12265,1662,15240,2463,6660,1364,5279,1073,3759,985,1936,648,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,65341,1945,7711,1565,4796,1197,3906,1228,2962,925,3382,1017,3353,1057,4475,1164,3148,990,2635,881,6487,1536,5943,1504,6318,1435,4839,1206,1726,542,2120,724,1540,766,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,126754,2873,21331,2032,9322,1608,7428,1317,7695,1460,5889,946,6627,1118,5634,1329,6710,1194,5032,1155,8750,1334,10757,1799,12456,1670,8643,1496,3513,827,3959,958,3008,688,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,970913,11306,142596,6061,87726,5254,72843,5076,80669,5167,69817,4347,64582,5481,54560,5293,51690,4518,38218,3743,75598,5707,78583,5444,76638,5702,36658,3000,19570,2366,11673,1988,9492,2279,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
