GEO_ID,B25032F_001E,B25032F_001M,B25032F_002E,B25032F_002M,B25032F_003E,B25032F_003M,B25032F_004E,B25032F_004M,B25032F_005E,B25032F_005M,B25032F_006E,B25032F_006M,B25032F_007E,B25032F_007M,B25032F_008E,B25032F_008M,B25032F_009E,B25032F_009M,B25032F_010E,B25032F_010M,B25032F_011E,B25032F_011M,NAME,B25032F_001EA,B25032F_001MA,B25032F_002MA,B25032F_002EA,B25032F_003EA,B25032F_003MA,B25032F_004MA,B25032F_004EA,B25032F_005EA,B25032F_005MA,B25032F_006EA,B25032F_006MA,B25032F_007MA,B25032F_007EA,B25032F_008EA,B25032F_008MA,B25032F_009MA,B25032F_009EA,B25032F_010EA,B25032F_010MA,B25032F_011EA,B25032F_011MA,state
0400000US01,15176,2097,6877,1460,161,161,512,418,264,238,1271,855,1470,839,544,516,50,90,4027,846,0,190,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,109906,5857,65716,4230,3950,1129,2855,865,3423,1115,3640,1136,6742,1914,2212,737,7391,1690,13735,2188,242,396,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,17603,2264,10380,1989,762,799,1476,1052,560,435,590,486,1065,604,60,114,79,144,2604,1215,27,56,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1135764,16593,586072,12389,74029,4944,37605,3273,82472,5241,92378,4665,76513,5487,75981,5165,64461,4687,45203,3702,1050,530,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,64237,4695,34331,3488,2400,741,1752,681,2540,776,3805,1312,5381,1387,4427,1172,3571,1174,5858,1495,172,296,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,55915,3469,12640,1906,2792,760,10258,1770,14263,1702,7429,1568,2661,833,2238,820,3427,1040,207,298,0,198,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,5158,1183,1486,599,855,445,380,319,222,316,306,262,795,667,0,192,0,192,1114,592,0,192,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7982,1357,607,480,1192,499,0,200,358,309,488,376,707,451,2599,989,2031,836,0,200,0,200,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,134231,8397,63284,5385,9524,1956,3749,1362,6529,1312,8591,1935,11594,1948,10312,2814,8539,1583,12109,2446,0,238,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,65907,5437,28179,3848,2297,944,1841,766,3693,1159,6697,1681,6404,1625,2068,882,1054,656,13635,2733,39,88,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,5229,1232,2519,801,765,487,303,255,268,278,199,179,952,705,166,208,57,96,0,187,0,187,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,189323,6551,80667,4650,6666,1778,31186,3459,30119,3094,15810,2558,7725,1799,6800,1828,6372,1956,3978,1376,0,189,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,41301,2893,22447,2070,1501,705,3751,1032,3747,1232,3330,1341,2136,915,955,717,406,274,3028,1020,0,190,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,13204,1714,7805,1569,226,187,499,295,701,384,1217,600,982,619,224,242,634,555,824,590,92,145,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,19428,1771,12637,1546,478,349,1035,436,946,611,1069,505,398,329,395,414,76,105,2394,655,0,168,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,9053,1482,2909,775,81,93,1381,750,1336,792,553,524,933,563,695,396,92,134,1073,638,0,189,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,14113,1841,6453,1349,898,487,845,478,1168,576,1108,644,1014,628,336,261,37,62,2192,890,62,96,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,43597,3140,13954,2082,7982,1527,312,367,1208,681,6398,1453,9667,2072,2284,989,1363,661,429,358,0,204,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,88451,4059,12528,1811,5496,1193,18220,2055,23673,2598,11530,1921,5318,1270,5512,1398,6108,1583,50,84,16,28,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,29451,2475,19079,1947,939,502,1653,568,495,303,2037,983,422,350,877,554,1102,607,2847,999,0,167,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,19461,1945,6024,1052,1544,745,1729,770,1492,562,1126,503,2397,784,1389,587,1898,1007,1862,762,0,143,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,15854,2095,10129,1543,238,200,1173,772,1231,665,841,373,939,416,559,395,153,198,591,486,0,184,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
