C19037D_037M,C19037D_038E,C19037D_038M,C19037D_039E,C19037D_039M,C19037D_040E,C19037D_040M,C19037D_041E,C19037D_041M,C19037D_042E,C19037D_042M,C19037D_043E,C19037D_043M,C19037D_044E,C19037D_044M,C19037D_045E,C19037D_045M,GEO_ID,C19037D_001E,C19037D_001M,C19037D_002E,C19037D_002M,C19037D_003E,C19037D_003M,C19037D_004E,C19037D_004M,C19037D_005E,C19037D_005M,C19037D_006E,C19037D_006M,C19037D_007E,C19037D_007M,C19037D_008E,C19037D_008M,C19037D_009E,C19037D_009M,C19037D_010E,C19037D_010M,C19037D_011E,C19037D_011M,C19037D_012E,C19037D_012M,C19037D_013E,C19037D_013M,C19037D_014E,C19037D_014M,C19037D_015E,C19037D_015M,C19037D_016E,C19037D_016M,C19037D_017E,C19037D_017M,C19037D_018E,C19037D_018M,C19037D_019E,C19037D_019M,C19037D_020E,C19037D_020M,C19037D_021E,C19037D_021M,C19037D_022E,C19037D_022M,C19037D_023E,C19037D_023M,C19037D_024E,C19037D_024M,C19037D_025E,C19037D_025M,C19037D_026E,C19037D_026M,C19037D_027E,C19037D_027M,C19037D_028E,C19037D_028M,C19037D_029E,C19037D_029M,C19037D_030E,C19037D_030M,C19037D_031E,C19037D_031M,C19037D_032E,C19037D_032M,C19037D_033E,C19037D_033M,C19037D_034E,C19037D_034M,C19037D_035E,C19037D_035M,C19037D_036E,C19037D_036M,C19037D_037E,C19037D_037MA,C19037D_038EA,C19037D_038MA,C19037D_039MA,C19037D_039EA,C19037D_040EA,C19037D_040MA,C19037D_041MA,C19037D_041EA,C19037D_042EA,C19037D_042MA,C19037D_043EA,C19037D_043MA,C19037D_044EA,C19037D_044MA,C19037D_045MA,C19037D_045EA,NAME,C19037D_001MA,C19037D_001EA,C19037D_002MA,C19037D_002EA,C19037D_003MA,C19037D_003EA,C19037D_004EA,C19037D_004MA,C19037D_005EA,C19037D_005MA,C19037D_006MA,C19037D_006EA,C19037D_007EA,C19037D_007MA,C19037D_008MA,C19037D_008EA,C19037D_009EA,C19037D_009MA,C19037D_010MA,C19037D_010EA,C19037D_011MA,C19037D_011EA,C19037D_012MA,C19037D_012EA,C19037D_013MA,C19037D_013EA,C19037D_014MA,C19037D_014EA,C19037D_015MA,C19037D_015EA,C19037D_016EA,C19037D_016MA,C19037D_017MA,C19037D_017EA,C19037D_018EA,C19037D_018MA,C19037D_019MA,C19037D_019EA,C19037D_020MA,C19037D_020EA,C19037D_021MA,C19037D_021EA,C19037D_022EA,C19037D_022MA,C19037D_023MA,C19037D_023EA,C19037D_024EA,C19037D_024MA,C19037D_025MA,C19037D_025EA,C19037D_026MA,C19037D_026EA,C19037D_027EA,C19037D_027MA,C19037D_028MA,C19037D_028EA,C19037D_029EA,C19037D_029MA,C19037D_030MA,C19037D_030EA,C19037D_031EA,C19037D_031MA,C19037D_032EA,C19037D_032MA,C19037D_033EA,C19037D_033MA,C19037D_034MA,C19037D_034EA,C19037D_035EA,C19037D_035MA,C19037D_036MA,C19037D_036EA,C19037D_037EA,state
124,146,129,150,158,516,426,149,164,0,190,368,305,33,53,0,190,0400000US01,17799,1443,975,431,133,170,0,190,145,200,0,190,697,402,0,190,0,190,0,190,0,190,0,190,10393,1328,398,286,366,373,750,406,1140,601,1922,693,2238,893,1659,603,1199,667,262,231,459,363,4832,1132,471,490,193,181,470,389,570,389,116,122,1192,458,456,334,746,367,261,274,357,228,1599,576,141,164,96,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
265,1134,601,882,523,1144,575,740,450,501,278,832,418,545,489,150,175,0400000US04,60568,2902,3245,987,1806,849,166,169,334,303,21,40,171,197,221,253,188,223,338,341,0,229,0,229,30670,2330,2857,1129,614,438,1951,1333,2137,832,3580,1216,7110,1793,4733,1455,4301,1484,1776,849,1611,1085,19506,1654,1204,621,978,614,945,521,2212,922,2041,841,4862,1206,2694,919,2924,1040,455,307,1191,473,7147,872,715,530,504,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
2639,42080,3220,24291,2246,27895,2292,33034,2676,21700,2170,22356,2147,10179,1283,9987,1338,0400000US06,1536143,12721,50272,3374,17430,2057,4509,1124,6058,1295,5287,1434,6900,1513,5207,1261,2917,790,1182,616,398,256,384,271,619270,10048,31309,3376,11284,1664,32431,3215,33213,2823,59757,4300,101717,5440,83993,4484,129791,6011,66957,4824,68818,4312,617061,8010,29352,3080,19282,2150,44790,3264,42602,2958,58448,3676,98897,4188,81098,3838,111845,5013,61621,3697,69126,3568,249540,4952,23348,2372,34670,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
269,581,378,670,333,461,261,743,347,716,430,343,228,151,124,87,111,0400000US08,45035,2633,3013,855,833,319,188,289,480,337,697,621,209,170,298,256,0,201,308,340,0,201,0,201,21161,1921,931,474,745,435,1478,601,1714,646,1976,818,5421,1297,2342,729,3926,906,1480,760,1148,549,15770,1632,1291,497,574,305,837,313,1066,506,1276,660,3292,988,2069,739,2542,719,1234,541,1589,774,5091,753,848,539,491,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
191,358,236,501,394,150,142,362,308,340,200,223,215,246,208,206,198,0400000US09,41092,1844,1150,512,112,135,124,150,0,198,107,107,109,135,564,395,69,120,65,111,0,198,0,198,23199,1615,620,387,760,605,1030,790,1086,500,1647,679,5138,1188,3087,954,4051,1034,2919,1000,2861,832,14212,1219,832,574,279,203,784,485,501,296,1303,561,2322,610,1929,601,2626,847,1712,616,1924,561,2531,540,0,198,145,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
690,3375,980,2483,861,2961,1062,2196,761,1379,527,1415,547,1334,669,598,378,0400000US12,139848,4083,4838,1195,1963,721,363,343,288,276,794,715,373,349,800,414,36,60,58,100,163,294,0,238,60371,3384,2185,882,1296,654,4241,1157,4988,1355,6456,1410,13542,2195,9630,1745,9845,1724,4344,1196,3844,1159,55546,3350,3214,959,1667,846,4331,1043,6769,1832,6416,1306,9158,1495,6633,1320,8438,1437,3464,1031,5456,1385,19093,1998,1900,636,1452,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
