GEO_ID,C17010D_001E,C17010D_001M,C17010D_002E,C17010D_002M,C17010D_003E,C17010D_003M,C17010D_004E,C17010D_004M,C17010D_005E,C17010D_005M,C17010D_006E,C17010D_006M,C17010D_007E,C17010D_007M,C17010D_008E,C17010D_008M,C17010D_009E,C17010D_009M,C17010D_010E,C17010D_010M,C17010D_011E,C17010D_011M,C17010D_012E,C17010D_012M,C17010D_013E,C17010D_013M,C17010D_014E,C17010D_014M,C17010D_015E,C17010D_015M,C17010D_016E,C17010D_016M,C17010D_017E,C17010D_017M,NAME,C17010D_001EA,C17010D_001MA,C17010D_002MA,C17010D_002EA,C17010D_003MA,C17010D_003EA,C17010D_004EA,C17010D_004MA,C17010D_005EA,C17010D_005MA,C17010D_006EA,C17010D_006MA,C17010D_007MA,C17010D_007EA,C17010D_008MA,C17010D_008EA,C17010D_009MA,C17010D_009EA,C17010D_010EA,C17010D_010MA,C17010D_011EA,C17010D_011MA,C17010D_012EA,C17010D_012MA,C17010D_013EA,C17010D_013MA,C17010D_014MA,C17010D_014EA,C17010D_015EA,C17010D_015MA,C17010D_016EA,C17010D_016MA,C17010D_017EA,C17010D_017MA,state
0400000US01,12305,1285,1037,441,455,291,422,272,582,402,284,317,227,309,298,227,221,195,11268,1301,9249,1193,5983,937,2019,780,763,398,568,384,1256,700,583,490,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6880,847,343,203,290,210,197,169,53,73,0,149,0,149,53,73,0,149,6537,861,4605,818,2535,676,1932,599,626,348,318,233,1306,510,732,365,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,40270,2761,4263,1314,2405,911,1618,687,1858,840,730,623,570,603,1128,617,890,583,36007,2640,30561,2459,16790,2331,5446,1414,2059,884,794,561,3387,1112,2160,977,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1156717,10715,102709,5290,58592,3835,34257,2992,44117,3877,10861,1946,6309,1626,33256,3483,22291,2781,1054008,10123,844156,9930,442210,8340,209852,7253,73589,4386,25524,2566,136263,5713,57872,3718,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,30993,2111,3082,813,1777,666,1143,565,1305,537,273,172,133,179,1032,519,874,472,27911,2030,23661,2092,13374,1638,4250,1081,1484,624,650,385,2766,847,1416,625,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,31833,1983,2261,882,1749,796,1497,768,512,443,372,378,372,378,140,143,95,125,29572,2089,25157,2117,16509,1694,4415,1072,1413,572,591,358,3002,928,1765,763,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,7407,690,338,252,166,145,60,95,172,210,0,192,0,192,172,210,81,149,7069,658,6402,629,3682,564,667,453,363,392,363,392,304,224,180,173,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,104622,3876,8871,1692,5411,1393,3388,1066,3460,1002,583,431,132,165,2877,971,2335,852,95751,3846,81481,4023,43513,3437,14270,1893,3623,937,2099,791,10647,1689,4960,1421,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,72793,3290,7137,1431,4369,1255,2861,977,2768,1083,437,366,237,323,2331,909,1984,911,65656,3723,55278,3358,34798,3125,10378,2439,5771,1940,1861,1252,4607,1208,2482,841,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,128162,3872,7003,1375,4352,1093,1479,561,2651,855,340,195,331,195,2311,820,1482,690,121159,3874,91829,3461,38366,3238,29330,2003,9686,1411,3355,745,19644,1766,7931,1131,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,137352,3650,12840,1855,7892,1313,4345,1089,4948,1372,1457,752,689,409,3491,1118,2358,1061,124512,3849,108412,3690,59605,2899,16100,2181,4745,1080,2071,724,11355,1812,5198,1400,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,18967,1717,2361,737,1647,641,1162,555,714,318,34,62,34,62,680,303,604,298,16606,1537,14609,1558,8635,1283,1997,582,684,385,294,311,1313,441,805,382,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,11480,935,1333,527,842,352,608,340,491,379,198,276,30,51,293,227,201,172,10147,1033,9218,1124,5962,1039,929,444,497,391,373,378,432,285,371,263,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
