GEO_ID,B10051D_001E,B10051D_001M,B10051D_002E,B10051D_002M,B10051D_003E,B10051D_003M,B10051D_004E,B10051D_004M,B10051D_005E,B10051D_005M,B10051D_006E,B10051D_006M,B10051D_007E,B10051D_007M,NAME,B10051D_001EA,B10051D_001MA,B10051D_002EA,B10051D_002MA,B10051D_003EA,B10051D_003MA,B10051D_004MA,B10051D_004EA,B10051D_005MA,B10051D_005EA,B10051D_006MA,B10051D_006EA,B10051D_007EA,B10051D_007MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,1892,643,261,236,161,230,100,112,1631,609,754,452,877,449,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4362,1363,991,520,755,462,236,249,3371,1371,887,676,2484,970,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,197131,8694,30172,3720,13646,2571,16526,2540,166959,8082,33440,4223,133519,6647,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3651,937,479,463,308,427,171,177,3172,967,1000,554,2172,703,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3984,858,330,303,0,198,330,303,3654,847,1399,722,2255,609,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18248,3162,4302,1913,1782,873,2520,1458,13946,2463,2779,963,11167,2230,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,13436,2598,1389,724,722,485,667,527,12047,2579,2279,1159,9768,2425,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,27804,2854,4732,1128,1937,760,2795,726,23072,2603,5456,1371,17616,2092,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,24394,3338,2336,1216,1379,963,957,679,22058,3009,5278,1779,16780,2320,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1825,589,353,227,120,180,233,217,1472,597,374,263,1098,498,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2560,897,336,335,326,334,10,16,2224,833,507,405,1717,652,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1568,615,551,328,95,100,456,353,1017,555,293,421,724,446,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2918,1164,287,283,242,276,45,61,2631,1123,728,555,1903,898,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,11203,2260,1647,798,715,492,932,650,9556,2238,1941,818,7615,2163,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,13052,2195,1665,786,936,669,729,449,11387,1983,2952,1157,8435,1676,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,6605,1467,1144,607,596,479,548,362,5461,1269,1262,550,4199,1021,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
