GEO_ID,B19101F_001E,B19101F_001M,B19101F_002E,B19101F_002M,B19101F_003E,B19101F_003M,B19101F_004E,B19101F_004M,B19101F_005E,B19101F_005M,B19101F_006E,B19101F_006M,B19101F_007E,B19101F_007M,B19101F_008E,B19101F_008M,B19101F_009E,B19101F_009M,B19101F_010E,B19101F_010M,B19101F_011E,B19101F_011M,B19101F_012E,B19101F_012M,B19101F_013E,B19101F_013M,B19101F_014E,B19101F_014M,B19101F_015E,B19101F_015M,B19101F_016E,B19101F_016M,B19101F_017E,B19101F_017M,NAME,B19101F_001MA,B19101F_001EA,B19101F_002EA,B19101F_002MA,B19101F_003EA,B19101F_003MA,B19101F_004EA,B19101F_004MA,B19101F_005EA,B19101F_005MA,B19101F_006EA,B19101F_006MA,B19101F_007MA,B19101F_007EA,B19101F_008EA,B19101F_008MA,B19101F_009EA,B19101F_009MA,B19101F_010EA,B19101F_010MA,B19101F_011EA,B19101F_011MA,B19101F_012MA,B19101F_012EA,B19101F_013MA,B19101F_013EA,B19101F_014MA,B19101F_014EA,B19101F_015EA,B19101F_015MA,B19101F_016EA,B19101F_016MA,B19101F_017EA,B19101F_017MA,state
0400000US01,11584,1909,922,582,2082,1144,1438,712,1186,663,946,486,825,695,216,207,599,489,487,327,875,570,1052,645,391,329,365,294,200,364,0,190,0,190,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,85463,5539,8158,1656,6573,1786,8761,2007,6396,1163,6705,1693,7141,1707,4871,1431,5023,1474,4900,1365,7178,2346,6774,1718,6770,1659,3981,1383,1397,948,602,394,233,197,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,12911,2000,1101,644,456,403,1726,955,745,552,1466,767,1279,797,1656,901,509,316,822,585,935,855,895,665,706,474,432,440,7,16,52,90,124,155,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,940832,13883,66316,4552,57887,4005,71076,4443,70346,4547,62395,4424,63104,4098,57128,4090,55493,4452,49286,3939,85370,4910,88845,5420,100911,5241,55480,3729,25818,2818,20646,2907,10731,2149,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,49607,3988,3865,1263,2997,1146,4239,1370,3180,880,2940,764,3254,981,3943,1120,3788,1274,2671,949,4758,1342,5311,1237,4358,1187,1973,653,1210,658,846,674,274,201,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,40667,2615,6226,1335,2749,895,2482,924,3012,1067,4551,1214,3285,996,1630,673,1944,815,1900,834,2482,713,3231,838,2991,912,1709,660,1205,684,632,485,638,426,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,103063,7415,8611,1786,7139,1821,10355,2197,9989,2504,7169,1662,5735,1685,7256,1833,5857,1360,4688,1428,10102,2177,8721,2040,9162,1985,3685,1608,2122,935,1531,1095,941,548,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,49816,4774,4671,1745,5767,1828,5364,1657,5758,1874,3641,1189,5071,1326,3020,1314,1551,870,2799,1067,3272,1062,3993,1385,2435,1013,1396,671,721,721,0,225,357,354,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,3949,1003,421,371,83,146,162,150,142,158,104,102,298,262,93,112,33,49,169,162,619,543,415,357,340,268,495,382,508,437,32,62,35,57,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,6663,1420,742,583,708,386,990,586,298,257,714,414,359,395,186,168,482,438,1008,816,465,406,377,238,214,176,120,121,0,195,0,195,0,195,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,159182,6428,11109,2347,7630,1503,10475,1684,12796,2223,13112,1763,12903,2333,9287,1751,9026,1801,8401,1609,13666,2500,19554,2657,16572,2071,7773,1767,3531,1097,2479,1278,868,439,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,31264,2417,4679,1312,3514,1233,3079,1291,2814,974,2543,765,1308,688,1967,621,1079,536,1675,924,2546,945,2108,837,2215,1006,924,572,469,340,158,220,186,201,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,9423,1348,1022,496,281,277,536,349,1467,578,1153,622,422,261,572,354,639,309,708,488,879,574,1122,732,216,186,196,180,52,98,158,210,0,155,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,15080,1583,1227,526,1106,510,854,371,1482,540,1614,604,930,519,1310,572,844,403,367,256,1160,572,1670,671,1855,594,326,209,220,206,115,189,0,168,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
