GEO_ID,B15002B_001E,B15002B_001M,B15002B_002E,B15002B_002M,B15002B_003E,B15002B_003M,B15002B_004E,B15002B_004M,B15002B_005E,B15002B_005M,B15002B_006E,B15002B_006M,B15002B_007E,B15002B_007M,B15002B_008E,B15002B_008M,B15002B_009E,B15002B_009M,B15002B_010E,B15002B_010M,B15002B_011E,B15002B_011M,B15002B_012E,B15002B_012M,B15002B_013E,B15002B_013M,B15002B_014E,B15002B_014M,B15002B_015E,B15002B_015M,B15002B_016E,B15002B_016M,B15002B_017E,B15002B_017M,B15002B_018E,B15002B_018M,B15002B_019E,B15002B_019M,NAME,B15002B_001EA,B15002B_001MA,B15002B_002MA,B15002B_002EA,B15002B_003EA,B15002B_003MA,B15002B_004EA,B15002B_004MA,B15002B_005MA,B15002B_005EA,B15002B_006EA,B15002B_006MA,B15002B_007MA,B15002B_007EA,B15002B_008MA,B15002B_008EA,B15002B_009EA,B15002B_009MA,B15002B_010EA,B15002B_010MA,B15002B_011MA,B15002B_011EA,B15002B_012EA,B15002B_012MA,B15002B_013MA,B15002B_013EA,B15002B_014MA,B15002B_014EA,B15002B_015MA,B15002B_015EA,B15002B_016MA,B15002B_016EA,B15002B_017EA,B15002B_017MA,B15002B_018MA,B15002B_018EA,B15002B_019MA,B15002B_019EA,state
0400000US01,775682,3387,343552,2734,19982,1714,59550,3824,110736,4678,18474,1984,74974,4597,22457,2542,23292,2901,14087,1908,432130,2080,22048,1797,64054,3903,112141,4734,14241,1895,103321,5184,42422,3528,45022,3470,28881,3231,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,14143,1243,7371,1010,305,266,440,401,1091,517,591,437,2637,790,746,573,1018,673,543,624,6772,792,48,71,854,549,1355,712,796,586,2243,824,232,224,894,611,350,282,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,152992,3412,79905,2328,2906,909,7423,1361,16144,2200,4690,1007,25957,2715,6240,1565,11246,2144,5299,1313,73087,2613,2386,705,3891,1203,14783,2885,1727,607,27871,3690,6089,1408,10371,1771,5969,1420,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,271892,2763,123671,2209,6872,919,17992,2025,46694,3110,7154,1326,23370,2251,5826,1094,10631,2015,5132,1365,148221,1920,8704,1211,20866,2271,41224,3010,4503,856,36502,2564,10974,1744,18551,2289,6897,1278,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1439189,9918,694956,6490,24353,2928,65104,3683,155569,6449,26215,2779,217569,6722,59760,4377,97258,6541,49128,4369,744233,5537,21863,2038,60268,3636,155023,5997,13852,2014,239568,6864,80365,4562,110278,5969,63016,4446,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,129110,2907,69842,2412,3823,1149,5209,1198,14123,2207,5444,1404,16770,2112,6535,1582,12159,1994,5779,1495,59268,1709,2548,807,4150,1194,11901,1823,2381,765,17477,2346,7249,1670,8425,1639,5137,1295,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,220634,3072,100321,1963,5726,1313,11295,1534,31399,2688,5785,1188,22023,2363,5866,1373,10934,1570,7293,1446,120313,2045,7297,1251,15043,2111,29983,3019,4477,996,28888,2645,12538,1891,13036,1839,9051,1497,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,118294,1297,53759,610,1519,563,6807,1036,19496,1956,2676,977,12665,1730,2218,1064,4880,1143,3498,991,64535,1045,2646,905,7042,1289,19046,2155,2224,895,16121,1757,4979,1351,8003,1586,4474,1072,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,206037,1175,89491,858,6230,1127,12516,1622,23837,2580,5138,958,18915,2278,3152,831,12046,1638,7657,1274,116546,837,4853,1132,15219,1931,31783,2333,4277,1007,28586,2150,4618,1228,13719,1825,13491,1816,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1822207,11720,839777,7708,66806,5169,129891,5526,264523,10465,39247,3734,158211,7376,61041,6450,81337,5850,38721,3896,982430,6284,67596,4259,118889,5511,267978,7864,33963,3780,224765,8261,97021,6617,108442,6737,63776,5529,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
