GEO_ID,C21001D_001E,C21001D_001M,C21001D_002E,C21001D_002M,C21001D_003E,C21001D_003M,C21001D_004E,C21001D_004M,C21001D_005E,C21001D_005M,C21001D_006E,C21001D_006M,C21001D_007E,C21001D_007M,C21001D_008E,C21001D_008M,C21001D_009E,C21001D_009M,C21001D_010E,C21001D_010M,C21001D_011E,C21001D_011M,C21001D_012E,C21001D_012M,C21001D_013E,C21001D_013M,C21001D_014E,C21001D_014M,C21001D_015E,C21001D_015M,NAME,C21001D_001EA,C21001D_001MA,C21001D_002EA,C21001D_002MA,C21001D_003EA,C21001D_003MA,C21001D_004MA,C21001D_004EA,C21001D_005MA,C21001D_005EA,C21001D_006EA,C21001D_006MA,C21001D_007EA,C21001D_007MA,C21001D_008EA,C21001D_008MA,C21001D_009MA,C21001D_009EA,C21001D_010MA,C21001D_010EA,C21001D_011EA,C21001D_011MA,C21001D_012EA,C21001D_012MA,C21001D_013EA,C21001D_013MA,C21001D_014MA,C21001D_014EA,C21001D_015MA,C21001D_015EA,state
0400000US01,40979,1843,18796,1389,17385,1212,763,435,16622,1221,1411,496,296,253,1115,453,22183,1438,19746,1471,122,187,19624,1477,2437,655,0,190,2437,655,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,28662,1078,11984,724,10983,727,529,305,10454,831,1001,215,304,227,697,286,16678,846,14115,1084,180,201,13935,1084,2563,729,0,149,2563,729,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,139720,3264,62383,2238,56253,2263,2497,1066,53756,2327,6130,604,1680,829,4450,660,77337,2038,67077,1953,252,202,66825,1967,10260,989,62,122,10198,989,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,25281,1655,11347,1016,11172,1007,727,321,10445,994,175,176,63,112,112,146,13934,1085,12449,966,279,308,12170,999,1485,595,0,192,1485,595,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3967183,12339,1836356,7462,1581255,7258,57024,4585,1524231,8374,255101,1876,35677,2790,219424,2808,2130827,7648,1786547,7259,6683,1388,1779864,6973,344280,2308,915,388,343365,2306,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,106614,2515,46196,1628,41385,1705,2412,871,38973,1689,4811,614,962,393,3849,653,60418,1656,53644,1805,342,273,53302,1808,6774,554,0,201,6774,554,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,104260,1849,48258,1217,44745,1285,691,440,44054,1329,3513,450,0,198,3513,450,56002,1347,51379,1377,0,198,51379,1377,4623,237,0,198,4623,237,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22760,778,10777,755,9352,533,267,281,9085,642,1425,391,41,74,1384,398,11983,479,10349,610,0,192,10349,610,1634,361,0,192,1634,361,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,368069,5982,166661,4027,147110,3816,5526,1515,141584,3889,19551,1155,1824,752,17727,1262,201408,3725,173464,3874,1421,738,172043,3987,27944,1877,85,105,27859,1874,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,244404,5407,114722,3227,105320,3330,2307,801,103013,3415,9402,965,800,549,8602,962,129682,3618,117624,3349,507,393,117117,3292,12058,1734,73,93,11985,1745,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,440809,7107,200959,4158,152340,3916,14638,1777,137702,4011,48619,1169,19507,1785,29112,1938,239850,4092,170912,3750,959,510,169953,3739,68938,1016,216,231,68722,1021,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
