GEO_ID,B14007F_001E,B14007F_001M,B14007F_002E,B14007F_002M,B14007F_003E,B14007F_003M,B14007F_004E,B14007F_004M,B14007F_005E,B14007F_005M,B14007F_006E,B14007F_006M,B14007F_007E,B14007F_007M,B14007F_008E,B14007F_008M,B14007F_009E,B14007F_009M,B14007F_010E,B14007F_010M,B14007F_011E,B14007F_011M,B14007F_012E,B14007F_012M,B14007F_013E,B14007F_013M,B14007F_014E,B14007F_014M,B14007F_015E,B14007F_015M,B14007F_016E,B14007F_016M,B14007F_017E,B14007F_017M,B14007F_018E,B14007F_018M,B14007F_019E,B14007F_019M,NAME,B14007F_001MA,B14007F_001EA,B14007F_002EA,B14007F_002MA,B14007F_003EA,B14007F_003MA,B14007F_004MA,B14007F_004EA,B14007F_005EA,B14007F_005MA,B14007F_006MA,B14007F_006EA,B14007F_007MA,B14007F_007EA,B14007F_008EA,B14007F_008MA,B14007F_009EA,B14007F_009MA,B14007F_010MA,B14007F_010EA,B14007F_011EA,B14007F_011MA,B14007F_012EA,B14007F_012MA,B14007F_013EA,B14007F_013MA,B14007F_014MA,B14007F_014EA,B14007F_015MA,B14007F_015EA,B14007F_016EA,B14007F_016MA,B14007F_017EA,B14007F_017MA,B14007F_018MA,B14007F_018EA,B14007F_019MA,B14007F_019EA,state
0400000US01,55611,6836,14553,2710,188,154,823,508,445,348,887,380,1123,610,797,450,1268,747,1097,614,709,659,1586,987,1032,606,857,447,908,664,1006,677,1771,772,56,90,41058,5165,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,383962,20180,129604,9460,5538,1650,5897,1511,7404,1965,7007,1373,7826,1849,7103,1570,9145,2814,7582,1856,9721,2363,8812,1965,7156,1562,7824,1503,7037,1402,8044,1826,21414,3836,2094,991,254358,13220,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,58188,6933,21736,3339,1290,708,1744,811,1409,887,1045,689,2716,920,2255,907,525,479,1332,695,487,327,1747,761,924,531,1959,1008,685,492,915,550,2380,996,323,337,36452,4551,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4496727,62464,1517468,30162,79664,4837,85090,5221,79967,4720,84132,5847,80053,5668,82074,4981,83527,5101,81386,5080,85937,4839,76959,5197,83899,5734,86157,4476,87080,4679,109024,6594,308323,11487,24196,2419,2979259,38759,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,208385,15172,67907,6482,4137,1054,4107,1207,4895,1368,2671,832,4952,1307,3912,1011,4771,1515,4035,1063,2740,846,2794,952,3943,1462,4174,1257,4403,1160,4451,1568,11334,1709,588,304,140478,10403,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,186205,10097,59205,5405,3410,1279,2349,849,3728,1036,3801,1092,2809,1058,3816,1051,3780,1093,3697,1384,2676,845,3998,1131,4490,1138,3747,1090,2978,1017,3513,888,9513,1808,900,451,127000,6796,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18891,4400,5718,1776,413,332,899,663,0,192,404,459,544,385,276,251,394,302,105,127,276,250,73,101,653,548,96,151,173,198,177,212,1232,597,3,8,13173,3064,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,22948,3448,9214,1953,597,441,577,529,0,200,547,486,261,360,571,501,663,501,148,248,192,263,487,391,590,385,653,478,243,254,399,415,2696,1003,590,512,13734,2461,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,488322,26490,157017,12321,7978,1909,8768,1890,7169,1880,8459,1696,8715,1940,6742,1504,7066,1610,11869,3148,8953,2380,6312,1701,8005,1981,9159,2308,7226,2099,12184,2515,32979,4212,5433,1532,331305,17450,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,267772,18027,96175,8225,6585,1922,9528,2212,5985,1682,5867,1572,6298,1839,4128,1486,6753,2002,5730,1721,6383,1969,4281,1266,4794,1951,7878,2098,4401,1930,3768,1258,11097,2810,2699,1423,171597,12561,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
