GEO_ID,C24010B_001E,C24010B_001M,C24010B_002E,C24010B_002M,C24010B_003E,C24010B_003M,C24010B_004E,C24010B_004M,C24010B_005E,C24010B_005M,C24010B_006E,C24010B_006M,C24010B_007E,C24010B_007M,C24010B_008E,C24010B_008M,C24010B_009E,C24010B_009M,C24010B_010E,C24010B_010M,C24010B_011E,C24010B_011M,C24010B_012E,C24010B_012M,C24010B_013E,C24010B_013M,NAME,C24010B_001MA,C24010B_001EA,C24010B_002EA,C24010B_002MA,C24010B_003EA,C24010B_003MA,C24010B_004EA,C24010B_004MA,C24010B_005MA,C24010B_005EA,C24010B_006MA,C24010B_006EA,C24010B_007MA,C24010B_007EA,C24010B_008EA,C24010B_008MA,C24010B_009MA,C24010B_009EA,C24010B_010MA,C24010B_010EA,C24010B_011MA,C24010B_011EA,C24010B_012MA,C24010B_012EA,C24010B_013EA,C24010B_013MA,state
0400000US01,461793,7802,201225,5526,33012,2989,44113,3543,32236,3252,27112,2514,64752,4249,260568,5648,78429,4141,70730,4635,82421,4466,2416,1194,26572,2394,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,11335,1586,6441,1125,820,507,1459,608,2283,789,573,540,1306,586,4894,992,1632,700,1012,656,1867,875,5,13,378,329,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,102366,4766,53384,3064,13211,2235,14335,2487,12965,2236,5745,1528,7128,1687,48982,3716,17793,3369,10050,2217,17508,2601,325,287,3306,1845,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,166867,4527,72324,3366,12013,2007,17185,2248,13483,2189,7906,1411,21737,2129,94543,3197,27497,2618,27381,2873,27102,2659,553,341,12010,1575,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,842174,13311,403646,9508,128056,6947,90633,5260,85675,5315,35438,3775,63844,4543,438528,9695,163895,7741,106596,6436,145311,6803,3085,982,19641,2325,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,83133,3951,43999,3003,13476,2588,8174,1831,8479,1657,5066,1454,8804,1591,39134,2509,10665,1833,9157,1453,16454,1932,258,252,2600,1267,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,152329,4673,69787,3386,19936,2157,18482,2321,12503,2177,6196,1391,12670,2026,82542,3013,25215,2345,26594,2184,27135,2773,191,168,3407,764,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,80538,2984,35381,1950,8002,1670,7110,1406,7144,1592,5493,1406,7632,1573,45157,2353,16749,1857,10816,1598,13582,1866,74,120,3936,1150,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,116295,4194,50524,2625,17716,1896,10755,1758,9598,1649,5095,1405,7360,1499,65771,3376,27607,2403,16107,1919,18941,1778,431,422,2685,791,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1185042,16468,529062,11706,102388,7485,152481,7702,101690,7909,67997,5349,104506,5953,655980,10263,194564,7799,206214,9066,215781,9079,4520,1118,34901,4481,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1173388,15858,530303,10083,122288,6769,104026,6414,97857,6525,60277,5232,145855,7632,643085,10655,218763,8021,154593,7229,208480,8151,3248,1282,58001,5102,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,7667,1596,5052,1231,1843,875,1080,471,1339,752,444,312,346,380,2615,916,1385,749,282,312,723,363,0,187,225,263,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,3087,960,2040,780,569,390,302,294,461,291,116,200,592,377,1047,497,446,315,234,176,367,398,0,195,0,195,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,645890,11429,274902,7534,64921,4318,65733,4345,51765,4378,23009,3239,69474,4511,370988,7622,124836,6106,100300,4787,119538,5189,1170,513,25144,2922,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,214473,6304,99407,3949,17999,2057,19338,2134,17354,2366,10131,1819,34585,3357,115066,4807,33472,2580,32387,2723,35901,2867,435,315,12871,2527,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,30777,2192,15736,1803,4221,1257,2697,890,3277,843,1359,685,4182,858,15041,1376,3777,694,5866,976,3634,823,0,155,1764,539,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,67042,3550,33203,2440,5932,1200,9116,1699,5396,1279,3392,940,9367,1508,33839,2203,11159,1507,9927,1797,10624,1677,597,494,1532,604,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,129964,4832,58350,3371,11766,1675,12908,1969,9908,1569,4916,1270,18852,2561,71614,3302,22281,2716,19488,2126,19695,2381,414,299,9736,1902,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,549817,9577,241632,6133,30371,3291,59228,4265,38417,3424,45391,3906,68225,3750,308185,6483,86006,5026,108327,5211,96341,4394,1805,664,15706,1976,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,5242,945,2955,758,600,393,845,490,609,487,339,279,562,371,2287,688,343,278,1288,649,633,425,0,157,23,38,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,811575,9443,358954,5964,105343,5617,78719,4780,71113,5323,41703,3674,62076,4969,452621,7606,189620,7237,103306,6950,139226,7097,2948,1088,17521,2638,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,200394,6404,99481,4590,27193,2855,28613,3079,17475,2354,10513,1645,15687,2196,100913,4461,35159,3023,33104,2909,25863,3041,514,358,6273,1128,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,436765,9087,183352,5797,36162,3370,48892,3434,28744,3100,18823,2504,50731,3304,253413,6483,75992,4081,78679,4800,75171,4527,1659,721,21912,2288,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,108075,4232,56134,2574,14144,1889,14298,1819,10183,1690,3045,822,14464,2147,51941,2862,12973,1765,20039,2149,14370,1998,256,230,4303,983,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,388227,7956,173448,5261,22662,2721,35388,3399,22742,2815,33435,2754,59221,4482,214779,5176,61728,4291,64143,4745,59528,4559,1564,680,27816,2624,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,261329,6467,114636,4429,22262,2461,28211,2583,19239,2461,11775,1827,33149,3395,146693,4404,47478,3673,41229,3366,48358,3475,805,509,8823,1650,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,33059,2436,15963,1706,3505,878,2789,889,4290,1022,1301,620,4078,1148,17096,1477,5811,1245,3931,850,5044,996,134,168,2176,938,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
