GEO_ID,B10051F_001E,B10051F_001M,B10051F_002E,B10051F_002M,B10051F_003E,B10051F_003M,B10051F_004E,B10051F_004M,B10051F_005E,B10051F_005M,B10051F_006E,B10051F_006M,B10051F_007E,B10051F_007M,NAME,B10051F_001MA,B10051F_001EA,B10051F_002MA,B10051F_002EA,B10051F_003MA,B10051F_003EA,B10051F_004MA,B10051F_004EA,B10051F_005MA,B10051F_005EA,B10051F_006MA,B10051F_006EA,B10051F_007MA,B10051F_007EA,state
0400000US08,5653,1855,2485,1073,1907,976,578,395,3168,1305,1757,1036,1411,706,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,5710,1916,1997,1213,1267,1014,730,577,3713,1317,2085,890,1628,969,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,25365,3710,5401,1761,4220,1702,1181,589,19964,3344,12578,2827,7386,1564,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2930,1328,1631,992,1382,1054,249,271,1299,896,802,806,497,321,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,2451,1005,360,293,181,168,179,256,2091,956,927,452,1164,775,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,8143,2200,1717,680,1359,627,358,306,6426,2175,4003,1688,2423,1062,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,8169,2703,2616,1426,2099,1419,517,578,5553,2353,3651,1939,1902,979,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,2368,1212,1716,1157,1094,950,622,685,652,448,576,459,76,125,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,10909,2249,3574,1311,2060,1034,1514,768,7335,2006,4379,1540,2956,1118,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,2357,892,1062,470,860,424,202,219,1295,630,383,260,912,503,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,2548,1068,591,405,315,294,276,263,1957,976,1143,651,814,828,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,11569,1974,3096,1123,1610,779,1486,712,8473,1846,3992,1247,4481,1419,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,5694,1501,1848,962,850,578,998,765,3846,1360,1905,1020,1941,906,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,2037,907,884,626,453,536,431,365,1153,683,736,614,417,379,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,2521,1244,747,610,614,575,133,222,1774,883,1055,718,719,554,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,231016,11162,39434,3911,24803,3484,14631,1735,191582,10785,94849,6596,96733,7004,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,4535,1496,1450,1074,1144,1026,306,310,3085,1105,1414,648,1671,888,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,61941,4935,20898,3317,13951,2839,6947,1898,41043,4326,21369,3427,19674,2786,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US24,10761,2533,2432,1181,2010,1122,422,460,8329,2178,3950,1451,4379,1633,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US12,19691,4025,4262,1422,2548,1129,1714,957,15429,3536,7395,2652,8034,2201,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,8537,1968,2335,974,1389,758,946,584,6202,1670,4141,1377,2061,820,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US49,5071,2019,905,773,626,630,279,447,4166,1806,3356,1760,810,557,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US36,57554,5990,14135,2372,8737,1856,5398,1536,43419,4957,19706,2495,23713,3749,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US34,15679,2684,4163,1373,3337,1313,826,637,11516,2423,4937,1589,6579,1853,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US39,2342,957,1950,912,1044,625,906,573,392,253,85,107,307,220,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US29,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US42,10444,2380,2791,999,1951,790,840,645,7653,2154,4302,1807,3351,1053,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US26,2760,912,248,234,177,214,71,114,2512,864,1609,762,903,516,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US16,2254,1114,456,429,456,429,0,204,1798,1048,577,422,1221,928,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US35,3794,1634,2250,1288,1871,1255,379,325,1544,947,711,548,833,620,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US53,8919,2365,1282,519,830,448,452,315,7637,2379,4717,1703,2920,1350,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
