GEO_ID,B21001D_001E,B21001D_001M,B21001D_002E,B21001D_002M,B21001D_003E,B21001D_003M,B21001D_004E,B21001D_004M,B21001D_005E,B21001D_005M,B21001D_006E,B21001D_006M,B21001D_007E,B21001D_007M,B21001D_008E,B21001D_008M,B21001D_009E,B21001D_009M,B21001D_010E,B21001D_010M,B21001D_011E,B21001D_011M,B21001D_012E,B21001D_012M,B21001D_013E,B21001D_013M,B21001D_014E,B21001D_014M,B21001D_015E,B21001D_015M,B21001D_016E,B21001D_016M,B21001D_017E,B21001D_017M,B21001D_018E,B21001D_018M,B21001D_019E,B21001D_019M,B21001D_020E,B21001D_020M,B21001D_021E,B21001D_021M,B21001D_022E,B21001D_022M,B21001D_023E,B21001D_023M,B21001D_024E,B21001D_024M,B21001D_025E,B21001D_025M,B21001D_026E,B21001D_026M,B21001D_027E,B21001D_027M,B21001D_028E,B21001D_028M,B21001D_029E,B21001D_029M,B21001D_030E,B21001D_030M,B21001D_031E,B21001D_031M,B21001D_032E,B21001D_032M,B21001D_033E,B21001D_033M,NAME,B21001D_001EA,B21001D_001MA,B21001D_002EA,B21001D_002MA,B21001D_003MA,B21001D_003EA,B21001D_004MA,B21001D_004EA,B21001D_005MA,B21001D_005EA,B21001D_006EA,B21001D_006MA,B21001D_007EA,B21001D_007MA,B21001D_008MA,B21001D_008EA,B21001D_009EA,B21001D_009MA,B21001D_010MA,B21001D_010EA,B21001D_011EA,B21001D_011MA,B21001D_012EA,B21001D_012MA,B21001D_013MA,B21001D_013EA,B21001D_014MA,B21001D_014EA,B21001D_015MA,B21001D_015EA,B21001D_016EA,B21001D_016MA,B21001D_017EA,B21001D_017MA,B21001D_018MA,B21001D_018EA,B21001D_019MA,B21001D_019EA,B21001D_020EA,B21001D_020MA,B21001D_021MA,B21001D_021EA,B21001D_022MA,B21001D_022EA,B21001D_023EA,B21001D_023MA,B21001D_024EA,B21001D_024MA,B21001D_025EA,B21001D_025MA,B21001D_026MA,B21001D_026EA,B21001D_027MA,B21001D_027EA,B21001D_028EA,B21001D_028MA,B21001D_029EA,B21001D_029MA,B21001D_030EA,B21001D_030MA,B21001D_031EA,B21001D_031MA,B21001D_032MA,B21001D_032EA,B21001D_033EA,B21001D_033MA,state
0400000US08,143027,3406,62773,2160,23767,1626,613,473,23154,1651,24821,1119,1274,488,23547,1118,6631,667,666,335,5965,701,5417,584,715,373,4702,595,2137,430,980,392,1157,350,80254,2216,28230,1804,262,281,27968,1743,29943,1414,298,209,29645,1380,10665,717,233,222,10432,717,7998,767,0,204,7998,767,3418,665,0,204,3418,665,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,121661,3778,59326,2413,30441,1826,137,135,30304,1836,19707,1730,380,264,19327,1672,4996,1101,172,265,4824,1050,2456,625,266,253,2190,593,1726,614,59,93,1667,609,62335,2600,25876,2098,173,197,25703,2075,23366,1817,200,225,23166,1824,5689,939,52,89,5637,947,5251,1100,85,131,5166,1069,2153,639,0,198,2153,639,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,49783,2562,22674,1408,9153,1036,148,193,9005,1064,9472,1153,504,347,8968,1177,2137,454,156,126,1981,468,1603,610,3,6,1600,610,309,164,12,21,297,164,27109,1909,10141,1482,0,197,10141,1482,11315,1621,474,434,10841,1547,2624,776,12,19,2612,780,1846,601,29,43,1817,601,1183,448,0,197,1183,448,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,60928,2254,29059,1584,12032,1235,335,262,11697,1265,9736,1333,134,124,9602,1356,3974,759,104,177,3870,719,2044,645,402,466,1642,508,1273,432,0,217,1273,432,31869,1438,10421,1102,92,120,10329,1104,12692,1263,111,192,12581,1251,4239,765,0,217,4239,765,3105,884,0,217,3105,884,1412,643,0,217,1412,643,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,578030,4669,274365,2921,98662,2259,496,415,98166,2354,101858,1773,1362,554,100496,1741,34135,1478,712,401,33423,1525,25939,987,1256,537,24683,1089,13771,697,1259,596,12512,841,303665,3058,99606,2290,550,435,99056,2350,112798,1494,671,367,112127,1551,40545,1125,0,190,40545,1125,30688,1165,219,224,30469,1168,20028,654,0,190,20028,654,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,62999,2400,29852,1801,14735,1470,131,181,14604,1473,11237,1355,124,152,11113,1349,2741,656,54,90,2687,665,619,387,88,148,531,352,520,340,64,141,456,286,33147,1502,13060,1238,0,163,13060,1238,13500,1334,19,36,13481,1335,2750,608,84,134,2666,625,2162,696,0,163,2162,696,1675,605,0,163,1675,605,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,30700,1029,14242,841,4510,692,15,32,4495,690,6000,502,136,161,5864,491,1909,173,51,70,1858,186,1091,363,71,85,1020,343,732,336,123,193,609,287,16458,394,5634,377,0,200,5634,377,6145,429,252,382,5893,527,2083,311,45,72,2038,329,1772,432,0,200,1772,432,824,348,0,200,824,348,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,200496,2942,96467,2315,45406,1566,738,359,44668,1566,35100,1164,780,437,34320,1230,8773,775,146,120,8627,781,4660,577,295,241,4365,506,2528,373,338,223,2190,420,104029,1922,44847,1646,147,196,44700,1649,39471,1187,132,169,39339,1199,9738,894,44,73,9694,880,6342,891,25,40,6317,887,3631,515,0,147,3631,515,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
