GEO_ID,B15002B_001E,B15002B_001M,B15002B_002E,B15002B_002M,B15002B_003E,B15002B_003M,B15002B_004E,B15002B_004M,B15002B_005E,B15002B_005M,B15002B_006E,B15002B_006M,B15002B_007E,B15002B_007M,B15002B_008E,B15002B_008M,B15002B_009E,B15002B_009M,B15002B_010E,B15002B_010M,B15002B_011E,B15002B_011M,B15002B_012E,B15002B_012M,B15002B_013E,B15002B_013M,B15002B_014E,B15002B_014M,B15002B_015E,B15002B_015M,B15002B_016E,B15002B_016M,B15002B_017E,B15002B_017M,B15002B_018E,B15002B_018M,B15002B_019E,B15002B_019M,NAME,B15002B_001EA,B15002B_001MA,B15002B_002EA,B15002B_002MA,B15002B_003EA,B15002B_003MA,B15002B_004EA,B15002B_004MA,B15002B_005EA,B15002B_005MA,B15002B_006EA,B15002B_006MA,B15002B_007EA,B15002B_007MA,B15002B_008MA,B15002B_008EA,B15002B_009EA,B15002B_009MA,B15002B_010EA,B15002B_010MA,B15002B_011EA,B15002B_011MA,B15002B_012EA,B15002B_012MA,B15002B_013EA,B15002B_013MA,B15002B_014EA,B15002B_014MA,B15002B_015EA,B15002B_015MA,B15002B_016EA,B15002B_016MA,B15002B_017EA,B15002B_017MA,B15002B_018EA,B15002B_018MA,B15002B_019MA,B15002B_019EA,state
0400000US08,155288,3428,83214,2447,2665,879,5857,1533,18377,2796,5797,1416,21121,3182,7770,1683,14171,2366,7456,1554,72074,2736,2859,891,4386,1492,16015,2238,2632,1131,18571,2304,4918,1249,14472,2344,8221,1863,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,389196,4067,179286,2782,6318,1345,21245,2717,58262,3559,11636,1749,38891,3004,13982,1832,21427,3023,7525,1570,209910,3069,6169,1278,22178,2710,52469,3385,8327,1818,56882,4319,21345,2757,25942,3032,16598,2633,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,225431,4023,108999,2729,3467,1073,12429,2235,32027,3114,6683,1483,28638,2833,8771,1962,12219,2236,4765,1532,116432,2894,2789,770,11792,1838,29468,2942,6262,1547,30371,2577,14120,2196,11804,1757,9826,2044,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,944575,5291,429697,3824,25339,2435,72893,5314,151995,7393,26437,3147,84123,5565,21203,3224,34777,3344,12930,2200,514878,3437,19579,2431,61078,4165,162040,6672,20162,2875,120334,6711,35205,4010,57078,4075,39402,3099,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1165832,6368,523594,3997,17430,2279,62871,4046,145354,6684,29275,3271,135010,6363,35465,3264,64959,4230,33230,3495,642238,4103,19436,2224,56986,3968,141890,6005,24490,2326,187455,6738,57749,4283,87286,5027,66946,4935,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,60284,2473,31054,1672,1533,1000,2580,789,10008,2211,2888,980,7405,1422,1753,731,3101,1080,1786,755,29230,1935,1766,733,2631,842,7080,1362,1172,571,8284,1749,2832,1013,3408,957,2057,843,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,13486,1838,8470,1496,533,300,888,422,1460,706,1173,665,1933,724,410,354,1013,744,1060,694,5016,1080,355,295,622,425,1353,582,308,277,1302,649,173,179,598,352,305,286,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,281315,3692,126861,2567,4490,1005,14920,1903,49354,3467,6637,1211,27444,2955,9134,1635,10124,1837,4758,983,154454,2350,7442,1333,16932,2351,45420,3072,4294,1215,39146,3556,13773,2447,18048,2396,9399,1828,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,139255,1692,62065,1311,966,482,6803,1430,25809,2631,2048,626,12367,1790,3282,1241,7026,1390,3764,1038,77190,1048,2166,690,5591,1536,27829,2863,1556,599,13404,1969,6463,1413,10034,1751,10147,1794,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,201642,3323,99850,2574,6100,1436,10016,1701,19251,2604,7158,1533,26159,2840,8683,1713,13580,2033,8903,1672,101792,2330,12447,1933,9158,1744,17292,2336,5369,1116,26956,2972,8157,1536,13993,2156,8420,1541,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
