GEO_ID,B14007B_001E,B14007B_001M,B14007B_002E,B14007B_002M,B14007B_003E,B14007B_003M,B14007B_004E,B14007B_004M,B14007B_005E,B14007B_005M,B14007B_006E,B14007B_006M,B14007B_007E,B14007B_007M,B14007B_008E,B14007B_008M,B14007B_009E,B14007B_009M,B14007B_010E,B14007B_010M,B14007B_011E,B14007B_011M,B14007B_012E,B14007B_012M,B14007B_013E,B14007B_013M,B14007B_014E,B14007B_014M,B14007B_015E,B14007B_015M,B14007B_016E,B14007B_016M,B14007B_017E,B14007B_017M,B14007B_018E,B14007B_018M,B14007B_019E,B14007B_019M,NAME,B14007B_001EA,B14007B_001MA,B14007B_002EA,B14007B_002MA,B14007B_003EA,B14007B_003MA,B14007B_004EA,B14007B_004MA,B14007B_005EA,B14007B_005MA,B14007B_006EA,B14007B_006MA,B14007B_007EA,B14007B_007MA,B14007B_008EA,B14007B_008MA,B14007B_009EA,B14007B_009MA,B14007B_010EA,B14007B_010MA,B14007B_011MA,B14007B_011EA,B14007B_012EA,B14007B_012MA,B14007B_013EA,B14007B_013MA,B14007B_014EA,B14007B_014MA,B14007B_015EA,B14007B_015MA,B14007B_016EA,B14007B_016MA,B14007B_017EA,B14007B_017MA,B14007B_018EA,B14007B_018MA,B14007B_019EA,B14007B_019MA,state
0400000US08,228247,5774,66819,4613,4472,1391,3869,1421,3583,1194,1807,897,2695,1059,4445,1514,2306,913,2834,900,2821,1131,2795,1119,3458,1216,4458,1290,2545,907,2693,1052,17639,2355,4399,1136,161428,4533,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,609893,7529,184823,5916,9113,1765,10556,2313,9203,2169,10055,1890,9288,1679,9754,1956,10728,1914,10389,2028,12397,2117,10058,2277,9976,2233,10250,1563,10573,1921,11620,2088,33330,3087,7533,1378,425070,5956,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,340398,6291,95509,5099,5423,1299,4034,1048,4350,1322,4514,1417,4382,1299,5345,1333,4142,1149,6108,1551,4865,1486,4429,1266,5918,1277,5390,1256,3683,930,5970,1616,22996,2930,3960,1096,244889,4454,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1442727,8981,417416,9087,28597,2794,17575,2616,22539,3488,23339,3158,21295,3440,20434,3213,24318,3646,22108,2682,20065,2454,27694,3415,26444,3691,22283,2729,25121,3402,24431,3179,79039,5498,12134,2025,1025311,8715,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1720102,9553,476468,9879,29367,2775,23148,3419,19655,2476,20748,2538,22426,2564,25741,2577,25081,2939,27095,2928,23267,3077,22710,2623,28048,3402,24558,2381,24730,2215,32866,3122,101878,6270,25150,3244,1243634,10389,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,107187,3863,41060,3352,1645,763,2695,807,1418,617,1871,687,1691,696,2622,810,2829,847,3573,1198,1192,501,2139,893,2660,720,1624,557,2680,719,1991,841,9361,1917,1069,497,66127,2922,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,22922,2614,7946,1567,252,303,403,253,348,311,105,125,434,362,188,207,463,294,111,114,738,395,189,190,359,276,580,422,325,289,364,274,2786,875,301,250,14976,2364,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,435807,5510,124576,4552,10485,1911,6470,1415,5250,1376,6999,1635,7758,1551,7052,1714,7864,1642,5710,1258,6434,1628,6411,1564,6571,1696,5429,1319,8008,1584,8829,1612,21671,2636,3635,1166,311231,5110,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,210225,3346,59742,2912,4136,1288,3230,1044,2596,921,2208,837,3582,1288,3249,1025,3200,997,2454,860,4661,1703,3291,873,1663,682,3048,848,3767,851,3258,896,13590,1939,1809,630,150483,3082,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,344180,5274,137799,5653,7158,1467,6897,1541,8639,1851,8454,1547,7847,1385,7275,1386,6397,1368,6601,1410,6224,1218,7389,1605,6139,1186,6472,1285,5618,1276,7590,1561,32883,3672,6216,1629,206381,5652,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
