GEO_ID,B19001F_001E,B19001F_001M,B19001F_002E,B19001F_002M,B19001F_003E,B19001F_003M,B19001F_004E,B19001F_004M,B19001F_005E,B19001F_005M,B19001F_006E,B19001F_006M,B19001F_007E,B19001F_007M,B19001F_008E,B19001F_008M,B19001F_009E,B19001F_009M,B19001F_010E,B19001F_010M,B19001F_011E,B19001F_011M,B19001F_012E,B19001F_012M,B19001F_013E,B19001F_013M,B19001F_014E,B19001F_014M,B19001F_015E,B19001F_015M,B19001F_016E,B19001F_016M,B19001F_017E,B19001F_017M,NAME,B19001F_001EA,B19001F_001MA,B19001F_002EA,B19001F_002MA,B19001F_003EA,B19001F_003MA,B19001F_004EA,B19001F_004MA,B19001F_005EA,B19001F_005MA,B19001F_006EA,B19001F_006MA,B19001F_007EA,B19001F_007MA,B19001F_008EA,B19001F_008MA,B19001F_009EA,B19001F_009MA,B19001F_010EA,B19001F_010MA,B19001F_011EA,B19001F_011MA,B19001F_012EA,B19001F_012MA,B19001F_013EA,B19001F_013MA,B19001F_014EA,B19001F_014MA,B19001F_015EA,B19001F_015MA,B19001F_016EA,B19001F_016MA,B19001F_017EA,B19001F_017MA,state
0400000US08,58706,3915,5325,1344,3237,973,1499,653,3124,1060,2570,1188,3625,1172,3396,938,2490,874,2249,858,4449,1090,7685,1500,8961,1601,3813,968,2654,924,2731,904,898,392,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,46387,3770,3707,1107,1833,829,2118,982,4197,1392,3153,1050,3230,1010,3068,969,1955,741,1682,788,3322,930,6748,1694,5239,1456,2464,866,1509,717,1192,537,970,478,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,11921,1792,585,406,927,672,551,362,722,403,655,535,1613,756,950,400,835,529,751,381,901,423,949,496,1338,728,653,403,261,336,81,133,149,145,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,18260,2837,1684,646,783,456,991,502,1957,927,2076,1079,1624,890,1338,742,1126,539,570,400,1523,747,1269,739,1387,759,889,670,464,365,383,309,196,229,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,190372,5818,10538,1682,5643,1536,7744,1559,11590,1911,9924,1669,10836,1560,10275,1583,9537,1726,10346,2056,19302,2330,24939,2310,26522,2883,14247,2203,8524,1834,7598,1621,2807,822,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,8917,1678,749,574,455,342,275,284,804,416,193,217,680,390,504,314,443,296,982,469,611,332,857,514,1246,651,620,331,376,310,88,154,34,43,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,24078,2400,1461,632,1266,734,1621,863,1335,583,1701,847,2630,1057,2091,940,1308,741,2189,968,2535,956,2735,1039,1805,615,901,676,95,118,369,316,36,62,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,4968,1099,410,272,176,167,176,204,56,90,0,200,10,18,72,101,209,263,153,149,1616,672,709,569,626,469,325,235,158,137,60,97,212,181,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,27447,2184,1389,601,1559,658,472,486,1048,563,1744,742,2304,779,2179,810,1958,709,1428,678,2238,829,3773,1030,3992,1091,1373,630,573,353,1148,498,269,188,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
