GEO_ID,B12002B_001E,B12002B_001M,B12002B_002E,B12002B_002M,B12002B_003E,B12002B_003M,B12002B_004E,B12002B_004M,B12002B_005E,B12002B_005M,B12002B_006E,B12002B_006M,B12002B_007E,B12002B_007M,B12002B_008E,B12002B_008M,B12002B_009E,B12002B_009M,B12002B_010E,B12002B_010M,B12002B_011E,B12002B_011M,B12002B_012E,B12002B_012M,B12002B_013E,B12002B_013M,NAME,B12002B_001MA,B12002B_001EA,B12002B_002MA,B12002B_002EA,B12002B_003MA,B12002B_003EA,B12002B_004MA,B12002B_004EA,B12002B_005EA,B12002B_005MA,B12002B_006EA,B12002B_006MA,B12002B_007MA,B12002B_007EA,B12002B_008MA,B12002B_008EA,B12002B_009MA,B12002B_009EA,B12002B_010MA,B12002B_010EA,B12002B_011EA,B12002B_011MA,B12002B_012MA,B12002B_012EA,B12002B_013MA,B12002B_013EA,state
0400000US08,191603,4381,100668,3035,46117,3870,39671,2926,2656,741,2187,891,10037,2038,90935,3725,37357,3300,30794,3217,1706,672,6706,1307,14372,2204,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,486238,5087,229563,2868,123734,4777,69069,4222,6052,1220,5761,1329,24947,2792,256675,3870,132884,5099,61398,3855,7584,1653,18115,2199,36694,3608,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,284641,5109,140612,3169,71028,3556,42821,3790,3338,1135,3371,1011,20054,2618,144029,3405,67723,4000,35032,3059,6890,1595,11434,1400,22950,2709,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1178316,6718,548104,4533,297633,7134,165238,6687,14726,2435,16094,1803,54413,4009,630212,5031,320317,7361,159723,6515,23397,2996,55458,3691,71317,4481,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1435976,7053,661983,4607,379535,6411,179352,5716,19631,2091,19404,2079,64061,4162,773993,4578,409738,6915,168638,5665,25506,2634,69219,3111,100892,4923,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,81729,3165,43285,1998,25657,2320,12564,1519,820,646,1133,634,3111,989,38444,2354,21993,2142,8082,1456,1309,508,2285,704,4775,1187,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,19008,2246,10748,1780,5801,1547,3572,899,655,472,147,234,573,420,8260,1379,4338,1087,2155,677,349,246,531,439,887,524,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,354476,4206,163768,3272,86989,4027,49545,3424,5228,1270,3068,891,18938,2277,190708,2982,93266,4982,46494,3371,7438,1689,17236,2135,26274,2891,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,171996,2200,79236,1736,40019,2124,26965,1820,2049,760,2590,835,7613,1524,92760,1416,41764,2402,26496,2202,2704,924,6638,1212,15158,1926,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,259788,3482,130462,2822,67688,3661,45024,3658,4139,1195,1296,611,12315,1696,129326,2491,60727,3135,39361,3510,5577,1347,6479,1317,17182,2555,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,14558,1592,8657,1292,4066,1088,3330,794,471,586,129,129,661,354,5901,919,3187,1025,1649,647,89,112,175,172,801,636,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,1795553,9792,819247,5885,401382,9140,283433,8438,31185,3781,23891,2539,79356,5575,976306,6438,443234,8115,265362,7571,42254,3174,92577,4550,132879,5044,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,2629742,11547,1202818,7445,616525,11190,406896,10008,33161,3566,28358,2680,117878,5660,1426924,6945,670454,12491,389285,11398,56036,4680,110312,5974,200837,8615,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
