GEO_ID,B19101D_001E,B19101D_001M,B19101D_002E,B19101D_002M,B19101D_003E,B19101D_003M,B19101D_004E,B19101D_004M,B19101D_005E,B19101D_005M,B19101D_006E,B19101D_006M,B19101D_007E,B19101D_007M,B19101D_008E,B19101D_008M,B19101D_009E,B19101D_009M,B19101D_010E,B19101D_010M,B19101D_011E,B19101D_011M,B19101D_012E,B19101D_012M,B19101D_013E,B19101D_013M,B19101D_014E,B19101D_014M,B19101D_015E,B19101D_015M,B19101D_016E,B19101D_016M,B19101D_017E,B19101D_017M,NAME,B19101D_001EA,B19101D_001MA,B19101D_002MA,B19101D_002EA,B19101D_003MA,B19101D_003EA,B19101D_004MA,B19101D_004EA,B19101D_005EA,B19101D_005MA,B19101D_006EA,B19101D_006MA,B19101D_007MA,B19101D_007EA,B19101D_008MA,B19101D_008EA,B19101D_009MA,B19101D_009EA,B19101D_010EA,B19101D_010MA,B19101D_011MA,B19101D_011EA,B19101D_012MA,B19101D_012EA,B19101D_013MA,B19101D_013EA,B19101D_014MA,B19101D_014EA,B19101D_015EA,B19101D_015MA,B19101D_016EA,B19101D_016MA,B19101D_017MA,B19101D_017EA,state
0400000US08,40107,1937,1349,672,530,363,381,330,1330,571,969,448,1275,660,1243,467,1524,578,1181,557,2001,605,3384,940,5455,1155,5461,1063,3762,801,4124,925,6138,1119,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,31976,2324,1448,605,524,400,1025,458,1363,745,1692,897,552,363,1121,591,1858,872,1457,724,2165,878,3103,940,4641,995,2092,750,2762,825,2990,1056,3183,863,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,15010,1363,413,274,233,183,438,399,768,447,803,474,1821,732,832,531,420,303,363,312,554,283,908,485,2378,766,1211,524,901,407,942,404,2025,668,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,16714,1404,538,327,184,173,812,557,420,279,185,167,721,351,1193,551,620,380,460,481,2195,826,1138,505,3002,756,1860,616,1055,502,1087,495,1244,585,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,173830,3243,6061,1340,3367,1146,3452,1005,5017,1310,3718,1008,3788,901,4820,1235,6329,1242,5239,1488,7470,1379,15346,2116,20972,2112,19970,1944,13278,1873,21869,2609,33134,2595,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,15846,1491,283,183,205,293,240,236,459,388,487,321,1277,834,727,437,1094,655,285,251,1523,735,1372,618,2448,689,1487,760,1432,667,1083,551,1444,637,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,7719,1022,496,482,183,303,0,192,58,85,282,247,194,220,232,192,368,257,260,220,344,250,582,372,955,454,400,318,714,373,658,338,1993,742,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,9934,1141,289,240,87,155,277,250,456,383,538,488,233,209,141,147,265,226,596,381,571,360,1082,507,1377,807,1384,592,913,611,508,341,1217,550,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,10027,807,173,148,85,112,241,222,72,88,332,275,351,356,174,134,89,156,528,421,289,213,997,492,2072,750,1191,562,623,407,916,437,1894,726,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,54356,2480,1440,651,1014,445,613,308,1735,633,1298,567,2443,870,1572,552,1736,621,2223,671,2913,902,4769,939,7148,1244,6825,1191,4829,838,6825,1051,6973,1279,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
