GEO_ID,B28009E_001E,B28009E_001M,B28009E_002E,B28009E_002M,B28009E_003E,B28009E_003M,B28009E_004E,B28009E_004M,B28009E_005E,B28009E_005M,B28009E_006E,B28009E_006M,NAME,B28009E_001MA,B28009E_001EA,B28009E_002EA,B28009E_002MA,B28009E_003EA,B28009E_003MA,B28009E_004MA,B28009E_004EA,B28009E_005MA,B28009E_005EA,B28009E_006MA,B28009E_006EA,state
0400000US08,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,3470,1344,2985,1247,0,198,2517,1122,468,502,485,412,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,3386,1358,2634,1233,0,163,2464,1215,170,228,752,384,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,9159,1043,6587,2033,0,201,4824,2309,1763,1686,2572,1798,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,2303,1084,2120,1064,0,147,1326,637,794,851,183,161,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,null,null,null,null,null,null,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
