B27001D_015E,B27001D_015M,B27001D_016E,B27001D_016M,B27001D_017E,B27001D_017M,B27001D_018E,B27001D_018M,B27001D_019E,B27001D_019M,B27001D_020E,B27001D_020M,B27001D_021E,B27001D_021M,B27001D_022E,B27001D_022M,B27001D_023E,B27001D_023M,B27001D_024E,B27001D_024M,B27001D_025E,B27001D_025M,B27001D_026E,B27001D_026M,B27001D_027E,B27001D_027M,B27001D_028E,B27001D_028M,GEO_ID,B27001D_001E,B27001D_001M,B27001D_002E,B27001D_002M,B27001D_003E,B27001D_003M,B27001D_004E,B27001D_004M,B27001D_005E,B27001D_005M,B27001D_006E,B27001D_006M,B27001D_007E,B27001D_007M,B27001D_008E,B27001D_008M,B27001D_009E,B27001D_009M,B27001D_010E,B27001D_010M,B27001D_011E,B27001D_011M,B27001D_012E,B27001D_012M,B27001D_013E,B27001D_013M,B27001D_014E,B27001D_014M,B27001D_015EA,B27001D_015MA,B27001D_016MA,B27001D_016EA,B27001D_017MA,B27001D_017EA,B27001D_018MA,B27001D_018EA,B27001D_019EA,B27001D_019MA,B27001D_020EA,B27001D_020MA,B27001D_021MA,B27001D_021EA,B27001D_022MA,B27001D_022EA,B27001D_023MA,B27001D_023EA,B27001D_024MA,B27001D_024EA,B27001D_025EA,B27001D_025MA,B27001D_026MA,B27001D_026EA,B27001D_027MA,B27001D_027EA,B27001D_028MA,B27001D_028EA,NAME,B27001D_001EA,B27001D_001MA,B27001D_002MA,B27001D_002EA,B27001D_003EA,B27001D_003MA,B27001D_004MA,B27001D_004EA,B27001D_005MA,B27001D_005EA,B27001D_006EA,B27001D_006MA,B27001D_007EA,B27001D_007MA,B27001D_008EA,B27001D_008MA,B27001D_009MA,B27001D_009EA,B27001D_010MA,B27001D_010EA,B27001D_011EA,B27001D_011MA,B27001D_012EA,B27001D_012MA,B27001D_013MA,B27001D_013EA,B27001D_014EA,B27001D_014MA,state
28115,1486,1472,611,25151,1474,23380,1482,1771,625,17025,1084,15791,1201,1234,642,13385,1092,13098,1133,287,323,5105,935,5088,936,17,32,0400000US08,178500,5252,10904,1367,10743,1391,161,158,28191,2624,27319,2587,872,503,17880,1919,16364,1821,1516,688,31272,1975,28148,1988,3124,971,29587,1573,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
20703,2300,1753,905,20324,2168,18953,2242,1371,655,10685,1516,9747,1506,938,519,7588,1358,7178,1286,410,414,3700,924,3584,914,116,182,0400000US18,153492,5529,10137,1271,9748,1261,389,357,26855,2592,23598,2201,3257,1636,24409,1993,22090,2169,2319,1036,27338,2793,23536,2621,3802,1469,22456,2326,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
9506,1536,1468,871,9813,1561,8764,1342,1049,808,4761,973,4450,904,311,281,3449,980,3449,980,0,197,1492,515,1492,515,0,197,0400000US21,65156,3482,4302,786,4263,780,39,64,11842,1560,11244,1601,598,349,7841,1241,7154,1298,687,547,10682,1599,10058,1545,624,444,10974,1793,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
10760,1371,956,547,10683,1352,9447,1318,1236,676,8213,1267,7843,1331,370,284,5149,1138,5083,1128,66,125,2541,824,2351,811,190,288,0400000US22,75636,3088,4424,916,3981,887,443,449,11304,1520,10416,1377,888,596,9279,1580,7746,1452,1533,672,12327,1502,10021,1416,2306,1099,11716,1372,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
110406,2474,9239,1828,94736,1862,87543,2247,7193,1797,74554,1958,69570,2029,4984,1113,56553,1576,54815,1792,1738,1023,33475,1037,31970,1386,1505,1068,0400000US17,715235,6707,41388,2619,39706,2646,1682,837,107947,3935,102287,4270,5660,1676,71483,3529,64937,3052,6546,1769,115454,3328,104512,3904,10942,2029,119645,2435,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
13819,1857,536,414,9986,1507,9219,1611,767,566,5491,926,5295,938,196,162,2781,900,2705,888,76,122,2141,688,2141,688,0,163,0400000US19,79489,3079,4822,855,4822,855,0,163,14067,1655,13767,1648,300,390,12401,1559,9777,1556,2624,1237,13445,1971,12106,1965,1339,592,14355,1796,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
5668,1093,745,527,4784,762,4640,796,144,193,3665,798,3293,652,372,394,1075,512,1075,512,0,192,1092,334,966,344,126,157,0400000US33,35998,2297,1954,698,1854,697,100,120,6482,1440,6328,1436,154,225,4722,942,3769,895,953,612,5811,899,4876,967,935,485,6413,1181,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
6988,1229,163,169,6108,1365,5431,1207,677,446,5203,980,4613,954,590,403,2526,853,2276,809,250,265,650,466,548,429,102,162,0400000US05,47277,2611,2752,608,2752,608,0,201,7551,1232,7153,1141,398,524,6216,1619,5405,1621,811,543,9120,1844,7504,1637,1616,789,7151,1211,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
6819,681,672,743,4622,659,4473,630,149,173,3992,442,3577,527,415,315,2844,699,2629,688,215,214,1493,581,1352,535,141,228,0400000US10,38909,1597,2715,458,2715,458,0,200,5975,662,5890,650,85,109,3235,585,3126,596,109,152,6542,803,5846,955,696,447,7491,619,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
41362,1698,1909,807,30980,1420,28890,1561,2090,996,18261,1187,17392,1234,869,384,10949,1111,10851,1099,98,158,6021,672,5584,757,437,370,0400000US27,272042,4394,24310,1487,23665,1524,645,387,53493,2198,51615,2296,1878,718,32531,2148,30467,2029,2064,782,52226,1953,49442,2016,2784,903,43271,1569,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
