GEO_ID,B16003_001E,B16003_001M,B16003_002E,B16003_002M,B16003_003E,B16003_003M,B16003_004E,B16003_004M,B16003_005E,B16003_005M,B16003_006E,B16003_006M,B16003_007E,B16003_007M,B16003_008E,B16003_008M,B16003_009E,B16003_009M,B16003_010E,B16003_010M,B16003_011E,B16003_011M,B16003_012E,B16003_012M,NAME,B16003_001MA,B16003_001EA,B16003_002EA,B16003_002MA,B16003_003EA,B16003_003MA,B16003_004MA,B16003_004EA,B16003_005MA,B16003_005EA,B16003_006EA,B16003_006MA,B16003_007EA,B16003_007MA,B16003_008EA,B16003_008MA,B16003_009MA,B16003_009EA,B16003_010MA,B16003_010EA,B16003_011EA,B16003_011MA,B16003_012MA,B16003_012EA,state
0400000US08,139478,12513,31397,4778,2836,1327,21900,4254,2727,1433,2368,735,1566,1281,108081,9193,73358,8094,9791,2205,17211,2564,7721,2195,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,105781,10595,26733,4573,2354,1080,16701,3618,1758,1005,5498,1760,422,534,79048,7618,41071,5336,14089,3292,20988,3749,2900,1687,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,62115,6650,15693,2882,847,440,8946,1874,1494,789,2445,1039,1961,1479,46422,4841,24817,3217,8885,2093,9846,2178,2874,1272,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,73812,7394,15340,2541,1550,867,11474,2434,582,569,1734,774,0,217,58472,5835,38413,5176,7377,1826,11434,2514,1248,741,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,472225,18714,84079,7164,5676,1360,51676,5034,13141,2515,8785,2023,4801,1914,388146,14125,199015,11498,108209,7161,66168,6052,14754,3222,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,58381,6532,12816,2596,1006,535,6452,1750,1480,1097,1761,960,2117,1446,45565,5190,17380,2831,7560,2253,13042,3057,7583,2677,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,16793,4019,3550,1306,988,739,1074,677,968,743,232,266,288,364,13243,3237,4610,1682,4134,1429,3856,1951,643,591,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,47403,5724,11471,2229,1949,1136,7430,2147,230,323,1862,997,0,201,35932,4529,25381,3839,1788,1293,8352,2560,411,419,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,22926,4150,5814,1296,714,484,4494,1238,500,413,106,174,0,200,17112,3394,9471,2387,2447,1269,5125,1903,69,83,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,122146,10365,33058,4031,3700,1095,11502,2607,1279,736,7045,1958,9532,2638,89088,7613,26640,4014,10881,2450,25697,3507,25870,4942,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
