C23002B_014E,C23002B_014M,C23002B_015E,C23002B_015M,C23002B_016E,C23002B_016M,C23002B_017E,C23002B_017M,C23002B_018E,C23002B_018M,C23002B_019E,C23002B_019M,C23002B_020E,C23002B_020M,C23002B_021E,C23002B_021M,C23002B_022E,C23002B_022M,C23002B_023E,C23002B_023M,C23002B_024E,C23002B_024M,C23002B_025E,C23002B_025M,C23002B_026E,C23002B_026M,C23002B_027E,C23002B_027M,GEO_ID,C23002B_001E,C23002B_001M,C23002B_002E,C23002B_002M,C23002B_003E,C23002B_003M,C23002B_004E,C23002B_004M,C23002B_005E,C23002B_005M,C23002B_006E,C23002B_006M,C23002B_007E,C23002B_007M,C23002B_008E,C23002B_008M,C23002B_009E,C23002B_009M,C23002B_010E,C23002B_010M,C23002B_011E,C23002B_011M,C23002B_012E,C23002B_012M,C23002B_013E,C23002B_013M,C23002B_014MA,C23002B_014EA,C23002B_015EA,C23002B_015MA,C23002B_016EA,C23002B_016MA,C23002B_017EA,C23002B_017MA,C23002B_018MA,C23002B_018EA,C23002B_019MA,C23002B_019EA,C23002B_020EA,C23002B_020MA,C23002B_021EA,C23002B_021MA,C23002B_022EA,C23002B_022MA,C23002B_023MA,C23002B_023EA,C23002B_024MA,C23002B_024EA,C23002B_025EA,C23002B_025MA,C23002B_026EA,C23002B_026MA,C23002B_027EA,C23002B_027MA,NAME,C23002B_001MA,C23002B_001EA,C23002B_002MA,C23002B_002EA,C23002B_003EA,C23002B_003MA,C23002B_004EA,C23002B_004MA,C23002B_005MA,C23002B_005EA,C23002B_006MA,C23002B_006EA,C23002B_007MA,C23002B_007EA,C23002B_008EA,C23002B_008MA,C23002B_009EA,C23002B_009MA,C23002B_010MA,C23002B_010EA,C23002B_011EA,C23002B_011MA,C23002B_012MA,C23002B_012EA,C23002B_013MA,C23002B_013EA,state
6434,800,88462,3606,76423,3596,53929,3445,955,636,52974,3388,49951,3529,3023,1085,22494,3602,12039,738,2302,707,2302,707,0,204,9737,836,0400000US08,187360,4180,98898,2906,89805,2956,68534,3067,3348,1258,65186,3207,60983,3418,4203,1287,21271,2512,9093,511,2659,699,2659,699,0,204,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
22360,1565,252517,3873,213393,3761,155327,4775,193,338,155134,4750,138519,5347,16615,2491,58066,3707,39124,1275,7726,1383,7607,1365,119,127,31398,1669,0400000US18,477968,5038,225451,2851,198501,2905,132007,4661,93,119,131914,4668,117035,4357,14879,2638,66494,4057,26950,1445,4590,866,4000,826,590,361,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
12782,1264,141639,3309,117479,3203,85436,4262,152,240,85284,4323,75804,4295,9480,1963,32043,3505,24160,1365,3616,794,3581,793,35,60,20544,1476,0400000US21,278946,4864,137307,3184,121141,3248,84221,3730,1405,562,82816,3813,75434,4076,7382,1833,36920,2862,16166,1312,3384,761,3384,761,0,197,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
61724,2313,620153,5102,512708,5212,345369,7640,1220,711,344149,7685,312642,7663,31507,3681,167339,7006,107445,1343,14565,1886,14044,1875,521,303,92880,2259,0400000US22,1154603,7079,534450,4400,460329,4139,279312,6054,1740,750,277572,6225,244928,6559,32644,3281,181017,7178,74121,1899,12397,1969,12199,2001,198,125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
75137,1667,762770,4705,622093,4394,448184,6242,140,160,448044,6216,393373,6209,54671,4124,173909,6614,140677,1367,22459,2229,21812,2198,647,511,118218,2443,0400000US17,1413387,6977,650617,4614,560885,4571,378299,7600,1257,646,377042,7697,322104,7966,54938,4945,182586,6514,89732,926,14595,1475,13689,1433,906,476,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
1449,480,37919,2268,34740,2297,25792,2186,0,163,25792,2186,22054,2251,3738,1271,8948,1482,3179,495,378,269,378,269,0,163,2801,567,0400000US19,79918,3013,41999,1931,39459,1928,29566,2010,0,163,29566,2010,26081,2093,3485,1034,9893,1426,2540,626,1091,431,992,431,99,114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
516,391,7891,1323,7609,1317,5055,1094,0,192,5055,1094,4634,1064,421,314,2554,824,282,234,72,115,72,115,0,192,210,212,0400000US33,18639,2169,10748,1780,9918,1777,7108,1523,105,188,7003,1514,6402,1543,601,516,2810,983,830,357,314,277,208,265,106,186,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
18263,1278,187152,2739,156948,2791,103130,4023,0,201,103130,4023,94910,3775,8220,1831,53818,4007,30204,1020,3810,929,3673,892,137,146,26394,1207,0400000US05,348430,3898,161278,3069,139850,3080,86432,3968,334,398,86098,4006,78387,3811,7711,1576,53418,3327,21428,1147,3165,930,3110,935,55,66,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
8094,714,91682,1513,76269,1468,55712,2679,11,22,55701,2679,51185,2801,4516,1377,20557,2456,15413,355,2699,653,2347,593,352,299,12714,730,0400000US10,169302,2303,77620,1747,66567,1702,46003,2263,944,741,45059,2257,40079,2337,4980,1207,20564,2281,11053,202,2959,723,2938,722,21,36,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
5938,884,126339,2535,115360,2463,89941,3311,80,130,89861,3281,83647,3212,6214,1773,25419,2593,10979,958,2122,776,2122,776,0,147,8857,1140,0400000US27,253517,3709,127178,2997,118601,2828,86645,3557,82,132,86563,3527,79280,3633,7283,1391,31956,3062,8577,794,2639,734,2296,660,343,380,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
