GEO_ID,C17010B_001E,C17010B_001M,C17010B_002E,C17010B_002M,C17010B_003E,C17010B_003M,C17010B_004E,C17010B_004M,C17010B_005E,C17010B_005M,C17010B_006E,C17010B_006M,C17010B_007E,C17010B_007M,C17010B_008E,C17010B_008M,C17010B_009E,C17010B_009M,C17010B_010E,C17010B_010M,C17010B_011E,C17010B_011M,C17010B_012E,C17010B_012M,C17010B_013E,C17010B_013M,C17010B_014E,C17010B_014M,C17010B_015E,C17010B_015M,C17010B_016E,C17010B_016M,C17010B_017E,C17010B_017M,NAME,C17010B_001EA,C17010B_001MA,C17010B_002MA,C17010B_002EA,C17010B_003EA,C17010B_003MA,C17010B_004EA,C17010B_004MA,C17010B_005EA,C17010B_005MA,C17010B_006EA,C17010B_006MA,C17010B_007EA,C17010B_007MA,C17010B_008EA,C17010B_008MA,C17010B_009EA,C17010B_009MA,C17010B_010EA,C17010B_010MA,C17010B_011EA,C17010B_011MA,C17010B_012MA,C17010B_012EA,C17010B_013MA,C17010B_013EA,C17010B_014EA,C17010B_014MA,C17010B_015EA,C17010B_015MA,C17010B_016EA,C17010B_016MA,C17010B_017EA,C17010B_017MA,state
0400000US08,51101,3278,7318,1544,1804,746,1463,718,5514,1431,650,452,519,417,4864,1344,4632,1323,43783,3313,26872,2635,15261,2120,16911,2616,5776,1684,3212,1355,11135,1948,6695,1699,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,134545,4724,31808,3275,4347,1347,2704,1015,27461,3037,3657,979,2706,915,23804,2790,22044,2680,102737,4506,50503,4091,20979,2455,52234,4349,12379,2213,5152,1443,39855,3763,24436,3435,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,79152,3795,20514,2615,2550,900,1489,757,17964,2686,2422,1145,1804,1058,15542,2431,13637,2407,58638,3326,31170,2866,14707,1784,27468,2468,6484,1565,3498,1213,20984,2232,12137,2162,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,314953,6855,79094,4658,11612,1918,6152,1492,67482,4496,10556,1852,7005,1571,56926,4399,48496,4485,235859,6580,126171,5356,48082,4044,109688,5927,22727,3020,9719,1981,86961,4611,50336,4151,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,380960,7362,78004,5359,8963,1616,5424,1490,69041,5313,7138,1353,4385,1152,61903,5138,50689,4922,302956,7114,137594,5242,53642,3502,165362,5964,31365,3464,15078,2388,133997,5550,72065,4958,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,21277,1903,6812,1347,1421,875,1223,851,5391,1262,904,558,801,558,4487,1083,4116,1041,14465,1709,6175,1117,3624,883,8290,1715,2399,1057,1514,981,5891,1294,4944,1187,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,4142,910,969,484,214,174,106,186,755,462,14,24,14,24,741,461,741,461,3173,870,1993,729,1559,688,1180,628,496,428,496,428,684,461,305,249,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,103944,4444,27548,2923,3603,993,1452,594,23945,2977,2334,1148,1598,967,21611,2746,17850,2776,76396,3686,40618,2994,15121,2290,35778,3300,7347,1503,3073,1233,28431,2885,16502,2358,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,46296,2588,7995,1498,1991,964,1401,899,6004,1290,458,344,313,258,5546,1261,5284,1190,38301,2891,20765,1893,8318,1523,17536,2188,4196,1124,2487,908,13340,2083,8112,1739,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,72691,3292,16662,2345,3366,1039,3304,1037,13296,2115,1526,706,977,612,11770,1959,10630,1856,56029,3196,30839,2823,21294,2386,25190,2620,6689,1469,4140,1213,18501,2189,14412,2053,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
