GEO_ID,B17020B_001E,B17020B_001M,B17020B_002E,B17020B_002M,B17020B_003E,B17020B_003M,B17020B_004E,B17020B_004M,B17020B_005E,B17020B_005M,B17020B_006E,B17020B_006M,B17020B_007E,B17020B_007M,B17020B_008E,B17020B_008M,B17020B_009E,B17020B_009M,B17020B_010E,B17020B_010M,B17020B_011E,B17020B_011M,B17020B_012E,B17020B_012M,B17020B_013E,B17020B_013M,B17020B_014E,B17020B_014M,B17020B_015E,B17020B_015M,B17020B_016E,B17020B_016M,B17020B_017E,B17020B_017M,NAME,B17020B_001EA,B17020B_001MA,B17020B_002MA,B17020B_002EA,B17020B_003EA,B17020B_003MA,B17020B_004EA,B17020B_004MA,B17020B_005EA,B17020B_005MA,B17020B_006EA,B17020B_006MA,B17020B_007EA,B17020B_007MA,B17020B_008EA,B17020B_008MA,B17020B_009MA,B17020B_009EA,B17020B_010MA,B17020B_010EA,B17020B_011MA,B17020B_011EA,B17020B_012EA,B17020B_012MA,B17020B_013EA,B17020B_013MA,B17020B_014EA,B17020B_014MA,B17020B_015MA,B17020B_015EA,B17020B_016MA,B17020B_016EA,B17020B_017EA,B17020B_017MA,state
0400000US08,227729,6550,40998,6180,5725,1717,4710,1635,4199,1229,21504,3486,3915,1240,859,502,86,146,186731,7763,13139,2198,13513,2411,14513,2198,117791,4363,21851,1654,4477,888,1447,547,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,607488,7216,162583,10471,21663,2632,20882,3513,23464,3206,80518,6045,12010,1713,2612,669,1434,712,444905,11743,36021,3446,35714,3491,37104,3232,258270,7691,58756,2709,14619,1586,4421,954,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,333084,6066,93664,8908,10942,2009,11012,2425,11750,2248,48995,5153,8492,1565,1901,754,572,349,239420,10343,14941,2821,14435,2722,17505,2877,144914,6361,35657,2678,8689,1268,3279,834,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1448658,9620,434337,17492,62902,6511,54652,5084,52932,5443,200999,9332,46888,3353,12376,1785,3588,899,1014321,18975,60731,5729,76384,5957,86848,6532,592419,11125,153601,5149,34731,2430,9607,1890,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1719422,10318,426837,18375,55944,4903,49680,5445,44955,5086,212258,9176,51876,3422,8847,1490,3277,835,1292585,18450,80210,5342,91996,5369,102336,5884,755547,10173,187327,5327,56903,2618,18266,2002,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,107690,4977,33020,4720,4554,1300,5349,1514,5529,1749,16159,2247,1074,516,355,329,0,163,74670,4535,8735,1738,6989,1384,6705,1409,44494,2762,6535,863,1100,467,112,137,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,20043,2421,5510,2136,884,609,591,509,595,459,2864,1166,576,436,0,192,0,192,14533,2644,589,466,1060,497,1813,663,9826,1906,976,488,0,192,269,312,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,436368,6302,132623,8833,20083,2802,19031,2652,14379,2993,62102,5058,14050,2086,2165,723,813,436,303745,9155,21451,2703,21658,2361,22591,3019,182079,6011,43166,2586,9140,1305,3660,923,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,207086,3819,41929,5734,6252,1945,5176,1740,5866,1996,19334,2956,4274,1256,897,442,130,125,165157,5970,10968,2236,12677,1835,12573,1702,96004,3573,24406,1458,7173,619,1356,590,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,353979,6110,96264,8953,15861,2934,16090,2731,9424,1792,46412,4738,6208,1400,1860,751,409,257,257715,9503,26526,2581,29609,3295,26463,2686,153372,4984,17850,1765,2961,824,934,517,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
