GEO_ID,B19001B_001E,B19001B_001M,B19001B_002E,B19001B_002M,B19001B_003E,B19001B_003M,B19001B_004E,B19001B_004M,B19001B_005E,B19001B_005M,B19001B_006E,B19001B_006M,B19001B_007E,B19001B_007M,B19001B_008E,B19001B_008M,B19001B_009E,B19001B_009M,B19001B_010E,B19001B_010M,B19001B_011E,B19001B_011M,B19001B_012E,B19001B_012M,B19001B_013E,B19001B_013M,B19001B_014E,B19001B_014M,B19001B_015E,B19001B_015M,B19001B_016E,B19001B_016M,B19001B_017E,B19001B_017M,NAME,B19001B_001EA,B19001B_001MA,B19001B_002EA,B19001B_002MA,B19001B_003EA,B19001B_003MA,B19001B_004EA,B19001B_004MA,B19001B_005EA,B19001B_005MA,B19001B_006EA,B19001B_006MA,B19001B_007EA,B19001B_007MA,B19001B_008EA,B19001B_008MA,B19001B_009EA,B19001B_009MA,B19001B_010MA,B19001B_010EA,B19001B_011EA,B19001B_011MA,B19001B_012EA,B19001B_012MA,B19001B_013EA,B19001B_013MA,B19001B_014EA,B19001B_014MA,B19001B_015EA,B19001B_015MA,B19001B_016EA,B19001B_016MA,B19001B_017EA,B19001B_017MA,state
0400000US08,87423,4147,8020,1694,4962,1260,4938,1472,4512,1162,4161,1159,5198,1488,4187,1133,3877,1240,4388,1486,8246,2142,9018,2000,10709,1622,6792,1452,2337,935,3520,1140,2558,852,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,240478,5675,34835,3279,18773,2923,18596,2373,15633,2197,17035,2126,17474,2438,14461,2056,14717,2490,10071,2124,15866,2183,20468,2336,21424,2588,9646,2016,6207,1390,2648,847,2624,869,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,143544,3789,19717,2507,12728,2104,9289,1629,8669,1473,10475,2103,9573,1733,9218,1750,7479,1722,8278,1877,11964,1962,10408,2173,12572,1787,5268,1263,3819,1109,2190,813,1897,868,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,532586,7372,85474,4444,47893,3754,46825,4143,46389,4340,38097,3907,35307,3721,28034,3138,22922,3046,17099,2002,33925,3996,40902,3348,39397,3357,21146,2898,12968,1936,10467,1787,5741,1405,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,672761,9671,94347,5618,50013,4450,40900,3439,49157,4628,36789,3828,35528,3478,31119,3121,33699,3335,25792,2787,48924,3715,62874,4413,60408,3867,43043,4155,22652,3041,22416,2613,15100,1903,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,36410,2387,4546,1220,2669,809,3322,1075,2623,952,3507,1006,3451,963,1702,686,2170,1029,1488,600,2965,984,2654,929,2192,845,1615,530,750,575,509,379,247,247,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,6411,1107,846,637,268,258,493,431,320,263,567,389,251,244,290,286,156,218,289,306,467,402,747,490,797,469,273,266,311,346,71,113,265,240,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,170391,4882,25953,3300,17016,2502,14394,2142,14554,2338,11377,2213,10802,1983,11726,1995,7811,1412,7705,1515,12973,2067,9924,1445,11757,1911,6952,1433,3931,1219,1917,706,1599,691,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,79735,2903,8842,1732,4392,1158,3572,1019,6326,1499,5474,1141,4362,1319,2994,1060,4165,1066,2544,798,4781,1174,8837,1663,8456,1600,6044,1471,3212,870,3051,1099,2683,944,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,116958,3480,16386,2535,9114,1707,6568,1551,7227,1704,6652,1750,9107,1518,7064,1729,5440,1557,5336,1440,8279,1610,8988,1434,10221,1777,5583,1338,3369,1041,5372,1547,2252,807,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
