GEO_ID,B22005E_001E,B22005E_001M,B22005E_002E,B22005E_002M,B22005E_003E,B22005E_003M,NAME,B22005E_001MA,B22005E_001EA,B22005E_002MA,B22005E_002EA,B22005E_003MA,B22005E_003EA,state
0400000US08,2469,792,140,228,2329,791,Colorado,null,null,null,null,null,null,08
0400000US18,1053,537,121,168,932,560,Indiana,null,null,null,null,null,null,18
0400000US21,1323,766,210,164,1113,748,Kentucky,null,null,null,null,null,null,21
0400000US22,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,22
0400000US17,1396,617,346,424,1050,439,Illinois,null,null,null,null,null,null,17
0400000US19,1071,645,197,159,874,632,Iowa,null,null,null,null,null,null,19
0400000US33,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,33
0400000US05,1931,258,185,239,1746,315,Arkansas,null,null,null,null,null,null,05
0400000US10,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,10
0400000US27,545,293,183,196,362,229,Minnesota,null,null,null,null,null,null,27
0400000US30,null,null,null,null,null,null,Montana,null,null,null,null,null,null,30
0400000US23,null,null,null,null,null,null,Maine,null,null,null,null,null,null,23
0400000US37,2869,849,442,296,2427,816,North Carolina,null,null,null,null,null,null,37
0400000US13,4263,1510,725,543,3538,1456,Georgia,null,null,null,null,null,null,13
0400000US02,2389,693,1052,613,1337,643,Alaska,null,null,null,null,null,null,02
0400000US01,761,595,445,564,316,220,Alabama,null,null,null,null,null,null,01
0400000US50,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,50
0400000US32,6088,943,791,374,5297,945,Nevada,null,null,null,null,null,null,32
0400000US54,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,54
0400000US40,952,393,138,106,814,378,Oklahoma,null,null,null,null,null,null,40
0400000US55,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,null,55
0400000US72,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,72
0400000US51,1646,589,189,186,1457,555,Virginia,null,null,null,null,null,null,51
0400000US38,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,38
0400000US45,null,null,null,null,null,null,South Carolina,null,null,null,null,null,null,45
0400000US41,4520,972,986,324,3534,1004,Oregon,null,null,null,null,null,null,41
0400000US56,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,56
0400000US06,38910,2767,4546,1152,34364,2664,California,null,null,null,null,null,null,06
0400000US28,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,28
0400000US09,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,09
0400000US48,6819,1295,827,431,5992,1276,Texas,null,null,null,null,null,null,48
0400000US24,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,24
0400000US12,3413,1166,584,547,2829,987,Florida,null,null,null,null,null,null,12
0400000US25,930,548,242,259,688,488,Massachusetts,null,null,null,null,null,null,25
0400000US11,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,11
0400000US49,7276,1167,997,585,6279,1255,Utah,null,null,null,null,null,null,49
0400000US36,3021,1113,749,607,2272,899,New York,null,null,null,null,null,null,36
0400000US34,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,34
0400000US39,1362,549,174,130,1188,534,Ohio,null,null,null,null,null,null,39
0400000US29,2043,750,240,384,1803,646,Missouri,null,null,null,null,null,null,29
0400000US42,1628,744,494,514,1134,488,Pennsylvania,null,null,null,null,null,null,42
0400000US26,1651,686,94,137,1557,664,Michigan,null,null,null,null,null,null,26
0400000US31,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,31
0400000US16,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,16
0400000US35,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,35
0400000US15,37172,2395,9237,1184,27935,2357,Hawaii,null,null,null,null,null,null,15
0400000US46,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,46
0400000US53,16496,1600,3233,1063,13263,1531,Washington,null,null,null,null,null,null,53
0400000US44,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,44
0400000US04,4039,999,166,173,3873,1021,Arizona,null,null,null,null,null,null,04
0400000US47,1371,760,291,280,1080,706,Tennessee,null,null,null,null,null,null,47
0400000US20,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,20
