GEO_ID,B14007D_001E,B14007D_001M,B14007D_002E,B14007D_002M,B14007D_003E,B14007D_003M,B14007D_004E,B14007D_004M,B14007D_005E,B14007D_005M,B14007D_006E,B14007D_006M,B14007D_007E,B14007D_007M,B14007D_008E,B14007D_008M,B14007D_009E,B14007D_009M,B14007D_010E,B14007D_010M,B14007D_011E,B14007D_011M,B14007D_012E,B14007D_012M,B14007D_013E,B14007D_013M,B14007D_014E,B14007D_014M,B14007D_015E,B14007D_015M,B14007D_016E,B14007D_016M,B14007D_017E,B14007D_017M,B14007D_018E,B14007D_018M,B14007D_019E,B14007D_019M,NAME,B14007D_001EA,B14007D_001MA,B14007D_002EA,B14007D_002MA,B14007D_003EA,B14007D_003MA,B14007D_004EA,B14007D_004MA,B14007D_005EA,B14007D_005MA,B14007D_006EA,B14007D_006MA,B14007D_007EA,B14007D_007MA,B14007D_008EA,B14007D_008MA,B14007D_009EA,B14007D_009MA,B14007D_010EA,B14007D_010MA,B14007D_011EA,B14007D_011MA,B14007D_012EA,B14007D_012MA,B14007D_013EA,B14007D_013MA,B14007D_014EA,B14007D_014MA,B14007D_015EA,B14007D_015MA,B14007D_016EA,B14007D_016MA,B14007D_017MA,B14007D_017EA,B14007D_018EA,B14007D_018MA,B14007D_019EA,B14007D_019MA,state
0400000US08,174620,5077,48517,3232,2712,742,1297,575,1690,593,1797,553,1373,567,1874,667,2514,893,2900,870,2173,826,2715,812,2287,614,1996,657,2674,804,2300,805,12866,1635,5349,1454,126103,3727,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,149035,5413,54643,3597,1953,735,1836,648,2220,972,1422,658,2447,775,1387,709,1562,642,1538,695,863,501,2740,839,2264,909,1539,590,2140,999,2783,1070,16883,1704,11066,2268,94392,4037,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,63029,3291,17394,1927,856,490,498,281,364,209,919,404,739,374,816,426,1240,515,574,314,1369,495,1402,499,910,549,831,445,634,416,802,526,3758,786,1682,590,45635,2697,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,74129,2928,24074,2330,1315,648,1113,500,605,351,608,500,622,378,643,397,1241,612,808,378,770,441,1068,523,1168,602,695,310,1205,459,701,352,7318,1237,4194,1217,50055,2157,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,700089,6357,203687,5850,11927,1846,8105,1342,7195,1361,8730,1706,9157,1365,8447,1397,8749,1403,7106,1198,7600,1231,8610,1553,7412,1340,7489,1107,8220,1396,8304,1349,53154,3496,33482,3779,496402,5147,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,77468,3031,28225,2193,1234,532,843,471,607,473,1125,675,1228,611,407,357,730,386,1327,475,1423,703,738,356,1116,482,980,534,1239,681,1219,562,9665,1577,4344,1484,49243,2365,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,35114,2328,11468,1611,607,296,356,229,457,293,563,392,500,429,681,505,575,359,850,525,334,300,219,225,626,336,220,223,547,338,327,266,2641,884,1965,827,23646,1538,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,46709,2665,13724,2112,1308,592,375,345,427,374,650,462,715,486,330,253,1163,720,420,339,303,276,493,436,253,252,729,472,692,537,174,199,4101,1391,1591,844,32985,1907,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,38133,1551,10311,1081,776,349,528,292,376,286,516,314,380,404,480,287,568,340,377,287,642,415,398,261,841,513,463,327,527,416,665,412,1494,551,1280,657,27822,1148,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,261346,4570,88779,3396,4738,1011,4231,969,3145,776,3885,864,3630,893,5075,1027,4130,879,5274,1240,4204,923,3438,839,3513,687,4166,913,4301,779,3956,867,22598,1872,8495,1650,172567,4007,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
