GEO_ID,B11002F_001E,B11002F_001M,B11002F_002E,B11002F_002M,B11002F_003E,B11002F_003M,B11002F_004E,B11002F_004M,B11002F_005E,B11002F_005M,B11002F_006E,B11002F_006M,B11002F_007E,B11002F_007M,B11002F_008E,B11002F_008M,B11002F_009E,B11002F_009M,B11002F_010E,B11002F_010M,B11002F_011E,B11002F_011M,B11002F_012E,B11002F_012M,NAME,B11002F_001EA,B11002F_001MA,B11002F_002EA,B11002F_002MA,B11002F_003EA,B11002F_003MA,B11002F_004MA,B11002F_004EA,B11002F_005MA,B11002F_005EA,B11002F_006MA,B11002F_006EA,B11002F_007EA,B11002F_007MA,B11002F_008EA,B11002F_008MA,B11002F_009EA,B11002F_009MA,B11002F_010EA,B11002F_010MA,B11002F_011EA,B11002F_011MA,B11002F_012EA,B11002F_012MA,state
0400000US08,179890,13436,151700,12471,90741,10984,89479,10934,1262,770,23636,5328,19511,4064,4125,2205,37323,7763,34909,7238,2414,1343,28190,5007,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,154719,11659,141446,11217,81169,10619,80289,10440,880,736,25504,7879,21829,6757,3675,1513,34773,7075,32864,6645,1909,834,13273,2288,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,47311,6728,42418,6651,18798,4959,17994,4718,804,968,10213,3680,7916,2786,2297,993,13407,4218,12249,4040,1158,550,4893,1454,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,53431,8051,43236,7636,27891,6554,27579,6535,312,331,6934,2976,5980,2730,954,568,8411,3098,8199,2954,212,302,10195,2927,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,689202,26623,635286,26319,402416,25260,397705,24506,4711,2191,85730,14247,75621,12699,10109,2330,147140,14075,136139,13076,11001,2297,53916,5437,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,27646,5466,24144,5468,13841,4193,13841,4193,0,163,3964,2308,3300,1951,664,453,6339,2600,6022,2471,317,283,3502,965,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,78005,6392,69612,5675,44312,5574,44307,5574,5,9,6638,3446,5341,2808,1297,783,18662,4676,17706,4389,956,712,8393,2723,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,18120,4173,16794,4152,8948,3484,8948,3484,0,200,3238,2042,2765,1814,473,358,4608,2569,3902,2171,706,468,1326,788,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,99308,8862,89671,8999,58690,8153,57660,8120,1030,938,12872,3389,11496,3092,1376,511,18109,4058,16913,3731,1196,704,9637,2748,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,307318,16226,279271,16050,174695,15324,173850,15316,845,536,33092,6195,26815,5007,6277,1751,71484,8530,66833,8131,4651,1641,28047,4482,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,283568,18068,256740,17584,180598,16855,179390,16624,1208,1210,28172,7557,25332,6929,2840,1276,47970,8660,44295,7836,3675,1794,26828,5671,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,9192,2859,7852,2947,6588,2728,6588,2728,0,157,732,607,609,484,123,170,532,438,492,420,40,64,1340,611,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,76296,7897,70717,7947,45853,7612,45144,7388,709,565,9241,3660,6771,2794,2470,1550,15623,4520,14581,4326,1042,832,5579,2017,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,347370,16781,311124,17235,168063,16472,166687,16124,1376,905,52086,8711,46555,7825,5531,1442,90975,10844,86057,10455,4918,1411,36246,4637,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,107014,8855,97594,8789,65382,7163,65244,7158,138,134,10128,3092,8393,2346,1735,1318,22084,4892,20786,4590,1298,743,9420,2006,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,114764,9156,101666,8846,57389,7737,56940,7712,449,365,17023,3561,14800,3155,2223,646,27254,4993,24607,4557,2647,917,13098,2327,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,557674,18209,468212,16903,240246,14518,238183,14607,2063,1092,65641,8092,56753,7102,8888,1815,162325,12843,156753,12390,5572,1268,89462,6263,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,197739,13390,178358,13322,113908,12769,108522,12113,5386,2304,26848,4924,20736,3915,6112,2308,37602,7729,34096,7158,3506,1235,19381,4205,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,8605,2869,6787,2668,4572,2093,4439,2058,133,123,1305,1549,1188,1389,117,222,910,769,851,725,59,101,1818,770,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,87004,10179,79886,10100,47500,8025,46657,7938,843,701,11838,4203,9321,3169,2517,1439,20548,6257,18420,5633,2128,1117,7118,2019,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,132906,12471,119243,12888,75405,10377,74314,10226,1091,759,19973,7034,17059,5944,2914,1427,23865,6751,22522,6585,1343,707,13663,2886,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,5329632,73414,4930741,71414,3162039,63472,3112672,63107,49367,6016,620402,30129,541387,27122,79015,6623,1148300,38138,1058154,36111,90146,6437,398891,15572,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,23819,4631,21796,4540,16739,4533,16739,4533,0,218,1998,1429,1961,1414,37,63,3059,1339,2735,1184,324,282,2023,1176,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,185459,13098,161017,13256,71698,9819,70115,9828,1583,922,28290,6726,21728,5133,6562,2254,61029,9034,56681,8505,4348,1265,24442,3773,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,1658517,41048,1485648,39904,975178,34326,967143,33641,8035,2781,167321,17314,148762,15405,18559,2983,343149,27683,323164,26452,19985,2737,172869,10704,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
