GEO_ID,B15002F_001E,B15002F_001M,B15002F_002E,B15002F_002M,B15002F_003E,B15002F_003M,B15002F_004E,B15002F_004M,B15002F_005E,B15002F_005M,B15002F_006E,B15002F_006M,B15002F_007E,B15002F_007M,B15002F_008E,B15002F_008M,B15002F_009E,B15002F_009M,B15002F_010E,B15002F_010M,B15002F_011E,B15002F_011M,B15002F_012E,B15002F_012M,B15002F_013E,B15002F_013M,B15002F_014E,B15002F_014M,B15002F_015E,B15002F_015M,B15002F_016E,B15002F_016M,B15002F_017E,B15002F_017M,B15002F_018E,B15002F_018M,B15002F_019E,B15002F_019M,NAME,B15002F_001EA,B15002F_001MA,B15002F_002EA,B15002F_002MA,B15002F_003EA,B15002F_003MA,B15002F_004EA,B15002F_004MA,B15002F_005EA,B15002F_005MA,B15002F_006EA,B15002F_006MA,B15002F_007EA,B15002F_007MA,B15002F_008EA,B15002F_008MA,B15002F_009MA,B15002F_009EA,B15002F_010EA,B15002F_010MA,B15002F_011EA,B15002F_011MA,B15002F_012EA,B15002F_012MA,B15002F_013EA,B15002F_013MA,B15002F_014EA,B15002F_014MA,B15002F_015EA,B15002F_015MA,B15002F_016EA,B15002F_016MA,B15002F_017EA,B15002F_017MA,B15002F_018EA,B15002F_018MA,B15002F_019EA,B15002F_019MA,state
0400000US08,120625,8095,63659,4590,10301,1753,8662,1706,16536,2212,3502,860,13508,2506,3233,1194,5600,1557,2317,856,56966,4632,8876,1521,9991,1575,11389,2152,2173,796,12976,2395,3595,1129,4597,908,3369,911,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,87021,6014,45144,3803,8480,1810,9082,2158,13325,2406,1942,814,7322,1814,1925,876,1750,636,1318,831,41877,2970,8308,1820,5555,1486,12076,1619,2482,945,7023,1502,1251,576,3540,1015,1642,676,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,24484,3164,15314,2087,4363,1503,3455,1006,2798,1043,1032,548,1618,636,428,328,888,651,732,468,9170,1584,2505,1054,1335,665,1715,641,712,352,1385,630,346,388,1038,462,134,156,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,37317,4517,20164,2705,5953,1699,2235,884,4911,1330,1346,695,3154,1153,1328,689,1015,521,222,177,17153,2621,3290,1251,2822,1078,4096,1246,837,792,2636,956,791,346,2111,805,570,644,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,420839,14443,218989,8570,50964,4631,31469,3393,64974,4673,10112,1543,33954,3331,9694,2002,12888,2025,4934,1462,201850,8204,46524,3910,23355,2942,54293,4382,7547,1473,31418,2857,13117,2124,17193,2782,8403,1642,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,16976,2960,9161,1695,2413,818,1438,541,1906,870,450,346,1481,738,281,196,1039,404,153,204,7815,1649,1699,572,1120,570,2185,737,276,192,823,392,443,331,974,707,295,226,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,5458,1653,3368,1169,319,283,250,259,1505,831,126,188,558,515,156,161,287,228,167,221,2090,803,467,389,286,187,175,157,128,150,357,381,245,346,308,253,124,153,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,42456,3478,22136,2049,5247,1319,4042,1305,6073,1277,1054,527,2480,875,1064,537,1213,666,963,694,20320,2114,6099,1423,3062,1023,4184,1269,455,405,4171,1297,1037,621,959,533,353,263,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,10955,2347,5719,1359,1859,912,831,454,1071,526,331,277,905,738,197,229,197,156,328,242,5236,1266,1176,489,665,342,1605,661,225,217,872,528,93,107,248,280,352,323,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,55886,3925,30952,2699,6747,1433,5637,1450,7455,1527,1479,852,4874,1242,1195,656,2359,776,1206,553,24934,2314,6057,1341,3688,1095,5341,1018,700,422,3774,1125,1769,634,2006,667,1599,532,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
