GEO_ID,C23002F_001E,C23002F_001M,C23002F_002E,C23002F_002M,C23002F_003E,C23002F_003M,C23002F_004E,C23002F_004M,C23002F_005E,C23002F_005M,C23002F_006E,C23002F_006M,C23002F_007E,C23002F_007M,C23002F_008E,C23002F_008M,C23002F_009E,C23002F_009M,C23002F_010E,C23002F_010M,C23002F_011E,C23002F_011M,C23002F_012E,C23002F_012M,C23002F_013E,C23002F_013M,C23002F_014E,C23002F_014M,C23002F_015E,C23002F_015M,C23002F_016E,C23002F_016M,C23002F_017E,C23002F_017M,C23002F_018E,C23002F_018M,C23002F_019E,C23002F_019M,C23002F_020E,C23002F_020M,C23002F_021E,C23002F_021M,C23002F_022E,C23002F_022M,C23002F_023E,C23002F_023M,C23002F_024E,C23002F_024M,C23002F_025E,C23002F_025M,C23002F_026E,C23002F_026M,C23002F_027E,C23002F_027M,NAME,C23002F_001EA,C23002F_001MA,C23002F_002EA,C23002F_002MA,C23002F_003MA,C23002F_003EA,C23002F_004MA,C23002F_004EA,C23002F_005EA,C23002F_005MA,C23002F_006EA,C23002F_006MA,C23002F_007MA,C23002F_007EA,C23002F_008MA,C23002F_008EA,C23002F_009MA,C23002F_009EA,C23002F_010EA,C23002F_010MA,C23002F_011EA,C23002F_011MA,C23002F_012MA,C23002F_012EA,C23002F_013EA,C23002F_013MA,C23002F_014MA,C23002F_014EA,C23002F_015EA,C23002F_015MA,C23002F_016EA,C23002F_016MA,C23002F_017MA,C23002F_017EA,C23002F_018MA,C23002F_018EA,C23002F_019MA,C23002F_019EA,C23002F_020EA,C23002F_020MA,C23002F_021EA,C23002F_021MA,C23002F_022MA,C23002F_022EA,C23002F_023MA,C23002F_023EA,C23002F_024EA,C23002F_024MA,C23002F_025EA,C23002F_025MA,C23002F_026EA,C23002F_026MA,C23002F_027MA,C23002F_027EA,state
0400000US08,154644,10315,80777,6174,74409,5935,62441,5547,877,565,61564,5547,58159,5404,3405,1236,11968,1847,6368,1120,701,328,701,328,0,204,5667,1130,73867,5793,66343,5549,45259,4485,68,123,45191,4484,42864,4370,2327,751,21084,2825,7524,1321,1035,454,1035,454,0,204,6489,1210,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,114590,7766,59464,4657,55709,4399,47535,4402,0,198,47535,4402,45544,4293,1991,863,8174,1433,3755,949,915,552,915,552,0,198,2840,745,55126,3935,52250,3845,32655,2895,0,198,32655,2895,31014,2848,1641,906,19595,2715,2876,833,324,383,324,383,0,198,2552,801,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,31711,3680,19991,2398,19245,2431,16299,2372,109,136,16190,2362,15797,2387,393,266,2946,1004,746,524,202,254,202,254,0,197,544,528,11720,1940,11033,1892,6818,1496,76,131,6742,1500,6312,1468,430,300,4215,1006,687,535,0,197,0,197,0,197,687,535,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,44299,5080,24855,3213,23923,3191,19365,2723,842,596,18523,2660,17678,2668,845,468,4558,1294,932,457,241,244,143,178,98,161,691,407,19444,2804,17421,2686,10100,1986,0,217,10100,1986,8622,1891,1478,880,7321,1681,2023,786,270,263,270,263,0,217,1753,764,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,524506,17755,268824,10236,250728,9790,213961,8258,249,314,213712,8284,204302,8064,9410,1968,36767,3690,18096,2003,3909,1035,3581,954,328,279,14187,1919,255682,9766,234272,9198,158855,7634,0,190,158855,7634,149037,7567,9818,2167,75417,5602,21410,2097,2870,848,2801,833,69,114,18540,2051,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,23712,3794,12923,2155,12406,2085,11153,1951,0,163,11153,1951,10417,1927,736,376,1253,684,517,304,170,122,140,115,30,49,347,281,10789,2092,10526,2068,7499,1679,0,163,7499,1679,6763,1530,736,423,3027,1109,263,184,103,133,72,122,31,49,160,127,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,59680,4753,31104,3239,30016,3217,23670,2513,309,328,23361,2514,22645,2411,716,423,6346,1947,1088,451,236,269,113,194,123,174,852,394,28576,2522,27897,2570,18576,2102,0,201,18576,2102,17689,2040,887,514,9321,1740,679,399,0,201,0,201,0,201,679,399,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,71479,5402,39202,3692,37911,3538,32705,3208,0,147,32705,3208,31039,3128,1666,669,5206,1283,1291,537,574,382,574,382,0,147,717,386,32277,2950,30737,2827,22548,2707,0,147,22548,2707,21006,2634,1542,762,8189,1423,1540,625,0,147,0,147,0,147,1540,625,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
