GEO_ID,C15010B_001E,C15010B_001M,C15010B_002E,C15010B_002M,C15010B_003E,C15010B_003M,C15010B_004E,C15010B_004M,C15010B_005E,C15010B_005M,C15010B_006E,C15010B_006M,NAME,C15010B_001MA,C15010B_001EA,C15010B_002MA,C15010B_002EA,C15010B_003MA,C15010B_003EA,C15010B_004EA,C15010B_004MA,C15010B_005EA,C15010B_005MA,C15010B_006EA,C15010B_006MA,state
0400000US08,44320,4525,14999,2661,2371,968,11974,1957,3121,1062,11855,2085,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,71492,5599,18203,2956,8592,1525,20945,3010,7249,1555,16503,2291,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,38614,3714,10114,1986,5315,1817,8085,1860,4765,963,10335,2016,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,144187,6437,35662,3634,17326,2405,32901,3273,23025,2959,35273,3929,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,252421,9124,70817,5004,26604,2865,63040,4108,28783,2750,63177,4162,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,10352,2145,3423,1161,1058,607,1968,922,1658,639,2245,855,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,2976,1076,981,497,0,192,1399,1017,109,134,487,322,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,42329,3819,10914,1892,3531,1126,11775,2356,6951,1510,9158,2001,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,30971,2915,6578,1381,3593,1132,8283,2041,5634,1223,6883,1698,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,44896,3960,18069,2557,4663,1633,9333,1957,3086,884,9745,1605,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,1799,616,468,290,328,355,655,486,85,129,263,251,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,319836,10778,98039,6334,28116,3940,76382,4869,43052,4588,74247,5525,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,513841,14270,142457,7808,59424,5187,145457,8817,53109,3997,113394,8037,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,4159,1100,1196,492,806,753,630,352,244,199,1283,507,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,146050,6633,34869,3024,18005,2791,34619,3899,26885,3295,31672,3450,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,30669,2941,8599,1596,2634,802,8672,1722,3121,907,7643,1598,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,6873,1217,1757,765,583,402,1690,727,1004,562,1839,689,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,34286,3009,8923,1458,3666,978,8590,1285,4703,1010,8404,1649,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,30974,3065,9681,1612,3375,1024,6789,1541,3800,856,7329,1414,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,62384,5260,14728,2245,8734,1589,16989,2392,13403,2007,8530,1389,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,262731,8809,92739,4905,22587,2881,62689,4376,24602,3019,60114,5071,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,2814,910,1037,583,388,313,854,706,0,161,535,402,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,134389,7921,37275,4309,12402,1996,33611,3525,22785,2528,28316,3379,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,13621,2125,5154,1360,1393,882,2729,1064,837,539,3508,976,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,414943,12237,142494,7526,36639,3916,90399,6251,31018,2992,114393,7244,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,114749,5339,24462,2582,15688,2452,27054,2809,25088,3088,22457,2756,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,56834,3967,18282,2445,5724,1288,12460,2123,4459,1208,15909,2547,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,558310,14171,177922,9780,61399,5364,142012,8349,57765,4732,119212,7349,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US24,373959,9333,127420,5868,43031,4192,85232,5546,35828,3633,82448,4387,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US12,441068,15320,112181,6828,66644,5688,102915,7270,59037,5946,100291,6647,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,100124,5343,37341,3408,11076,2286,21987,2946,4989,1260,24731,3210,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,62794,4180,23464,2741,3272,880,12888,2043,4490,1186,18680,2605,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US49,3545,1083,1516,711,361,286,684,409,201,224,783,506,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US36,506044,10883,157221,7284,65593,4516,102669,4612,49300,3529,131261,6589,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US34,206549,7615,68736,4965,18622,2463,48556,3584,18562,2529,52073,4203,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US39,163530,6984,46904,4161,17686,1989,40665,3922,18965,2071,39310,4072,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US29,83026,5606,21799,2801,8929,2181,20496,2625,10571,1806,21231,3386,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US42,176744,8452,54388,3999,17885,2843,38446,4011,19035,2523,46990,3923,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US26,154427,6823,41641,3740,16873,2361,39645,3293,20252,1832,36016,3502,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US31,11944,1854,5213,1103,848,349,2257,743,1499,593,2127,693,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US35,6391,1378,2142,844,797,399,853,386,989,461,1610,701,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US15,6025,1142,1728,594,679,406,1688,750,164,158,1766,698,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US53,49772,3885,20481,3316,4064,1258,11783,2341,2442,965,11002,1902,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US44,8719,1686,3166,1054,474,302,2163,863,542,415,2374,797,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US04,52200,3751,17462,2439,4724,1331,14629,1996,5943,1373,9442,1625,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US47,147220,7704,44077,4587,15048,2948,36390,3748,19922,2768,31783,3624,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US20,19349,2311,4636,1175,2202,786,5165,1244,2156,866,5190,1052,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
