GEO_ID,B08505F_001E,B08505F_001M,B08505F_002E,B08505F_002M,B08505F_003E,B08505F_003M,B08505F_004E,B08505F_004M,B08505F_005E,B08505F_005M,B08505F_006E,B08505F_006M,B08505F_007E,B08505F_007M,NAME,B08505F_001EA,B08505F_001MA,B08505F_002MA,B08505F_002EA,B08505F_003EA,B08505F_003MA,B08505F_004EA,B08505F_004MA,B08505F_005EA,B08505F_005MA,B08505F_006EA,B08505F_006MA,B08505F_007MA,B08505F_007EA,state
0400000US08,102562,7861,75431,6711,16880,3078,4573,1336,2055,838,1473,780,2150,967,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,71123,5797,55037,4955,13073,2183,826,590,761,510,866,533,560,441,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,21476,3233,15091,2709,5088,1622,153,175,769,469,0,198,375,271,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,27980,3945,19232,3294,6668,1737,617,465,252,233,924,617,287,306,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,356642,13191,249821,10083,50977,5671,33668,3839,9147,1726,7408,1830,5621,1250,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,18193,2770,13056,2199,3431,1131,254,253,928,718,135,125,389,302,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,39721,3674,30054,3344,7104,1722,258,224,882,478,405,404,1018,649,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,51437,4450,36773,4011,8043,1686,2632,940,2000,928,433,298,1556,748,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
