GEO_ID,B17010I_001E,B17010I_001M,B17010I_002E,B17010I_002M,B17010I_003E,B17010I_003M,B17010I_004E,B17010I_004M,B17010I_005E,B17010I_005M,B17010I_006E,B17010I_006M,B17010I_007E,B17010I_007M,B17010I_008E,B17010I_008M,B17010I_009E,B17010I_009M,B17010I_010E,B17010I_010M,B17010I_011E,B17010I_011M,B17010I_012E,B17010I_012M,B17010I_013E,B17010I_013M,B17010I_014E,B17010I_014M,B17010I_015E,B17010I_015M,B17010I_016E,B17010I_016M,B17010I_017E,B17010I_017M,B17010I_018E,B17010I_018M,B17010I_019E,B17010I_019M,B17010I_020E,B17010I_020M,B17010I_021E,B17010I_021M,B17010I_022E,B17010I_022M,B17010I_023E,B17010I_023M,B17010I_024E,B17010I_024M,B17010I_025E,B17010I_025M,B17010I_026E,B17010I_026M,B17010I_027E,B17010I_027M,B17010I_028E,B17010I_028M,B17010I_029E,B17010I_029M,B17010I_030E,B17010I_030M,B17010I_031E,B17010I_031M,B17010I_032E,B17010I_032M,B17010I_033E,B17010I_033M,B17010I_034E,B17010I_034M,B17010I_035E,B17010I_035M,B17010I_036E,B17010I_036M,B17010I_037E,B17010I_037M,B17010I_038E,B17010I_038M,B17010I_039E,B17010I_039M,B17010I_040E,B17010I_040M,B17010I_041E,B17010I_041M,NAME,B17010I_001EA,B17010I_001MA,B17010I_002EA,B17010I_002MA,B17010I_003EA,B17010I_003MA,B17010I_004MA,B17010I_004EA,B17010I_005MA,B17010I_005EA,B17010I_006MA,B17010I_006EA,B17010I_007MA,B17010I_007EA,B17010I_008EA,B17010I_008MA,B17010I_009EA,B17010I_009MA,B17010I_010MA,B17010I_010EA,B17010I_011MA,B17010I_011EA,B17010I_012MA,B17010I_012EA,B17010I_013MA,B17010I_013EA,B17010I_014EA,B17010I_014MA,B17010I_015MA,B17010I_015EA,B17010I_016MA,B17010I_016EA,B17010I_017MA,B17010I_017EA,B17010I_018EA,B17010I_018MA,B17010I_019EA,B17010I_019MA,B17010I_020MA,B17010I_020EA,B17010I_021MA,B17010I_021EA,B17010I_022MA,B17010I_022EA,B17010I_023MA,B17010I_023EA,B17010I_024MA,B17010I_024EA,B17010I_025MA,B17010I_025EA,B17010I_026MA,B17010I_026EA,B17010I_027MA,B17010I_027EA,B17010I_028MA,B17010I_028EA,B17010I_029MA,B17010I_029EA,B17010I_030EA,B17010I_030MA,B17010I_031EA,B17010I_031MA,B17010I_032EA,B17010I_032MA,B17010I_033MA,B17010I_033EA,B17010I_034MA,B17010I_034EA,B17010I_035MA,B17010I_035EA,B17010I_036EA,B17010I_036MA,B17010I_037MA,B17010I_037EA,B17010I_038MA,B17010I_038EA,B17010I_039MA,B17010I_039EA,B17010I_040EA,B17010I_040MA,B17010I_041EA,B17010I_041MA,state
0400000US08,251811,5124,32486,3114,11368,2262,8015,1904,568,467,2867,1072,4580,1442,3353,1155,21118,2416,4320,1067,3750,984,407,291,881,592,2462,760,570,341,16798,2266,14398,2279,1418,622,4252,1348,8728,1695,2400,851,219325,4866,150010,4841,92530,5002,15143,2302,20882,3184,56505,3917,57480,3577,69315,3741,26180,2181,15939,2097,3883,1459,2912,997,9144,1842,10241,1601,43135,3304,28672,3183,3203,1108,5336,1258,20133,2661,14463,2165,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,98205,3295,17370,2375,7150,1573,6271,1564,657,342,1987,853,3627,1251,879,498,10220,1864,2488,1200,2488,1200,750,712,1262,798,476,358,0,198,7732,1517,7417,1530,1474,816,2225,740,3718,1207,315,247,80835,3467,54620,3239,33723,2727,5379,1394,8296,1519,20048,2444,20897,2431,26215,2922,11888,2021,8309,1782,1900,928,1371,612,5038,1516,3579,903,14327,2073,10921,1862,901,478,2154,869,7866,1845,3406,882,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,32406,2040,6466,968,2050,658,1843,610,269,266,478,359,1096,489,207,226,4416,890,1495,750,1324,727,392,369,545,426,387,429,171,145,2921,666,2754,672,1031,457,750,360,973,533,167,213,25940,2214,17563,1982,10806,1583,2895,952,2246,804,5665,1223,6757,1252,8377,1421,4304,1276,2335,935,487,511,917,494,931,510,1969,756,4073,1009,2653,903,482,511,467,372,1704,639,1420,589,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,49654,2878,9760,2361,4398,1380,3615,1180,785,633,876,508,1954,813,783,619,5362,1679,668,405,421,358,0,217,110,157,311,315,247,245,4694,1531,4194,1465,1019,641,1465,828,1710,998,500,489,39894,2503,28177,2241,14234,2212,2466,975,3390,1203,8378,1881,13943,2015,11717,2020,5007,1453,2370,1017,246,305,877,822,1247,641,2637,1040,6710,1461,4297,1261,426,331,391,552,3480,1117,2413,671,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,461821,6729,58416,4659,23988,3085,19479,2811,3791,1084,7466,1860,8222,1737,4509,946,34428,3450,6934,1788,5613,1589,932,565,1247,589,3434,1176,1321,643,27494,2998,24924,2860,2722,972,9582,1796,12620,1956,2570,948,403405,6294,276718,6892,169657,5526,28284,2700,40148,3745,101225,4577,107061,4311,126687,5624,51422,4103,28186,3556,7018,1797,5107,1329,16061,2720,23236,2751,75265,4072,49109,3282,5796,1532,9662,1857,33651,2741,26156,2888,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,38855,2163,6586,1441,2034,803,1605,749,83,105,795,528,727,509,429,351,4552,1221,852,621,776,608,86,137,293,321,397,473,76,121,3700,997,3576,978,368,251,1034,490,2174,903,124,180,32269,2062,19403,1915,14202,1722,2722,683,3847,893,7633,1309,5201,870,12866,1664,5189,1071,3624,939,507,366,1566,643,1551,676,1565,702,7677,1460,6000,1273,253,253,933,518,4814,1065,1677,663,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,49670,2671,10101,1790,3323,1055,2746,965,486,417,1179,611,1081,563,577,388,6778,1432,1494,775,946,804,52,114,104,185,790,716,548,370,5284,1273,5284,1273,667,416,2038,813,2579,862,0,201,39569,2535,28263,2291,19443,2214,2069,847,4440,1336,12934,1862,8820,1517,11306,1798,4562,1219,3739,1145,1402,622,184,258,2153,995,823,461,6744,1346,4262,1086,143,152,654,396,3465,999,2482,857,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,20057,1531,2875,963,989,593,824,545,80,132,515,498,229,212,165,268,1886,691,666,380,492,306,111,180,200,210,181,207,174,279,1220,599,1159,587,0,200,652,516,507,400,61,70,17182,1584,12526,1452,6702,1250,1056,620,1329,622,4317,1205,5824,1279,4656,1065,2476,819,1718,746,509,449,165,165,1044,583,758,464,2180,720,1384,581,317,277,459,409,608,365,796,481,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,57919,2683,9521,1592,4088,1144,3550,1107,1003,577,1446,644,1101,606,538,493,5433,1319,1028,520,880,468,317,226,143,121,420,343,148,238,4405,1185,4161,1124,669,422,1508,529,1984,805,244,196,48398,2585,32583,2504,20478,1932,2392,868,6040,1190,12046,1481,12105,1734,15815,1601,5837,1031,3829,910,310,250,855,423,2664,803,2008,744,9978,1593,8188,1527,1492,720,807,400,5889,1244,1790,553,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
