GEO_ID,B17020D_001E,B17020D_001M,B17020D_002E,B17020D_002M,B17020D_003E,B17020D_003M,B17020D_004E,B17020D_004M,B17020D_005E,B17020D_005M,B17020D_006E,B17020D_006M,B17020D_007E,B17020D_007M,B17020D_008E,B17020D_008M,B17020D_009E,B17020D_009M,B17020D_010E,B17020D_010M,B17020D_011E,B17020D_011M,B17020D_012E,B17020D_012M,B17020D_013E,B17020D_013M,B17020D_014E,B17020D_014M,B17020D_015E,B17020D_015M,B17020D_016E,B17020D_016M,B17020D_017E,B17020D_017M,NAME,B17020D_001EA,B17020D_001MA,B17020D_002EA,B17020D_002MA,B17020D_003MA,B17020D_003EA,B17020D_004MA,B17020D_004EA,B17020D_005EA,B17020D_005MA,B17020D_006EA,B17020D_006MA,B17020D_007EA,B17020D_007MA,B17020D_008MA,B17020D_008EA,B17020D_009MA,B17020D_009EA,B17020D_010EA,B17020D_010MA,B17020D_011EA,B17020D_011MA,B17020D_012EA,B17020D_012MA,B17020D_013EA,B17020D_013MA,B17020D_014MA,B17020D_014EA,B17020D_015EA,B17020D_015MA,B17020D_016EA,B17020D_016MA,B17020D_017EA,B17020D_017MA,state
0400000US08,176483,5272,17234,3268,1048,558,1124,615,1128,666,11429,2385,1894,674,540,414,71,118,159249,5989,9856,1378,10490,1481,12480,1645,101272,3274,20657,1606,3195,741,1299,565,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,145133,5550,25918,5564,1894,951,2949,1504,1757,859,17657,3350,1299,600,223,316,139,214,119215,7605,8243,1480,9044,2020,8563,1974,78811,4769,11216,1528,2557,758,781,417,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,63749,3374,8117,2748,467,311,700,495,830,559,5727,1977,393,300,0,197,0,197,55632,3525,3758,754,4108,896,5326,1182,35785,2441,5163,995,1204,466,288,235,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,74863,3099,9484,2274,383,333,260,192,649,470,6965,1831,1102,534,103,127,22,41,65379,3641,4041,923,3925,856,5290,1034,42073,2777,7634,1452,2125,764,291,315,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,705078,6585,82741,6992,3213,978,5654,1346,3781,1079,54237,4589,9498,2268,5551,1787,807,462,622337,8224,38050,2396,46063,2654,41563,2767,386887,6586,82657,3210,21038,1848,6079,1426,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,77818,3062,11257,2622,125,132,420,373,598,481,9293,1848,757,588,64,141,0,163,66561,3752,4690,852,5158,1348,5974,1144,45045,2657,3617,921,1849,693,228,224,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,34550,2276,4031,1498,0,192,637,594,108,122,2981,967,75,111,230,310,0,192,30519,2294,1954,698,2702,632,2523,789,19819,1524,2659,645,789,302,73,87,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,46691,2559,7099,2480,507,360,659,478,1065,593,4316,1537,552,492,0,201,0,201,39592,3458,2245,616,2996,981,2338,1022,27088,2790,4275,1219,598,436,52,114,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,38894,1593,4484,2104,277,284,253,245,263,245,3547,1653,84,150,60,103,0,200,34410,2348,2438,400,2527,578,2565,653,21408,1736,4039,668,1302,567,131,126,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,266899,4449,34389,5061,3032,903,4751,1503,4062,1312,19275,2631,1996,673,811,486,462,294,232510,5770,20721,1744,20396,1840,18852,1779,151283,3824,16510,1560,3445,790,1303,488,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
