GEO_ID,B25032F_001E,B25032F_001M,B25032F_002E,B25032F_002M,B25032F_003E,B25032F_003M,B25032F_004E,B25032F_004M,B25032F_005E,B25032F_005M,B25032F_006E,B25032F_006M,B25032F_007E,B25032F_007M,B25032F_008E,B25032F_008M,B25032F_009E,B25032F_009M,B25032F_010E,B25032F_010M,B25032F_011E,B25032F_011M,NAME,B25032F_001MA,B25032F_001EA,B25032F_002MA,B25032F_002EA,B25032F_003MA,B25032F_003EA,B25032F_004EA,B25032F_004MA,B25032F_005EA,B25032F_005MA,B25032F_006MA,B25032F_006EA,B25032F_007MA,B25032F_007EA,B25032F_008MA,B25032F_008EA,B25032F_009EA,B25032F_009MA,B25032F_010EA,B25032F_010MA,B25032F_011MA,B25032F_011EA,state
0400000US08,58706,3915,28522,2505,4454,1226,1034,525,2808,911,3418,1333,5068,1427,4291,1229,3640,1339,5471,1607,0,204,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,46387,3770,30996,2412,2055,868,2493,886,2401,960,3647,1458,1884,680,231,251,456,331,2224,1075,0,198,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,11921,1792,4802,1140,374,342,623,441,906,435,1077,588,2338,842,174,283,0,197,1627,754,0,197,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,18260,2837,8850,1759,921,484,761,401,1331,563,470,335,849,509,569,480,662,392,3754,1311,93,163,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,190372,5818,85812,4664,8020,1908,30662,2890,24451,2572,20693,2572,7844,1972,4338,1249,4343,1213,4008,1326,201,233,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,8917,1678,4568,1148,615,394,325,250,218,216,351,219,1153,619,644,469,112,191,931,493,0,163,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,24078,2400,14217,1867,346,251,681,572,724,487,661,525,2564,1085,995,705,362,365,3528,1172,0,201,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,4968,1099,2527,802,471,266,229,210,0,200,237,300,413,382,445,473,26,44,620,356,0,200,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,27447,2184,10851,1310,1988,869,1258,547,1524,680,1037,509,2188,883,2517,1035,2212,846,3872,1010,0,147,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,85558,4893,38734,3055,2871,952,2032,741,3658,1344,6866,1541,7026,1524,2956,932,868,411,20361,2455,186,231,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,76499,4931,41140,3337,3251,1332,3181,1099,2737,1054,3517,1502,5386,1495,2325,1006,3744,1205,10921,2078,297,442,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,3480,886,1268,462,490,340,354,252,162,177,147,180,0,157,379,284,0,157,680,540,0,157,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,19859,2467,9358,1595,40,71,655,612,1032,748,709,475,1272,759,135,162,198,264,6460,1555,0,201,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,100525,4474,55400,3904,3464,1025,1934,655,11245,1913,7521,1549,6670,1362,3723,1185,5041,1173,5527,1263,0,211,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,30607,2341,21914,2100,1107,563,926,428,562,365,726,378,953,604,256,205,417,267,3727,1150,19,37,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,35285,2871,14301,1832,1435,561,9614,1454,2011,714,2885,894,1394,586,1041,425,1273,593,1331,467,0,151,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,206035,7016,143237,5635,23920,2907,3589,1010,5242,928,9206,1701,9326,1532,5103,1027,5906,1578,506,340,0,228,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,54606,3342,21241,2557,10747,1854,826,530,2896,991,4797,1404,6550,1554,1419,763,1955,865,3994,1086,181,260,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,24437,2963,11290,1781,708,503,539,364,1169,757,777,562,1032,824,332,395,228,167,8362,1728,0,214,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,38497,3372,16935,2412,1332,708,1341,649,2611,936,4088,1321,3626,1401,1539,724,2971,1069,3796,1063,258,335,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,1361355,16530,693762,11646,90172,4611,39965,3694,105185,6870,115631,6490,91133,5540,89355,5370,77521,5158,57985,4198,646,350,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,62177,4007,14789,2164,2775,955,11042,1950,14920,2395,7139,1875,2169,1002,3807,1103,5074,1275,462,506,0,207,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,487302,11921,272415,7855,11285,1814,9253,1769,21785,3079,37767,3569,41430,4024,26440,3695,23929,2444,41912,4231,1086,727,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US24,70547,4415,28252,2350,10420,1936,935,584,1285,591,9512,1793,13823,2323,2577,1028,2449,881,1160,520,134,129,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US12,199900,8833,93279,6285,13045,2260,5926,1452,11435,2299,13198,2112,18270,2302,16812,2366,12945,2016,14990,2366,0,229,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,95496,5163,20342,2749,7908,1820,12075,2156,22606,2463,11140,1829,7119,1681,5676,1477,8081,1684,475,417,74,132,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,8683,1658,991,699,550,463,459,419,451,442,764,686,1359,771,1827,922,2086,940,196,335,0,213,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US49,40139,3095,19930,2368,2478,1060,912,540,1490,880,3868,1163,3215,907,2473,1054,955,582,4818,1516,0,193,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US36,512525,12280,64147,4380,19979,2647,65667,4775,54685,4275,36315,4008,31764,3906,102971,6491,134440,7075,2062,949,495,343,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US34,175246,7514,39817,3803,16951,2241,43897,3610,26315,2895,13285,2417,11472,2101,11072,2304,10859,2214,1578,833,0,210,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US39,34036,2830,21416,2589,2191,1059,1337,596,1651,667,2560,945,1915,814,857,445,1230,637,879,476,0,195,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US29,17298,2319,9678,1772,915,640,873,625,540,317,1908,685,1032,841,693,496,297,319,1362,943,0,190,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US42,92550,5094,15803,2140,47242,3888,8376,1737,6768,1651,5320,1587,3205,1011,1606,721,3249,1229,940,526,41,52,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US26,33550,2808,22305,2447,1074,459,1557,558,1565,614,881,568,1640,749,620,432,1319,675,2589,693,0,172,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US31,13133,1445,6720,1278,721,393,604,557,895,468,736,466,1104,686,319,297,367,365,1667,654,0,161,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
