GEO_ID,B10051D_001E,B10051D_001M,B10051D_002E,B10051D_002M,B10051D_003E,B10051D_003M,B10051D_004E,B10051D_004M,B10051D_005E,B10051D_005M,B10051D_006E,B10051D_006M,B10051D_007E,B10051D_007M,NAME,B10051D_001EA,B10051D_001MA,B10051D_002MA,B10051D_002EA,B10051D_003MA,B10051D_003EA,B10051D_004MA,B10051D_004EA,B10051D_005MA,B10051D_005EA,B10051D_006MA,B10051D_006EA,B10051D_007MA,B10051D_007EA,state
0400000US08,5494,1542,1494,783,378,310,1116,701,4000,1237,980,545,3020,916,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,4341,1349,915,570,711,511,204,212,3426,1356,1241,852,2185,1022,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2011,897,207,213,57,75,150,201,1804,854,308,202,1496,859,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,22840,3207,2628,905,1152,671,1476,605,20212,2897,3384,1156,16828,2529,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,1996,928,726,535,670,524,56,102,1270,686,292,285,978,656,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,9651,1806,1539,684,976,487,563,402,8112,1758,2822,1046,5290,1208,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
