GEO_ID,C15010F_001E,C15010F_001M,C15010F_002E,C15010F_002M,C15010F_003E,C15010F_003M,C15010F_004E,C15010F_004M,C15010F_005E,C15010F_005M,C15010F_006E,C15010F_006M,NAME,C15010F_001MA,C15010F_001EA,C15010F_002EA,C15010F_002MA,C15010F_003EA,C15010F_003MA,C15010F_004EA,C15010F_004MA,C15010F_005MA,C15010F_005EA,C15010F_006EA,C15010F_006MA,state
0400000US08,15883,2478,6022,1502,1365,576,3010,1025,1254,624,4232,1507,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,8250,2013,2460,854,634,371,2518,1142,972,691,1666,776,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,2792,777,1543,648,125,154,299,270,53,102,772,472,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,3918,1213,1063,537,823,785,737,422,204,217,1091,507,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,43418,4588,12423,2187,4406,1033,10639,2009,3987,1003,11963,1880,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2461,900,1130,471,44,73,571,610,347,250,369,279,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,7170,1334,2541,678,403,265,2057,825,723,369,1446,567,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,20766,2816,7504,1725,1443,772,4942,1447,2166,1102,4711,1693,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,23656,3816,10714,2862,1162,683,4875,1217,2018,1022,4887,1464,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,4854,1413,1488,801,429,417,1007,819,958,680,972,718,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,19374,2710,5159,1129,2151,921,4992,1406,3285,1261,3787,1340,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,4795,1099,1461,661,715,495,1167,560,538,296,914,428,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,5340,1288,1759,758,700,420,968,459,469,328,1444,730,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,90554,6254,25445,2909,10363,1822,25582,3024,17021,2695,12143,2536,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,19146,2238,8976,1480,1172,520,4220,1024,1504,719,3274,849,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,6806,1719,1756,756,461,283,2531,1043,764,617,1294,610,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,7014,1307,2434,735,326,256,1401,680,367,238,2486,881,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,351442,11944,126052,6685,31388,3412,71869,4539,26597,2896,95536,5516,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,14711,2557,4492,1204,670,488,3478,1168,1408,654,4663,1319,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,115045,7023,38065,4239,10739,2181,30479,3383,10754,1992,25008,3072,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US24,23971,3880,7570,1803,2663,1007,5303,1617,2187,1144,6248,1657,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US12,87225,7640,24206,3840,12165,2289,25547,3996,9250,1790,16057,2870,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US25,27665,3815,9705,1753,2777,1046,6289,1718,1537,673,7357,2247,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US11,5641,1827,2850,1298,463,543,511,386,294,340,1523,684,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
