GEO_ID,B16005E_001E,B16005E_001M,B16005E_002E,B16005E_002M,B16005E_003E,B16005E_003M,B16005E_004E,B16005E_004M,B16005E_005E,B16005E_005M,B16005E_006E,B16005E_006M,B16005E_007E,B16005E_007M,B16005E_008E,B16005E_008M,B16005E_009E,B16005E_009M,B16005E_010E,B16005E_010M,B16005E_011E,B16005E_011M,NAME,B16005E_001MA,B16005E_001EA,B16005E_002MA,B16005E_002EA,B16005E_003EA,B16005E_003MA,B16005E_004EA,B16005E_004MA,B16005E_005EA,B16005E_005MA,B16005E_006MA,B16005E_006EA,B16005E_007MA,B16005E_007EA,B16005E_008EA,B16005E_008MA,B16005E_009MA,B16005E_009EA,B16005E_010EA,B16005E_010MA,B16005E_011MA,B16005E_011EA,state
0400000US08,7447,1494,6754,1447,4167,875,2587,1214,1956,1031,631,441,693,646,565,628,128,142,76,122,52,79,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,4734,2457,3124,1503,1840,959,1284,1049,803,848,481,436,1610,1214,642,643,968,1024,468,582,500,489,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,5015,1524,3723,802,2518,621,1205,591,1146,585,59,73,1292,1129,519,327,773,1086,302,360,471,739,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,3297,1311,2444,980,1500,684,944,642,944,642,0,163,853,547,168,227,685,450,213,83,472,429,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,8149,1098,4141,1427,1942,1233,2199,1140,2136,1151,63,84,4008,1021,429,384,3579,1122,1018,335,2561,1133,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,2004,823,1144,477,981,441,163,133,163,133,0,147,860,578,61,74,799,580,524,405,275,272,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,9391,3002,7373,2655,5171,2064,2202,1684,1593,1078,609,682,2018,1086,332,311,1686,1055,913,753,773,706,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,13283,5047,8051,3402,7349,3271,702,542,440,484,262,236,5232,3007,915,1136,4317,2792,1946,1532,2371,1955,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,7200,1249,4171,1521,2488,1418,1683,702,1554,685,129,157,3029,1029,478,572,2551,883,2344,905,207,220,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,18692,1363,15905,1610,11304,1853,4601,1676,4212,1711,389,475,2787,1102,984,793,1803,817,942,454,861,633,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,3709,1196,2632,833,2065,633,567,453,415,379,152,173,1077,561,42,33,1035,555,379,204,656,550,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
