GEO_ID,B05003G_001E,B05003G_001M,B05003G_002E,B05003G_002M,B05003G_003E,B05003G_003M,B05003G_004E,B05003G_004M,B05003G_005E,B05003G_005M,B05003G_006E,B05003G_006M,B05003G_007E,B05003G_007M,B05003G_008E,B05003G_008M,B05003G_009E,B05003G_009M,B05003G_010E,B05003G_010M,B05003G_011E,B05003G_011M,B05003G_012E,B05003G_012M,B05003G_013E,B05003G_013M,B05003G_014E,B05003G_014M,B05003G_015E,B05003G_015M,B05003G_016E,B05003G_016M,B05003G_017E,B05003G_017M,B05003G_018E,B05003G_018M,B05003G_019E,B05003G_019M,B05003G_020E,B05003G_020M,B05003G_021E,B05003G_021M,B05003G_022E,B05003G_022M,B05003G_023E,B05003G_023M,NAME,B05003G_001MA,B05003G_001EA,B05003G_002MA,B05003G_002EA,B05003G_003MA,B05003G_003EA,B05003G_004MA,B05003G_004EA,B05003G_005MA,B05003G_005EA,B05003G_006MA,B05003G_006EA,B05003G_007EA,B05003G_007MA,B05003G_008MA,B05003G_008EA,B05003G_009MA,B05003G_009EA,B05003G_010MA,B05003G_010EA,B05003G_011MA,B05003G_011EA,B05003G_012MA,B05003G_012EA,B05003G_013MA,B05003G_013EA,B05003G_014MA,B05003G_014EA,B05003G_015MA,B05003G_015EA,B05003G_016MA,B05003G_016EA,B05003G_017MA,B05003G_017EA,B05003G_018EA,B05003G_018MA,B05003G_019MA,B05003G_019EA,B05003G_020MA,B05003G_020EA,B05003G_021MA,B05003G_021EA,B05003G_022MA,B05003G_022EA,B05003G_023MA,B05003G_023EA,state
0400000US08,227470,10949,114978,7326,53249,4527,52819,4492,430,315,96,161,334,265,61729,4905,53191,3782,8538,3025,3627,1425,4911,1913,112492,6145,48321,3991,47152,3959,1169,619,190,173,979,579,64171,4221,56879,3771,7292,2052,4248,1504,3044,1100,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,180641,10300,90432,6022,47836,4193,47292,4176,544,513,194,209,350,473,42596,3673,38016,3324,4580,1257,2043,887,2537,898,90209,6569,44170,3977,43572,3844,598,682,510,665,88,106,46039,3699,42343,3476,3696,941,1610,745,2086,654,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,108018,7125,54289,5019,30562,3659,30495,3658,67,72,0,197,67,72,23727,3332,21790,3137,1937,694,724,469,1213,553,53729,4327,26803,2759,26427,2775,376,277,287,248,89,110,26926,3288,24456,3150,2470,969,1828,859,642,448,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,105045,7750,54002,4792,29357,3690,29109,3646,248,411,248,411,0,217,24645,2871,22519,2793,2126,753,1077,618,1049,475,51043,4499,24998,2902,24573,2915,425,437,186,308,239,308,26045,3132,23364,3192,2681,868,1805,652,876,496,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,340977,12577,173665,7514,88283,4879,87324,4831,959,588,215,203,744,546,85382,5146,69484,4530,15898,2561,9932,2034,5966,1502,167312,7429,76486,5553,75937,5563,549,395,105,89,444,384,90826,5050,75412,4402,15414,2310,8833,1800,6581,1493,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,69268,5586,34591,3479,19943,2713,19862,2712,81,112,13,27,68,110,14648,2212,13454,2094,1194,530,445,292,749,477,34677,3411,18755,2439,18720,2430,35,67,0,163,35,67,15922,1882,14896,1759,1026,444,524,348,502,363,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,29957,3259,14995,2229,5809,1408,5809,1408,0,192,0,192,0,192,9186,1721,8445,1648,741,511,536,489,205,180,14962,2432,7205,1703,7205,1703,0,192,0,192,0,192,7757,1594,6573,1402,1184,679,934,637,250,240,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,88201,5889,44706,4249,21737,3004,21531,2986,206,176,0,201,206,176,22969,2583,20980,2337,1989,972,562,376,1427,841,43495,3090,21180,2270,21105,2266,75,116,0,201,75,116,22315,2089,21168,2034,1147,630,302,245,845,599,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,25828,3640,12955,2276,5641,1582,5451,1509,190,307,0,200,190,307,7314,1522,5705,1216,1609,931,1114,642,495,504,12873,2115,6263,1636,6263,1636,0,200,0,200,0,200,6610,1399,5904,1200,706,582,370,411,336,247,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,174832,8688,88523,5638,46776,3240,46523,3223,253,165,139,147,114,96,41747,3818,38267,3513,3480,1135,1693,730,1787,901,86309,5180,44309,3591,43530,3420,779,626,473,557,306,294,42000,3427,37999,3138,4001,1046,2011,547,1990,872,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
