GEO_ID,B19101B_001E,B19101B_001M,B19101B_002E,B19101B_002M,B19101B_003E,B19101B_003M,B19101B_004E,B19101B_004M,B19101B_005E,B19101B_005M,B19101B_006E,B19101B_006M,B19101B_007E,B19101B_007M,B19101B_008E,B19101B_008M,B19101B_009E,B19101B_009M,B19101B_010E,B19101B_010M,B19101B_011E,B19101B_011M,B19101B_012E,B19101B_012M,B19101B_013E,B19101B_013M,B19101B_014E,B19101B_014M,B19101B_015E,B19101B_015M,B19101B_016E,B19101B_016M,B19101B_017E,B19101B_017M,NAME,B19101B_001MA,B19101B_001EA,B19101B_002MA,B19101B_002EA,B19101B_003MA,B19101B_003EA,B19101B_004EA,B19101B_004MA,B19101B_005EA,B19101B_005MA,B19101B_006MA,B19101B_006EA,B19101B_007MA,B19101B_007EA,B19101B_008MA,B19101B_008EA,B19101B_009MA,B19101B_009EA,B19101B_010MA,B19101B_010EA,B19101B_011EA,B19101B_011MA,B19101B_012MA,B19101B_012EA,B19101B_013EA,B19101B_013MA,B19101B_014MA,B19101B_014EA,B19101B_015MA,B19101B_015EA,B19101B_016EA,B19101B_016MA,B19101B_017EA,B19101B_017MA,state
0400000US08,51101,3278,3144,1106,1856,787,1863,1038,2259,832,2546,1000,2775,1129,2977,1136,2042,823,1774,871,4699,1363,5635,1569,7694,1371,5213,1163,1677,703,3194,1061,1753,752,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,134545,4724,14706,2303,7159,1505,8359,1692,8419,1249,9277,1905,8193,1773,7162,1431,8095,1707,6113,1482,9735,1797,15513,2123,14942,2018,7032,1638,5285,1397,2238,765,2317,801,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,79152,3795,9419,2159,5395,1436,4490,1467,4375,1037,5329,1339,5143,1394,4660,1269,3815,1031,3393,1106,8946,1698,6332,1304,8009,1419,3751,999,3167,1054,1448,671,1480,705,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,314953,6855,32471,2816,19133,2263,24798,3025,26771,3259,22057,2601,23442,2769,18748,2744,14384,2281,11127,1864,24298,3330,28076,2872,29852,2962,16384,2618,9514,1703,9075,1742,4823,1298,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,380960,7362,33190,3781,19902,2442,20755,2569,26083,3377,19242,2369,18406,2298,18132,2188,20824,2533,14987,2270,28020,2921,38951,3713,43043,3509,30439,3170,17809,2416,18985,2263,12192,1772,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,21277,1903,2827,910,1089,572,1742,822,1933,819,2720,1002,1486,639,1027,478,652,416,642,351,1693,678,1443,669,1998,803,1024,470,470,348,423,360,108,141,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,103944,4444,10362,2088,7710,1987,7552,1816,9392,1637,8414,2002,6644,1562,7082,1538,4630,1254,4458,1124,8817,1748,7576,1335,9513,1628,5728,1266,2902,1091,2021,757,1143,537,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,46296,2588,3352,1124,1524,641,1450,674,4035,1277,3379,1113,2476,868,1692,787,1781,762,1065,460,2359,777,6231,1440,5843,1296,4161,1316,2391,702,2537,885,2020,872,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,72691,3292,5481,1506,3326,1122,3798,1297,5427,1691,3582,1079,5584,1335,4838,1602,3247,960,3202,945,6679,1524,6583,1206,7591,1443,4811,1324,2656,912,4176,1338,1710,733,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,507431,9853,38447,3972,21295,2666,28773,3080,31107,3536,33305,3175,31930,2944,27710,3332,29526,3706,21732,2969,44591,4325,52640,4325,59424,4702,33177,3120,22144,3245,19496,2266,12134,1878,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,732677,11048,50336,3894,27486,3633,35993,3428,44262,4544,39815,3838,39194,3707,30112,3133,36666,3981,33743,3184,58666,5561,77104,5258,92191,5119,68370,6196,39595,4150,35909,4057,23235,2702,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,288707,6562,30393,2987,13952,2007,21327,2817,20985,2890,14358,1777,16261,1992,17078,2623,14243,2248,13769,2289,24665,2740,26537,2755,34702,3284,18484,2337,9779,1688,7616,1707,4558,1121,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,56639,2792,4474,1126,2319,890,3048,869,2664,1018,2290,681,4764,1313,2559,904,3730,1058,2475,886,5700,1419,4627,1344,6765,1522,4855,1144,2505,748,2306,851,1558,717,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,12542,1647,1311,743,756,412,1278,720,429,321,832,499,806,468,1135,604,387,291,201,165,845,516,1228,606,991,466,993,460,340,275,403,372,607,532,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,61945,2716,6607,1152,2952,727,3635,1056,3996,1011,3165,894,5146,1315,2982,845,3405,769,2956,871,4040,931,6428,1063,6942,1124,4396,1013,2655,804,1464,588,1176,422,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,78166,3664,8557,1643,4921,1235,5314,1140,6679,1296,6497,1403,5299,1324,4159,711,3315,779,3717,1077,6513,1368,8506,1811,6154,1455,4328,1153,1542,609,1511,565,1154,505,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,101361,4863,22045,2359,9642,1433,11436,1735,10277,1549,7806,1375,6496,1229,7212,1388,5001,1147,3765,861,4576,938,6000,1106,3931,1139,2296,740,404,362,237,195,237,232,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,363923,7830,18903,2955,11667,1898,14936,2468,16057,2596,17838,2561,17536,2302,15807,2219,15628,2540,18043,2302,29411,3449,40545,3475,47529,3669,34695,3207,21314,2628,22100,2469,21914,2531,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,308969,6766,26986,3367,14525,2221,19818,2580,24856,3034,21008,3077,22043,2656,16220,2284,14579,2359,17034,2295,26064,2882,33740,3382,35299,3478,17417,2072,7959,1734,6526,1411,4895,1466,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,13719,1736,944,516,147,127,639,525,895,654,189,197,706,448,904,755,676,487,788,477,883,543,1715,683,1932,775,750,425,839,528,610,403,1102,459,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,471644,8725,31432,3463,17517,2288,18387,2796,21246,2610,19262,2669,18793,2596,17444,2657,18337,2664,15895,2193,33403,3547,48269,3932,62893,3961,47924,3851,30008,2428,34738,2965,36096,3227,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,255040,6086,27995,3282,16208,2274,20244,2366,19309,2625,18195,2381,16241,2050,15258,2649,13311,2563,11005,1580,19592,2744,23091,2815,29488,2910,11040,1502,5876,1424,6153,1769,2034,752,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,86814,2926,4877,1416,3602,1145,2645,1075,2784,839,4669,1233,3929,947,4070,1118,5042,1412,3045,915,7588,1674,8245,1839,11866,1656,7631,1502,5994,1421,7112,1394,3715,1004,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
