GEO_ID,C17010D_001E,C17010D_001M,C17010D_002E,C17010D_002M,C17010D_003E,C17010D_003M,C17010D_004E,C17010D_004M,C17010D_005E,C17010D_005M,C17010D_006E,C17010D_006M,C17010D_007E,C17010D_007M,C17010D_008E,C17010D_008M,C17010D_009E,C17010D_009M,C17010D_010E,C17010D_010M,C17010D_011E,C17010D_011M,C17010D_012E,C17010D_012M,C17010D_013E,C17010D_013M,C17010D_014E,C17010D_014M,C17010D_015E,C17010D_015M,C17010D_016E,C17010D_016M,C17010D_017E,C17010D_017M,NAME,C17010D_001MA,C17010D_001EA,C17010D_002EA,C17010D_002MA,C17010D_003EA,C17010D_003MA,C17010D_004EA,C17010D_004MA,C17010D_005EA,C17010D_005MA,C17010D_006EA,C17010D_006MA,C17010D_007EA,C17010D_007MA,C17010D_008EA,C17010D_008MA,C17010D_009EA,C17010D_009MA,C17010D_010MA,C17010D_010EA,C17010D_011MA,C17010D_011EA,C17010D_012MA,C17010D_012EA,C17010D_013EA,C17010D_013MA,C17010D_014EA,C17010D_014MA,C17010D_015EA,C17010D_015MA,C17010D_016EA,C17010D_016MA,C17010D_017EA,C17010D_017MA,state
0400000US08,40107,1937,2579,828,1655,655,1117,613,924,530,134,158,42,74,790,482,756,482,37528,2015,32330,2000,18524,1645,5198,1004,1575,575,545,351,3623,876,2216,629,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,31976,2324,3782,1176,2813,1125,2283,1031,969,469,391,385,0,198,578,361,340,257,28194,2418,24050,2587,12614,2140,4144,1188,1292,723,430,350,2852,972,1997,887,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,15010,1363,1426,650,835,475,644,440,591,411,294,308,111,175,297,301,211,265,13584,1308,10757,1254,6787,1011,2827,884,747,427,470,394,2080,748,1142,533,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,16714,1404,1538,603,1098,527,661,392,440,332,49,77,14,26,391,324,317,307,15176,1460,12508,1359,7158,1128,2668,765,628,441,229,198,2040,629,813,376,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,173830,3243,14027,2079,8783,1641,4163,917,5244,1178,1675,809,1194,739,3569,1095,1716,599,159803,3231,137194,3456,72362,3066,22609,1810,8479,1542,3358,843,14130,1564,5985,1359,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,15846,1491,879,485,665,421,458,382,214,220,34,62,0,163,180,211,180,211,14967,1485,12452,1412,8728,1424,2515,833,1062,630,457,329,1453,674,751,491,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,7719,1022,737,589,428,392,152,196,309,425,0,192,0,192,309,425,309,425,6982,879,6233,858,4207,746,749,404,282,261,122,157,467,329,408,319,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,9934,1141,1027,565,603,413,454,366,424,308,110,160,110,160,314,244,314,244,8907,1136,7265,1115,4636,948,1642,742,675,567,355,469,967,473,519,334,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,10027,807,606,382,385,368,284,359,221,196,0,200,0,200,221,196,157,155,9421,854,8164,916,4494,775,1257,657,975,607,171,222,282,194,55,92,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,54356,2480,4900,992,2840,769,2430,703,2060,730,769,376,694,395,1291,590,811,451,49456,2606,36562,2778,24294,2239,12894,1720,5872,1191,3050,738,7022,1261,4642,1015,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
