GEO_ID,B21001C_001E,B21001C_001M,B21001C_002E,B21001C_002M,B21001C_003E,B21001C_003M,B21001C_004E,B21001C_004M,B21001C_005E,B21001C_005M,B21001C_006E,B21001C_006M,B21001C_007E,B21001C_007M,B21001C_008E,B21001C_008M,B21001C_009E,B21001C_009M,B21001C_010E,B21001C_010M,B21001C_011E,B21001C_011M,B21001C_012E,B21001C_012M,B21001C_013E,B21001C_013M,B21001C_014E,B21001C_014M,B21001C_015E,B21001C_015M,B21001C_016E,B21001C_016M,B21001C_017E,B21001C_017M,B21001C_018E,B21001C_018M,B21001C_019E,B21001C_019M,B21001C_020E,B21001C_020M,B21001C_021E,B21001C_021M,B21001C_022E,B21001C_022M,B21001C_023E,B21001C_023M,B21001C_024E,B21001C_024M,B21001C_025E,B21001C_025M,B21001C_026E,B21001C_026M,B21001C_027E,B21001C_027M,B21001C_028E,B21001C_028M,B21001C_029E,B21001C_029M,B21001C_030E,B21001C_030M,B21001C_031E,B21001C_031M,B21001C_032E,B21001C_032M,B21001C_033E,B21001C_033M,NAME,B21001C_001MA,B21001C_001EA,B21001C_002MA,B21001C_002EA,B21001C_003MA,B21001C_003EA,B21001C_004MA,B21001C_004EA,B21001C_005MA,B21001C_005EA,B21001C_006EA,B21001C_006MA,B21001C_007EA,B21001C_007MA,B21001C_008EA,B21001C_008MA,B21001C_009EA,B21001C_009MA,B21001C_010MA,B21001C_010EA,B21001C_011EA,B21001C_011MA,B21001C_012EA,B21001C_012MA,B21001C_013EA,B21001C_013MA,B21001C_014MA,B21001C_014EA,B21001C_015MA,B21001C_015EA,B21001C_016EA,B21001C_016MA,B21001C_017EA,B21001C_017MA,B21001C_018EA,B21001C_018MA,B21001C_019MA,B21001C_019EA,B21001C_020EA,B21001C_020MA,B21001C_021EA,B21001C_021MA,B21001C_022EA,B21001C_022MA,B21001C_023EA,B21001C_023MA,B21001C_024MA,B21001C_024EA,B21001C_025MA,B21001C_025EA,B21001C_026EA,B21001C_026MA,B21001C_027EA,B21001C_027MA,B21001C_028EA,B21001C_028MA,B21001C_029EA,B21001C_029MA,B21001C_030EA,B21001C_030MA,B21001C_031EA,B21001C_031MA,B21001C_032MA,B21001C_032EA,B21001C_033MA,B21001C_033EA,state
0400000US08,43055,3556,19856,2348,7626,1601,596,545,7030,1448,6293,1177,625,362,5668,1115,3679,1036,1096,509,2583,935,1765,738,552,493,1213,473,493,281,149,151,344,237,23199,2550,8582,1868,416,437,8166,1830,7060,1253,171,168,6889,1227,4007,919,12,34,3995,918,2218,524,61,129,2157,519,1332,560,0,204,1332,560,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,19419,2362,9957,1877,3472,1107,0,217,3472,1107,3882,1384,369,522,3513,1268,945,422,334,234,611,353,1062,486,389,320,673,416,596,357,280,275,316,245,9462,1628,3356,1001,0,217,3356,1001,2642,838,87,161,2555,820,1590,613,41,62,1549,608,1148,512,0,217,1148,512,726,493,0,217,726,493,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,28031,3281,14946,2187,5854,1458,13,24,5841,1460,5484,1260,128,147,5356,1250,2291,605,422,308,1869,596,945,446,231,224,714,379,372,217,184,173,188,167,13085,1894,3694,1050,0,190,3694,1050,5147,1087,74,120,5073,1074,2201,619,43,69,2158,613,714,311,0,190,714,311,1329,605,0,190,1329,605,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,8287,1089,3255,782,928,313,0,163,928,313,1063,472,130,196,933,458,861,489,279,224,582,437,353,241,106,112,247,202,50,87,50,87,0,163,5032,850,2184,607,0,163,2184,607,1043,388,0,163,1043,388,999,350,9,17,990,350,234,152,0,163,234,152,572,373,0,163,572,373,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,15739,2032,8281,1355,2858,1045,0,201,2858,1045,2336,661,552,346,1784,613,2051,774,558,391,1493,645,950,492,534,369,416,287,86,104,33,73,53,72,7458,1348,1959,749,0,201,1959,749,2968,899,56,83,2912,881,1465,564,0,201,1465,564,831,426,0,201,831,426,235,233,0,201,235,233,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,41268,2412,20077,1654,7971,1035,503,323,7468,995,6918,1225,546,299,6372,1223,3038,538,748,371,2290,441,1675,471,446,234,1229,454,475,202,270,178,205,108,21191,1382,7790,844,72,96,7718,841,7101,878,102,128,6999,869,3964,641,48,66,3916,637,1824,397,28,34,1796,396,512,228,13,22,499,231,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
