GEO_ID,C17010F_001E,C17010F_001M,C17010F_002E,C17010F_002M,C17010F_003E,C17010F_003M,C17010F_004E,C17010F_004M,C17010F_005E,C17010F_005M,C17010F_006E,C17010F_006M,C17010F_007E,C17010F_007M,C17010F_008E,C17010F_008M,C17010F_009E,C17010F_009M,C17010F_010E,C17010F_010M,C17010F_011E,C17010F_011M,C17010F_012E,C17010F_012M,C17010F_013E,C17010F_013M,C17010F_014E,C17010F_014M,C17010F_015E,C17010F_015M,C17010F_016E,C17010F_016M,C17010F_017E,C17010F_017M,NAME,C17010F_001EA,C17010F_001MA,C17010F_002EA,C17010F_002MA,C17010F_003EA,C17010F_003MA,C17010F_004EA,C17010F_004MA,C17010F_005EA,C17010F_005MA,C17010F_006EA,C17010F_006MA,C17010F_007EA,C17010F_007MA,C17010F_008EA,C17010F_008MA,C17010F_009MA,C17010F_009EA,C17010F_010MA,C17010F_010EA,C17010F_011EA,C17010F_011MA,C17010F_012EA,C17010F_012MA,C17010F_013EA,C17010F_013MA,C17010F_014EA,C17010F_014MA,C17010F_015EA,C17010F_015MA,C17010F_016EA,C17010F_016MA,C17010F_017EA,C17010F_017MA,state
0400000US08,39890,2986,4985,1215,1651,586,1126,495,3334,989,1044,630,727,559,2290,726,2086,714,34905,2823,22140,2464,12369,1978,12765,2243,5015,1188,2641,1000,7750,1768,5730,1478,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,34803,2994,6942,1555,2787,1048,2582,1031,4155,1292,1119,724,1119,724,3036,1155,2829,1113,27861,2875,16757,2397,10657,1811,11104,1979,5041,1475,3680,1333,6063,1260,4863,1122,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,9071,1557,2594,885,805,450,805,450,1789,759,345,364,345,364,1444,677,1444,677,6477,1404,3073,882,2203,799,3404,1149,2151,873,1122,568,1253,619,1253,619,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,11514,2050,2093,838,586,449,586,449,1507,682,263,242,263,242,1244,637,1244,637,9421,1799,6719,1544,3618,1251,2702,971,1368,676,768,505,1334,788,991,743,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,151865,5413,20696,2805,7600,1657,5852,1368,13096,2367,3279,1148,2727,1040,9817,2083,9038,2065,131169,5043,86322,4500,53254,4038,44847,4344,18425,3063,9575,2162,26422,2726,16829,1982,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,6482,1563,1417,767,790,605,743,596,627,425,0,163,0,163,627,425,627,425,5065,1349,2569,807,1441,582,2496,1032,1304,831,773,651,1192,587,538,310,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,18897,1898,3983,1184,1386,694,1119,618,2597,1077,764,707,625,678,1833,770,1833,770,14914,1800,10232,1711,7043,1388,4682,1404,1384,827,1206,810,3298,1056,2323,884,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,3896,1071,659,469,0,200,0,200,659,469,214,209,214,209,445,423,384,413,3237,1145,2467,937,1227,625,770,489,319,275,299,271,451,424,206,331,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,22103,2189,3322,1005,1496,769,1107,622,1826,663,440,299,292,202,1386,619,1216,560,18781,2107,12251,1868,9195,1591,6530,1343,2756,777,2042,704,3774,1165,3076,1102,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
