B19101F_012M,B19101F_013E,B19101F_013M,B19101F_014E,B19101F_014M,B19101F_015E,B19101F_015M,B19101F_016E,B19101F_016M,B19101F_017E,B19101F_017M,GEO_ID,B19101F_001E,B19101F_001M,B19101F_002E,B19101F_002M,B19101F_003E,B19101F_003M,B19101F_004E,B19101F_004M,B19101F_005E,B19101F_005M,B19101F_006E,B19101F_006M,B19101F_007E,B19101F_007M,B19101F_008E,B19101F_008M,B19101F_009E,B19101F_009M,B19101F_010E,B19101F_010M,B19101F_011E,B19101F_011M,B19101F_012E,B19101F_012MA,B19101F_013MA,B19101F_013EA,B19101F_014MA,B19101F_014EA,B19101F_015MA,B19101F_015EA,B19101F_016MA,B19101F_016EA,B19101F_017MA,B19101F_017EA,NAME,B19101F_001MA,B19101F_001EA,B19101F_002MA,B19101F_002EA,B19101F_003MA,B19101F_003EA,B19101F_004MA,B19101F_004EA,B19101F_005MA,B19101F_005EA,B19101F_006MA,B19101F_006EA,B19101F_007MA,B19101F_007EA,B19101F_008MA,B19101F_008EA,B19101F_009EA,B19101F_009MA,B19101F_010EA,B19101F_010MA,B19101F_011MA,B19101F_011EA,B19101F_012EA,state
1414,7095,1540,2539,748,1939,843,1968,779,687,362,0400000US08,39890,2986,1579,558,1988,871,521,275,2701,973,1601,808,2185,972,1880,706,1688,784,2110,855,3457,927,5952,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1788,4576,1268,1874,743,1393,714,1126,549,712,448,0400000US18,34803,2994,2737,1290,1067,607,888,462,2953,1086,2580,987,1690,770,2324,851,1271,541,1341,665,2302,883,5969,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
637,1027,503,164,172,167,241,81,133,114,139,0400000US21,9071,1557,910,495,646,502,596,386,534,373,138,158,1503,725,666,409,311,290,712,411,227,228,1275,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
745,921,509,564,536,357,335,351,307,139,206,0400000US22,11514,2050,1083,657,228,171,683,445,1015,531,1191,568,1341,826,838,471,587,303,530,406,446,393,1240,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
2278,21471,2572,10895,1965,7212,1545,6786,1461,2433,769,0400000US17,151865,5413,7070,1670,3006,1042,5427,1253,8149,1755,8262,1583,10560,1753,7835,1237,7602,1602,7587,1652,16437,1963,21133,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
344,1100,621,517,336,376,310,88,154,34,43,0400000US19,6482,1563,455,529,391,323,359,342,210,198,372,328,546,466,349,221,235,196,521,392,310,257,619,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
null,null,null,null,null,null,null,null,null,null,null,0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
978,1490,510,515,392,96,116,198,208,36,62,0400000US05,18897,1898,1108,570,797,470,1367,782,784,401,1308,751,1430,674,1987,934,1170,700,2157,976,2121,911,2333,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
null,null,null,null,null,null,null,null,null,null,null,0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
818,2999,1009,1009,501,413,258,993,468,269,188,0400000US27,22103,2189,873,402,997,604,389,478,886,472,2121,912,1529,622,1937,689,1488,676,1387,775,2126,797,2687,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
