GEO_ID,B20017E_001E,B20017E_001M,B20017E_002E,B20017E_002M,B20017E_003E,B20017E_003M,B20017E_004E,B20017E_004M,B20017E_005E,B20017E_005M,B20017E_006E,B20017E_006M,B20017E_007E,B20017E_007M,NAME,B20017E_001MA,B20017E_001EA,B20017E_002EA,B20017E_002MA,B20017E_003MA,B20017E_003EA,B20017E_004EA,B20017E_004MA,B20017E_005EA,B20017E_005MA,B20017E_006EA,B20017E_006MA,B20017E_007EA,B20017E_007MA,state
0400000US01,23575,14330,48500,17296,49639,16369,-666666666,-222222222,20740,6007,21673,3768,-666666666,-222222222,Alabama,null,null,null,null,null,null,-,**,null,null,null,null,-,**,01
0400000US02,24046,3926,26586,12450,32453,18553,9396,13268,23549,5489,24228,1779,4699,35213,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,22064,8317,24840,6367,41644,13662,5574,2193,16923,19735,41735,10193,6920,12548,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29061,3198,32177,4837,42146,4123,11082,1802,26313,2930,37466,2560,12163,2619,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,25157,7676,45771,2605,46077,5136,45199,40388,21051,2678,26226,8284,6133,4331,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,16916,667,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,Connecticut,null,null,-,**,**,-,-,**,-,**,-,**,-,**,09
0400000US10,32077,6111,35187,6719,35187,6719,-666666666,-222222222,4245,32329,-666666666,-222222222,2734,2983,Delaware,null,null,null,null,null,null,-,**,null,null,-,**,null,null,10
0400000US11,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,District of Columbia,**,-,-,**,**,-,-,**,-,**,-,**,-,**,11
0400000US12,25302,14564,25450,14394,49067,22869,11298,7728,24673,27506,31553,5164,5655,2046,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,20663,12045,33511,23737,47168,46979,2499,-333333333,16077,9239,16167,9131,-666666666,-222222222,Georgia,null,null,null,null,null,null,"2,500-",***,null,null,null,null,-,**,13
0400000US15,25999,2106,29170,3006,40165,3231,9058,2195,22091,2550,38067,3536,7790,1338,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,20952,8533,29161,7614,33139,13585,-666666666,-222222222,11523,4426,16375,1431,10807,5385,Idaho,null,null,null,null,null,null,-,**,null,null,null,null,null,null,16
