GEO_ID,B25032G_001E,B25032G_001M,B25032G_002E,B25032G_002M,B25032G_003E,B25032G_003M,B25032G_004E,B25032G_004M,B25032G_005E,B25032G_005M,B25032G_006E,B25032G_006M,B25032G_007E,B25032G_007M,B25032G_008E,B25032G_008M,B25032G_009E,B25032G_009M,B25032G_010E,B25032G_010M,B25032G_011E,B25032G_011M,NAME,B25032G_001MA,B25032G_001EA,B25032G_002EA,B25032G_002MA,B25032G_003EA,B25032G_003MA,B25032G_004EA,B25032G_004MA,B25032G_005EA,B25032G_005MA,B25032G_006MA,B25032G_006EA,B25032G_007EA,B25032G_007MA,B25032G_008MA,B25032G_008EA,B25032G_009EA,B25032G_009MA,B25032G_010EA,B25032G_010MA,B25032G_011MA,B25032G_011EA,state
0400000US01,19336,2118,12929,1803,940,468,412,255,531,253,910,578,287,234,552,360,300,181,2475,782,0,192,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,12241,1915,5442,1016,1146,626,712,416,1760,921,1467,866,802,540,480,319,86,113,346,244,0,147,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,45794,3828,29296,3127,2054,571,578,394,1697,688,1847,665,2895,971,1142,520,3007,711,3141,790,137,143,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,16229,1655,9926,1487,381,295,1006,556,342,258,586,436,1097,609,73,89,507,340,2228,674,83,151,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,378503,9584,194231,6527,27046,2532,9296,1750,27870,2776,28594,2820,24539,2521,24650,2806,31460,2781,9998,1597,819,403,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,49603,3260,26319,2351,2757,877,850,462,1611,608,4537,1202,4085,1062,4296,1097,2510,863,2545,766,93,115,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,20117,1952,8185,1375,1805,705,1699,546,1682,534,1424,610,1546,823,1338,557,2052,728,386,234,0,201,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,5496,1336,1487,573,1518,699,0,189,222,341,483,389,1008,692,37,48,190,155,521,435,30,46,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7451,1542,979,494,1119,400,210,258,308,190,178,190,769,514,623,386,3265,906,0,203,0,203,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,107543,5789,59902,4721,6477,1116,2396,696,5669,1203,6453,1148,6596,1333,6449,1351,6211,1232,7083,1365,307,201,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
